,src,iso_code,region,trg,weighted,log-weight,norm-log-weight,days_since_100_cases_in_China_2019,weeks_since_100_cases
286,Angola,AGO,Africa,United Kingdom of Great Britain and Northern Ireland,2.0,0.6931471805599453,0.11090398820673722,145.0,20
287,Angola,AGO,Africa,Zimbabwe,1.0,0.0,0.0,145.0,20
348,Anguilla,AIA,Americas,Antigua and Barbuda,1.0,0.0,0.0,999.0,142
349,Anguilla,AIA,Americas,Netherlands Antilles,2.0,0.6931471805599453,0.11090398820673722,999.0,142
350,Anguilla,AIA,Americas,Puerto Rico,2.0,0.6931471805599453,0.11090398820673722,999.0,142
351,Anguilla,AIA,Americas,Virgin Islands (British),1.0,0.0,0.0,999.0,142
356,Antigua and Barbuda,ATG,Americas,Anguilla,1.0,0.0,0.0,999.0,142
357,Antigua and Barbuda,ATG,Americas,Barbados,2.0,0.6931471805599453,0.11090398820673722,999.0,142
358,Antigua and Barbuda,ATG,Americas,Canada,2.0,0.6931471805599453,0.11090398820673722,999.0,142
359,Antigua and Barbuda,ATG,Americas,Dominica,1.0,0.0,0.0,999.0,142
360,Antigua and Barbuda,ATG,Americas,Dominican Republic,3.0,1.0986122886681098,0.17577866248809984,999.0,142
361,Antigua and Barbuda,ATG,Americas,France,2.0,0.6931471805599453,0.11090398820673722,999.0,142
362,Antigua and Barbuda,ATG,Americas,Germany,1.0,0.0,0.0,999.0,142
363,Antigua and Barbuda,ATG,Americas,Guadeloupe,2.0,0.6931471805599453,0.11090398820673722,999.0,142
364,Antigua and Barbuda,ATG,Americas,Jamaica,1.0,0.0,0.0,999.0,142
365,Antigua and Barbuda,ATG,Americas,Netherlands Antilles,1.0,0.0,0.0,999.0,142
366,Antigua and Barbuda,ATG,Americas,Puerto Rico,1.0,0.0,0.0,999.0,142
367,Antigua and Barbuda,ATG,Americas,Saint Kitts and Nevis,4.0,1.3862943611198906,0.22180797641347444,999.0,142
368,Antigua and Barbuda,ATG,Americas,Saint Lucia,2.0,0.6931471805599453,0.11090398820673722,999.0,142
369,Antigua and Barbuda,ATG,Americas,Trinidad and Tobago,2.0,0.6931471805599453,0.11090398820673722,999.0,142
370,Antigua and Barbuda,ATG,Americas,United Kingdom of Great Britain and Northern Ireland,3.0,1.0986122886681098,0.17577866248809984,999.0,142
371,Antigua and Barbuda,ATG,Americas,United States of America,7.0,1.9459101490553132,0.3113468571680022,999.0,142
372,Argentina,ARG,Americas,Bolivia,2.0,0.6931471805599453,0.11090398820673722,62.0,8
373,Argentina,ARG,Americas,Brazil,28.0,3.332204510175204,0.5331548335814766,62.0,8
374,Argentina,ARG,Americas,Chile,9.0,2.1972245773362196,0.3515573249761997,62.0,8
375,Argentina,ARG,Americas,Colombia,2.0,0.6931471805599453,0.11090398820673722,62.0,8
376,Argentina,ARG,Americas,Cuba,1.0,0.0,0.0,62.0,8
377,Argentina,ARG,Americas,Dominican Republic,1.0,0.0,0.0,62.0,8
378,Argentina,ARG,Americas,Ecuador,1.0,0.0,0.0,62.0,8
379,Argentina,ARG,Americas,Falkland Islands (Malvinas),1.0,0.0,0.0,62.0,8
380,Argentina,ARG,Americas,France,2.0,0.6931471805599453,0.11090398820673722,62.0,8
381,Argentina,ARG,Americas,Germany,1.0,0.0,0.0,62.0,8
382,Argentina,ARG,Americas,Italy,2.0,0.6931471805599453,0.11090398820673722,62.0,8
383,Argentina,ARG,Americas,Mexico,2.0,0.6931471805599453,0.11090398820673722,62.0,8
384,Argentina,ARG,Americas,Netherlands,1.0,0.0,0.0,62.0,8
385,Argentina,ARG,Americas,Panama,2.0,0.6931471805599453,0.11090398820673722,62.0,8
386,Argentina,ARG,Americas,Paraguay,4.0,1.3862943611198906,0.22180797641347444,62.0,8
387,Argentina,ARG,Americas,Peru,4.0,1.3862943611198906,0.22180797641347444,62.0,8
388,Argentina,ARG,Americas,Spain,4.0,1.3862943611198906,0.22180797641347444,62.0,8
389,Argentina,ARG,Americas,United Kingdom of Great Britain and Northern Ireland,1.0,0.0,0.0,62.0,8
390,Argentina,ARG,Americas,United States of America,10.0,2.302585092994046,0.3684150742590171,62.0,8
391,Argentina,ARG,Americas,Uruguay,9.0,2.1972245773362196,0.3515573249761997,62.0,8
392,Argentina,ARG,Americas,Venezuela (Bolivarian Republic of),2.0,0.6931471805599453,0.11090398820673722,62.0,8
477,Armenia,ARM,Asia,Austria,3.0,1.0986122886681098,0.17577866248809984,61.0,8
478,Armenia,ARM,Asia,Belarus,1.0,0.0,0.0,61.0,8
479,Armenia,ARM,Asia,Czechia,2.0,0.6931471805599453,0.11090398820673722,61.0,8
480,Armenia,ARM,Asia,France,3.0,1.0986122886681098,0.17577866248809984,61.0,8
481,Armenia,ARM,Asia,Greece,1.0,0.0,0.0,61.0,8
