"name","selected","shared name"
"Iceland","false","Iceland"
"Greenland","false","Greenland"
"Mayotte","false","Mayotte"
"Malta","false","Malta"
"Eritrea","false","Eritrea"
"Grenada","false","Grenada"
"Kiribati","false","Kiribati"
"Micronesia (Federated States of)","false","Micronesia (Federated States of)"
"Honduras","false","Honduras"
"Sao Tome and Principe","false","Sao Tome and Principe"
"Marshall Islands","false","Marshall Islands"
