	src	trg	iso_code_src	region	iso_code_trg	kmdist	proximity	log-prox	norm-log-prox
68	Belgium	Germany	BEL	Europe	DEU	676	0.001479289941	0.1534638382	0.2132274361
69	Belgium	Germany	BEL	Europe	DEU	202	0.00495049505	0.1883853749	0.3655765672
70	Belgium	Germany	BEL	Europe	DEU	202	0.00495049505	0.1883853749	0.3655765672
71	Belgium	Luxembourg	BEL	Europe	LUX	136	0.007352941176	0.2035559231	0.43175979
72	Belgium	Luxembourg	BEL	Europe	LUX	136	0.007352941176	0.2035559231	0.43175979
73	Belgium	Netherlands	BEL	Europe	NLD	219	0.004566210046	0.1855607144	0.3532536682
74	Belgium	Netherlands	BEL	Europe	NLD	219	0.004566210046	0.1855607144	0.3532536682
75	Belize	Guatemala	BLZ	Americas	GTM	400	0.0025	0.1669041003	0.2718620912
76	Belize	Mexico	BLZ	Americas	MEX	1178	0.0008488964346	0.1414112459	0.1606466467
77	Benin	Burkina Faso	BEN	Africa	BFA	807	0.001239157373	0.1494026062	0.1955098546
78	Benin	Niger	BEN	Africa	NER	780	0.001282051282	0.1501660705	0.1988405534
79	Benin	Nigeria	BEN	Africa	NGA	74	0.01351351351	0.2323384936	0.5573269908
80	Benin	Togo	BEN	Africa	TGO	166	0.006024096386	0.1956186207	0.3971324155
81	Bermuda	United States of America	BMU	Americas	USA	1326	0.000754147813	0.1390835639	0.1504918723
82	Bhutan	China	BTN	Asia	CHN	2806	0.0003563791875	0.1259522738	0.09320514229
83	Bhutan	India	BTN	Asia	IND	1220	0.0008196721311	0.1407141441	0.1576054616
84	Bhutan	India	BTN	Asia	IND	1220	0.0008196721311	0.1407141441	0.1576054616
86	Bolivia	Brazil	BOL	Americas	BRA	2178	0.0004591368228	0.1301039401	0.1113172535
87	Bolivia	Chile	BOL	Americas	CHL	1908	0.0005241090147	0.1323835107	0.1212621367
88	Bolivia	Paraguay	BOL	Americas	PRY	1480	0.0006756756757	0.1369901039	0.1413589176
89	Bolivia	Peru	BOL	Americas	PER	1069	0.000935453695	0.1433798873	0.169235066
90	Bosnia and Herzegovina	Croatia	BIH	Europe	HRV	299	0.003344481605	0.1754249449	0.3090352341
91	Bosnia and Herzegovina	Montenegro	BIH	Europe	MNE	96	0.01041666667	0.2190893328	0.4995260369
92	Bosnia and Herzegovina	Serbia	BIH	Europe	SRB	196	0.005102040816	0.1894615908	0.3702716805
93	Botswana	Namibia	BWA	Africa	NAM	931	0.001074113856	0.1462788287	0.1818820242
94	Botswana	South Africa	BWA	Africa	ZAF	1260	0.0007936507937	0.1400782505	0.1548313044
95	Botswana	Zambia	BWA	Africa	ZMB	1035	0.0009661835749	0.1440474542	0.1721474018
96	Botswana	Zimbabwe	BWA	Africa	ZWE	932	0.001072961373	0.1462558613	0.1817818263
99	Brazil	Colombia	BRA	Americas	COL	3651	0.0002738975623	0.1219102401	0.07557131567
100	Brazil	French Guiana	BRA	Americas	GUF	2354	0.000424808836	0.1288017231	0.1056361854
101	Brazil	Guyana	BRA	Americas	GUY	2714	0.0003684598379	0.1264833518	0.09552202995
102	Brazil	Paraguay	BRA	Americas	PRY	1509	0.0006626905235	0.1366269079	0.1397744339
103	Brazil	Peru	BRA	Americas	PER	3185	0.0003139717425	0.1239739979	0.0845746911
104	Brazil	Suriname	BRA	Americas	SUR	2467	0.0004053506283	0.1280285454	0.1022631105
105	Brazil	Uruguay	BRA	Americas	URY	2277	0.0004391743522	0.1293558301	0.1080535396
106	Brazil	Venezuela (Bolivarian Republic of)	BRA	Americas	VEN	3512	0.000284738041	0.1224898619	0.07809998088
