,src,trg,nij,score
1113,Senegal,South Africa,0.2582785568,0.8804547442883689
1114,Seychelles,South Africa,0.1998315695,0.9182251550998098
1105,Mozambique,South Africa,0.4902758246,0.9662886933145262
1087,Botswana,South Africa,0.4166413289,0.9478276769252819
1103,Malawi,South Africa,0.2582785568,0.9269594927376988
1106,Namibia,South Africa,0.4166413289,0.9533845713903618
1110,Réunion,South Africa,0.09991578476,0.9759328708319861
1192,Brazil,Chile,0.35819434159999997,0.9079619690384253
1189,Argentina,Chile,0.4244350111,0.9499095320502836
1191,Bolivia,Chile,0.2582785568,0.9704380906517541
1375,Australia,Brunei,0.09991578476,0.9654459698459535
1376,Australia,East Timor,0.1998315695,0.9654459698459535
1377,Australia,Fiji,0.4455676098,0.9654459698459535
1378,Australia,Guam,0.09991578476,0.9654459698459535
1381,Brunei,Hong Kong,0.1998315695,0.9027304330486995
1392,Australia,Indonesia,0.5695639079,0.8853211529942273
1397,Hong Kong,Indonesia,0.4318288373,0.876242392067933
1393,Brunei,Indonesia,0.2997473543,0.9607582713839145
1395,East Timor,Indonesia,0.09991578476,0.9866036299820259
1414,Brunei,Malaysia,0.38041485490000004,0.9151083403545764
1422,Indonesia,Malaysia,0.6518068122999999,0.8774586057952326
1437,Madagascar,Mauritius,0.1998315695,0.9601407316214388
1439,Australia,New Caledonia,0.2997473543,0.9320656426131815
1441,Japan,New Caledonia,0.1998315695,0.9124740931208545
1440,Fiji,New Caledonia,0.09991578476,0.9568617584857826
1442,Australia,New Zealand,0.7133538762,0.8886030483042536
1446,Fiji,New Zealand,0.3319130525,0.9483820355968965
1450,New Caledonia,New Zealand,0.1998315695,0.9837534625905078
1451,Australia,Norfolk Island,0.1998315695,0.9654459698459535
1452,Australia,Papua New Guinea,0.4166413289,0.933403719492908
1453,Fiji,Papua New Guinea,0.09991578476,0.9417152872286253
1467,Macao,Philippines,0.3319130525,0.9308198947784166
1469,Palau,Philippines,0.09991578476,0.9356703909902622
1470,Papua New Guinea,Philippines,0.1998315695,0.9737617882213503
1472,Fiji,Samoa,0.09991578476,0.9687380181841418
1473,New Zealand,Samoa,0.23199726780000002,0.9895848318694609
1487,Indonesia,Singapore,0.6959918033,0.8209633934709936
1496,New Zealand,Singapore,0.3319130525,0.8596092853666113
1481,East Timor,Singapore,0.09991578476,0.9408267006884699
1502,Australia,Solomon Islands,0.1998315695,0.91579708710661
1503,Fiji,Solomon Islands,0.1998315695,0.9817966990035872
1504,Papua New Guinea,Solomon Islands,0.09991578476,0.993185173223737
1527,Mongolia,"Korea, Republic of",0.1998315695,0.921174920084171
1532,Palau,"Korea, Republic of",0.1998315695,0.921174920084171
1531,Northern Mariana Islands,"Korea, Republic of",0.1998315695,0.9677063020374875
1608,Fiji,Tonga,0.1998315695,0.9817966990035872
1609,New Zealand,Tonga,0.1998315695,0.9860362446310829
1610,Australia,Vanuatu,0.38041485490000004,0.891749386689311
1611,Fiji,Vanuatu,0.1998315695,0.9554828266512329
1613,New Zealand,Vanuatu,0.1998315695,0.9657449384126073
1612,New Caledonia,Vanuatu,0.1998315695,0.991561728893499
1614,Solomon Islands,Vanuatu,0.2582785568,0.995771945078329
1634,Thailand,Viet Nam,0.4318288373,0.9163801226941005
1633,Taiwan,Viet Nam,0.4696481232,0.9275769722874074
1617,Cambodia,Viet Nam,0.4803306397,0.8449274039671184
1625,Lao People's Democratic Republic,Viet Nam,0.35819434159999997,0.9222800624446348
524,Iraq,Lebanon,0.3319130525,0.9183746429197922
731,Pakistan,Saudi Arabia,0.6298472004,0.8541243666322959
1002,Djibouti,Ethiopia,0.3319130525,0.9670706208226663
994,Angola,Ethiopia,0.1998315695,0.9010291351113421
999,Chad,Ethiopia,0.09991578476,0.9639217694533517
1001,Congo,Ethiopia,0.15836277210000002,0.9199881028829205
1004,Equatorial Guinea,Ethiopia,0.1998315695,0.9739994410938412
1950,Maldives,Sri Lanka,0.4581101264,0.9417551975898154
1956,Seychelles,Sri Lanka,0.1998315695,0.9435899249332629
1966,Saudi Arabia,Sudan,0.399663139,0.9381855253865539
1967,South Sudan,Sudan,0.1998315695,0.9866319279053863
1961,Eritrea,Sudan,0.09991578476,0.97107202232647
1969,Djibouti,Yemen,0.23199726780000002,0.924771561267286
1979,Saudi Arabia,Yemen,0.49500241219999996,0.900057189586204
1981,Sudan,Yemen,0.09991578476,0.9269583259013694
1980,Somalia,Yemen,0.15836277210000002,0.9600179235814116
1983,United Arab Emirates,Yemen,0.4519752428,0.9455376045622753
1971,Eritrea,Yemen,0.1998315695,0.9704636195120184
1984,Bangladesh,Bhutan,0.09991578476,0.9843010161908988
1985,Bangladesh,Myanmar,0.09991578476,0.9843010161908988
1986,Bangladesh,Nepal,0.2997473543,0.9259224115294233
1987,Bhutan,Nepal,0.09991578476,0.9822812781381014
1990,India,Nepal,0.399663139,0.8705163600712068
1991,Malaysia,Nepal,0.2582785568,0.8888402347890467
426,Belgium,Burkina Faso,0.2997473543,0.9106191715098604
427,Benin,Burkina Faso,0.09991578476,0.9510635981631608
451,Benin,Côte d'Ivoire,0.345651825,0.9650465930773523
452,Burkina Faso,Côte d'Ivoire,0.399663139,0.9807970299280456
579,Libya,Morocco,0.3319130525,0.8816412705468296
574,Guinea-Bissau,Morocco,0.09991578476,0.9439104488040732
582,Mauritania,Morocco,0.2582785568,0.938743382795669
743,Ghana,Senegal,0.2582785568,0.8832141234331286
740,Côte d'Ivoire,Senegal,0.2582785568,0.8846369121430901
744,Guinea,Senegal,0.399663139,0.9660595837131095
742,Gambia,Senegal,0.2997473543,0.9590076632735915
745,Guinea-Bissau,Senegal,0.1998315695,0.9813431315979083
747,Mali,Senegal,0.3319130525,0.9653782150641659
748,Mauritania,Senegal,0.23199726780000002,0.9551137290399915
985,Cameroon,"Congo, Democratic Republic of the",0.31672554420000004,0.9605729248072278
983,Angola,"Congo, Democratic Republic of the",0.1998315695,0.9467161776929104
986,Congo,"Congo, Democratic Republic of the",0.2804990701,0.9755632870515395
2002,Belgium,Angola,0.1998315695,0.9453953816999141
2003,Belgium,Benin,0.1998315695,0.9453953816999141
2004,Belgium,Burundi,0.1998315695,0.9453953816999141
2005,Belgium,Cameroon,0.4166413289,0.9079194510729502
2006,Benin,Cameroon,0.2997473543,0.976306012597191
2007,Belgium,Estonia,0.1998315695,0.8688591272233631
2009,Denmark,Estonia,0.1998315695,0.9082280809321834
2016,Greenland,Iceland,0.1998315695,0.9945444206954898
2022,Kenya,Rwanda,0.3697323384,0.905282386951667
2021,Gabon,Rwanda,0.09991578476,0.9688503099665946
2018,Burundi,Rwanda,0.3697323384,0.9882791174939318
2028,Ghana,Sierra Leone,0.2582785568,0.9503407537649957
2032,Senegal,Sierra Leone,0.1998315695,0.9658199922928344
2029,Liberia,Sierra Leone,0.39036003979999995,0.9901636585674178
2027,Gambia,Sierra Leone,0.1998315695,0.9745536357123131
2105,Myanmar,Cambodia,0.09991578476,0.9913735135628273
56,Iran (Islamic Republic of),Tajikistan,0.2582785568,0.880744322410032
57,Kazakhstan,Tajikistan,0.2804990701,0.9204692941402108
58,Kyrgyzstan,Tajikistan,0.1998315695,0.948021170813789
59,Russian Federation,Tajikistan,0.7153841634,0.9275051073765965
1013,"Congo, Democratic Republic of the",Kenya,0.2997473543,0.9609064594706724
1015,Djibouti,Kenya,0.1998315695,0.9203084630198803
