	src	trg	weighted	log-weight	norm-log-weight	iso_code_src	iso_code_trg
92	Georgia	Turkey	10	2.302585093	0.3319130525	GEO	TUR
93	Germany	Turkey	256	5.545177444	0.7993262781	DEU	TUR
94	Ghana	Turkey	2	0.6931471806	0.09991578476	GHA	TUR
95	Greece	Turkey	12	2.48490665	0.3581943416	GRC	TUR
96	Hong Kong	Turkey	2	0.6931471806	0.09991578476	HKG	TUR
97	Hungary	Turkey	4	1.386294361	0.1998315695	HUN	TUR
98	India	Turkey	8	2.079441542	0.2997473543	IND	TUR
99	Iran (Islamic Republic of)	Turkey	28	3.33220451	0.4803306397	IRN	TUR
100	Iraq	Turkey	30	3.401197382	0.4902758246	IRQ	TUR
101	Ireland	Turkey	4	1.386294361	0.1998315695	IRL	TUR
102	Israel	Turkey	6	1.791759469	0.2582785568	ISR	TUR
103	Italy	Turkey	24	3.17805383	0.4581101264	ITA	TUR
104	Japan	Turkey	8	2.079441542	0.2997473543	JPN	TUR
105	Jordan	Turkey	6	1.791759469	0.2582785568	JOR	TUR
106	Kazakhstan	Turkey	14	2.63905733	0.3804148549	KAZ	TUR
107	Kenya	Turkey	5	1.609437912	0.2319972678	KEN	TUR
108	Kuwait	Turkey	12	2.48490665	0.3581943416	KWT	TUR
109	Kyrgyzstan	Turkey	10	2.302585093	0.3319130525	KGZ	TUR
110	Latvia	Turkey	4	1.386294361	0.1998315695	LVA	TUR
111	Lebanon	Turkey	6	1.791759469	0.2582785568	LBN	TUR
112	Libya	Turkey	12	2.48490665	0.3581943416	LBY	TUR
113	Lithuania	Turkey	2	0.6931471806	0.09991578476	LTU	TUR
114	Luxembourg	Turkey	6	1.791759469	0.2582785568	LUX	TUR
115	North Macedonia	Turkey	4	1.386294361	0.1998315695	MKD	TUR
116	Malaysia	Turkey	4	1.386294361	0.1998315695	MYS	TUR
117	Maldives	Turkey	2	0.6931471806	0.09991578476	MDV	TUR
118	Malta	Turkey	8	2.079441542	0.2997473543	MLT	TUR
119	Moldova, Republic of	Turkey	4	1.386294361	0.1998315695	MDA	TUR
120	Montenegro	Turkey	2	0.6931471806	0.09991578476	MNE	TUR
121	Morocco	Turkey	6	1.791759469	0.2582785568	MAR	TUR
122	Nepal	Turkey	2	0.6931471806	0.09991578476	NPL	TUR
123	Netherlands	Turkey	46	3.828641396	0.5518910275	NLD	TUR
124	Nigeria	Turkey	3	1.098612289	0.1583627721	NGA	TUR
125	Norway	Turkey	14	2.63905733	0.3804148549	NOR	TUR
126	Oman	Turkey	4	1.386294361	0.1998315695	OMN	TUR
127	Pakistan	Turkey	6	1.791759469	0.2582785568	PAK	TUR
128	Poland	Turkey	4	1.386294361	0.1998315695	POL	TUR
129	Portugal	Turkey	4	1.386294361	0.1998315695	PRT	TUR
130	Qatar	Turkey	8	2.079441542	0.2997473543	QAT	TUR
131	Romania	Turkey	8	2.079441542	0.2997473543	ROU	TUR
132	Russian Federation	Turkey	63	4.143134726	0.5972246143	RUS	TUR
133	Rwanda	Turkey	3	1.098612289	0.1583627721	RWA	TUR
134	Saudi Arabia	Turkey	38	3.63758616	0.5243507959	SAU	TUR
136	Serbia	Turkey	12	2.48490665	0.3581943416	SRB	TUR
137	Singapore	Turkey	6	1.791759469	0.2582785568	SGP	TUR
138	Slovenia	Turkey	4	1.386294361	0.1998315695	SVN	TUR
139	South Africa	Turkey	2	0.6931471806	0.09991578476	ZAF	TUR
140	Korea, Republic of	Turkey	6	1.791759469	0.2582785568	KOR	TUR
141	Spain	Turkey	14	2.63905733	0.3804148549	ESP	TUR
142	Sudan	Turkey	2	0.6931471806	0.09991578476	SDN	TUR
143	Sweden	Turkey	12	2.48490665	0.3581943416	SWE	TUR
144	Switzerland	Turkey	22	3.091042453	0.4455676098	CHE	TUR
145	Tajikistan	Turkey	6	1.791759469	0.2582785568	TJK	TUR
146	Tanzania, United Republic of	Turkey	3	1.098612289	0.1583627721	TZA	TUR
147	Thailand	Turkey	4	1.386294361	0.1998315695	THA	TUR
148	Tunisia	Turkey	4	1.386294361	0.1998315695	TUN	TUR
150	Afghanistan	United Arab Emirates	14	2.63905733	0.3804148549	AFG	ARE
151	Algeria	United Arab Emirates	4	1.386294361	0.1998315695	DZA	ARE
152	Angola	United Arab Emirates	4	1.386294361	0.1998315695	AGO	ARE
153	Armenia	United Arab Emirates	4	1.386294361	0.1998315695	ARM	ARE
154	Australia	United Arab Emirates	32	3.465735903	0.4995789238	AUS	ARE
155	Austria	United Arab Emirates	4	1.386294361	0.1998315695	AUT	ARE
156	Azerbaijan	United Arab Emirates	4	1.386294361	0.1998315695	AZE	ARE
157	Bahrain	United Arab Emirates	31	3.433987204	0.4950024122	BHR	ARE
158	Bangladesh	United Arab Emirates	19	2.944438979	0.4244350111	BGD	ARE
159	Belarus	United Arab Emirates	4	1.386294361	0.1998315695	BLR	ARE
160	Belgium	United Arab Emirates	6	1.791759469	0.2582785568	BEL	ARE
161	Brazil	United Arab Emirates	6	1.791759469	0.2582785568	BRA	ARE
162	Brunei	United Arab Emirates	2	0.6931471806	0.09991578476	BRN	ARE
163	Bulgaria	United Arab Emirates	2	0.6931471806	0.09991578476	BGR	ARE
164	Canada	United Arab Emirates	6	1.791759469	0.2582785568	CAN	ARE
