src,trg,kmdist,Proximity_1_over_dist
USA,QAT,11059,0.00009042408898
USA,UAE,11388,0.00008781173165
USA,OMA,11715,0.00008536064874
USA,AFG,11184,0.00008941344778
USA,TKM,10407,0.00009608917075
USA,TAJ,10774,0.00009281603861
USA,KYR,10566,0.00009464319515
USA,UZB,10494,0.00009529254812
USA,KZK,10540,0.00009487666034
USA,CHN,11236,0.000088999644
USA,TBT,12293,0.00008134710811
USA,MON,10445,0.00009573958832
USA,TAW,12648,0.00007906388362
USA,KOR,11218,0.00008914244963
USA,PRK,11046,0.00009053050878
USA,ROK,11218,0.00008914244963
USA,JPN,10960,0.00009124087591
USA,IND,12106,0.0000826036676
USA,BHU,12551,0.0000796749263
USA,PAK,11431,0.0000874814102
USA,BNG,13000,0.00007692307692
USA,MYA,13859,0.00007215527816
USA,SRI,14469,0.00006911327666
USA,NEP,12451,0.00008031483415
USA,MAD,14406,0.00006941552131
USA,THI,14227,0.00007028888733
USA,CAM,14454,0.00006918500069
USA,LAO,13787,0.00007253209545
USA,VNM,14478,0.00006907031358
USA,DRV,13347,0.00007492320372
USA,RVN,14478,0.00006907031358
USA,MAL,15350,0.0000651465798
USA,SIN,15572,0.00006421782687
USA,BRU,15040,0.0000664893617
USA,PHI,13834,0.00007228567298
USA,INS,16337,0.00006121074861
USA,ETM,15953,0.00006268413465
USA,AUL,15923,0.00006280223576
USA,PNG,14497,0.00006897978892
USA,NEW,14058,0.00007113387395
USA,VAN,13343,0.00007494566439
USA,SOL,13473,0.00007422251911
USA,FJI,12479,0.00008013462617
USA,MSI,11460,0.0000872600349
USA,PAL,13915,0.000071864894
USA,FSM,12382,0.00008076239703
USA,WSM,12723,0.00007859781498
CAN,USA,731,0.001367989056
CAN,BHM,2343,0.0004268032437
CAN,CUB,2536,0.0003943217666
CAN,HAI,2979,0.0003356831151
CAN,DOM,3027,0.0003303600925
CAN,JAM,3039,0.0003290556104
CAN,TRI,4087,0.0002446782481
CAN,BAR,3885,0.0002574002574
CAN,DMA,3787,0.0002640612622
CAN,GRN,3922,0.0002549719531
CAN,SLU,3753,0.0002664535039
CAN,SVG,3817,0.0002619858528
CAN,AAB,3397,0.0002943773918
CAN,SKN,3334,0.000299940012
CAN,BLZ,3304,0.0003026634383
CAN,MEX,3591,0.0002784739627
CAN,GUA,3681,0.0002716653083
CAN,HON,3633,0.0002752546105
CAN,SAL,3724,0.000268528464
CAN,NIC,3822,0.0002616431188
CAN,COS,4009,0.0002494387628
CAN,PAN,4054,0.0002466699556
CAN,COL,4521,0.0002211900022
CAN,VEN,4007,0.0002495632643
CAN,GUY,4578,0.0002184359983
CAN,SUR,4815,0.0002076843198
CAN,ECU,5042,0.0001983339944
CAN,PER,6374,0.0001568873549
CAN,BRA,7282,0.0001373249107
CAN,BOL,6865,0.0001456664239
CAN,PAR,8035,0.0001244555072
CAN,CHL,8725,0.0001146131805
CAN,ARG,8987,0.0001112718371
CAN,URU,9041,0.0001106072337
CAN,UK,5401,0.000185150898
CAN,IRE,4907,0.0002037905034
CAN,NTH,5645,0.0001771479185
CAN,BEL,5712,0.000175070028
CAN,LUX,5845,0.0001710863986
CAN,FRN,5687,0.0001758396343
CAN,MNC,6271,0.0001594642003
CAN,LIE,6205,0.0001611603546
CAN,SWZ,6125,0.0001632653061
CAN,SPN,5712,0.000175070028
CAN,AND,5939,0.0001683785149
CAN,POR,5419,0.0001845358922
CAN,GMY,6162,0.0001622849724
CAN,GFR,5891,0.0001697504668
CAN,GDR,6162,0.0001622849724
CAN,POL,6599,0.0001515381118
CAN,AUH,6577,0.0001520450053
CAN,AUS,6577,0.0001520450053
CAN,HUN,6812,0.0001467997651
CAN,CZE,6342,0.0001576789656
CAN,CZR,6342,0.0001576789656
CAN,SLO,6628,0.0001508750754
CAN,ITA,6793,0.0001472103636
CAN,SNM,6602,0.0001514692517
CAN,MLT,7284,0.0001372872048
CAN,ALB,7265,0.0001376462491
CAN,SER,7097,0.0001409046076
CAN,MNG,7134,0.0001401738155
CAN,MAC,7306,0.0001368738024
CAN,CRO,6747,0.000148214021
CAN,YUG,7097,0.0001409046076
CAN,BOS,7040,0.0001420454545
CAN,SLV,6592,0.0001516990291
CAN,GRC,7738,0.0001292323598
CAN,CYP,8585,0.0001164822365
CAN,BUL,7417,0.0001348254011
CAN,MLD,7380,0.000135501355
CAN,RUM,7446,0.0001343002955
CAN,RUS,7215,0.0001386001386
CAN,EST,6331,0.00015795293
CAN,LAT,6494,0.0001539882969
CAN,LIT,6697,0.0001493205913
CAN,UKR,7245,0.000138026225
CAN,BLR,6877,0.0001454122437
CAN,ARM,8805,0.0001135718342
CAN,GRG,8818,0.0001134044001
CAN,AZE,9074,0.0001102049813
CAN,FIN,6278,0.0001592863969
CAN,SWD,6009,0.0001664170411
CAN,NOR,5634,0.0001774937877
CAN,DEN,5936,0.0001684636119
CAN,ICE,3876,0.000257997936
CAN,CAP,5783,0.0001729206294
CAN,STP,9350,0.0001069518717
CAN,GNB,6802,0.0001470155837
CAN,EQG,9505,0.0001052077854
CAN,GAM,6569,0.000152230172
CAN,MLI,7312,0.000136761488
CAN,SEN,6426,0.0001556178027
CAN,BEN,8613,0.0001161035644
CAN,MAA,6235,0.0001603849238
CAN,NIR,8028,0.0001245640259
CAN,CDI,7990,0.0001251564456
CAN,GUI,7116,0.0001405283867
CAN,BFO,7820,0.0001278772379
CAN,LBR,7574,0.0001320306311
CAN,SIE,7222,0.0001384657989
CAN,GHA,8498,0.000117674747
CAN,TOG,8499,0.0001176609013
CAN,CAO,9536,0.0001048657718
CAN,NIG,8665,0.000115406809
CAN,GAB,9621,0.0001039392994
CAN,CEN,10020,0.0000998003992
CAN,CHA,9106,0.0001098177026
CAN,CON,10398,0.00009617234083
CAN,DRC,10398,0.00009617234083
CAN,UGA,11405,0.00008768084174
CAN,KEN,11820,0.00008460236887
CAN,TAZ,12420,0.00008051529791
CAN,ZAN,12416,0.00008054123711
CAN,BUI,11409,0.0000876501008
CAN,RWA,11319,0.00008834702712
CAN,SOM,12188,0.00008204791598
CAN,DJI,11210,0.00008920606601
CAN,ETH,11120,0.00008992805755
CAN,ERI,10600,0.00009433962264
CAN,ANG,10548,0.00009480470231
CAN,MZM,13406,0.00007459346561
CAN,ZAM,12286,0.00008139345597
CAN,ZIM,12633,0.00007915776142
CAN,MAW,12537,0.00007976389886
CAN,SAF,13011,0.00007685804319
CAN,TRA,13011,0.00007685804319
CAN,OFS,13134,0.00007613826709
CAN,NAM,11933,0.0000838012235
CAN,LES,13200,0.00007575757576
CAN,BOT,12759,0.00007837604828
CAN,SWA,13299,0.00007519362358
CAN,MAG,14003,0.00007141326859
CAN,COM,13124,0.00007619628162
CAN,MAS,14910,0.00006706908115
CAN,SEY,13480,0.00007418397626
CAN,MOR,5896,0.0001696065129
CAN,ALG,6441,0.0001552553951
CAN,TUN,6956,0.0001437607821
CAN,LIB,7470,0.0001338688086
CAN,SUD,10185,0.00009818360334
CAN,IRN,9611,0.0001040474456
CAN,TUR,8225,0.0001215805471
CAN,IRQ,9410,0.0001062699256
CAN,EGY,8864,0.0001128158845
CAN,SYR,8932,0.0001119570085
CAN,LEB,8878,0.0001126379815
CAN,JOR,9074,0.0001102049813
CAN,ISR,8926,0.0001120322653
CAN,SAU,10352,0.00009659969088
CAN,YAR,10981,0.0000910663874
CAN,YEM,10981,0.0000910663874
CAN,YPR,11295,0.00008853474989
CAN,KUW,9976,0.0001002405774
CAN,BAH,10435,0.00009583133685
CAN,QAT,10479,0.00009542895314
CAN,UAE,10796,0.00009262689885
CAN,OMA,11105,0.00009004952724
CAN,AFG,10496,0.00009527439024
CAN,TKM,9750,0.0001025641026
CAN,TAJ,10080,0.00009920634921
CAN,KYR,9853,0.0001014919314
CAN,UZB,9794,0.0001021033286
CAN,KZK,9822,0.0001018122582
CAN,CHN,10544,0.00009484066768
CAN,TBT,11564,0.00008647526807
CAN,MON,9728,0.0001027960526
CAN,TAW,11992,0.00008338892595
CAN,KOR,10568,0.00009462528388
CAN,PRK,10388,0.00009626492106
CAN,ROK,10568,0.00009462528388
CAN,JPN,10382,0.00009632055481
CAN,IND,11401,0.00008771160425
CAN,BHU,11823,0.00008458090163
CAN,PAK,10733,0.00009317059536
CAN,BNG,12272,0.0000814863103
CAN,MYA,13128,0.0000761730652
CAN,SRI,13789,0.00007252157517
CAN,NEP,11729,0.00008525876034
CAN,MAD,13779,0.00007257420713
CAN,THI,13500,0.00007407407407
CAN,CAM,13735,0.00007280669822
CAN,LAO,13063,0.0000765520937
CAN,VNM,13764,0.00007265329846
CAN,DRV,12630,0.00007917656374
CAN,RVN,13764,0.00007265329846
CAN,MAL,14623,0.00006838542023
CAN,SIN,14850,0.00006734006734
CAN,BRU,14371,0.00006958458006
CAN,PHI,13192,0.00007580351728
CAN,INS,15629,0.00006398362019
CAN,ETM,15436,0.0000647836227
CAN,AUL,16084,0.00006217358866
CAN,PNG,14256,0.00007014590348
CAN,NEW,14456,0.00006917542889
CAN,VAN,13382,0.00007472724555
CAN,SOL,13347,0.00007492320372
CAN,FJI,12638,0.00007912644406
CAN,MSI,11262,0.0000887941751
CAN,PAL,13407,0.00007458790184
CAN,FSM,12111,0.00008256956486
CAN,WSM,12782,0.00007823501799
BHM,USA,1623,0.0006161429452
BHM,CAN,2343,0.0004268032437
BHM,CUB,655,0.001526717557
BHM,HAI,727,0.001375515818
BHM,DOM,891,0.001122334456
BHM,JAM,700,0.001428571429
BHM,TRI,2163,0.0004623208507
BHM,BAR,2123,0.0004710315591
BHM,DMA,1948,0.0005133470226
BHM,GRN,2024,0.0004940711462
BHM,SLU,1938,0.000515995872
BHM,SVG,1977,0.0005058168943
BHM,AAB,1678,0.0005959475566
BHM,SKN,1575,0.0006349206349
BHM,BLZ,1470,0.0006802721088
BHM,MEX,2443,0.0004093327876
BHM,GUA,1853,0.0005396654074
BHM,HON,1632,0.000612745098
BHM,SAL,1801,0.000555247085
BHM,NIC,1728,0.0005787037037
BHM,COS,1804,0.0005543237251
BHM,PAN,1735,0.0005763688761
BHM,COL,2185,0.0004576659039
BHM,VEN,1843,0.0005425935974
BHM,GUY,2704,0.0003698224852
BHM,SUR,3020,0.0003311258278
BHM,ECU,2705,0.0003696857671
BHM,PER,4032,0.000248015873
BHM,BRA,5344,0.0001871257485
BHM,BOL,4562,0.0002192021043
BHM,PAR,5829,0.000171556013
BHM,CHL,6392,0.0001564455569
BHM,ARG,6735,0.0001484780995
BHM,URU,6812,0.0001467997651
BHM,UK,6983,0.0001432049262
BHM,IRE,6529,0.0001531628121
BHM,NTH,7289,0.0001371930306
BHM,BEL,7289,0.0001371930306
BHM,LUX,7424,0.0001346982759
BHM,FRN,7180,0.000139275766
BHM,MNC,7659,0.000130565348
BHM,LIE,7728,0.0001293995859
BHM,SWZ,7593,0.0001317002502
BHM,SPN,6842,0.0001461560947
BHM,AND,7221,0.0001384849744
BHM,POR,6402,0.0001562011871
BHM,GMY,7868,0.0001270971022
BHM,GFR,7488,0.0001335470085
BHM,GDR,7868,0.0001270971022
BHM,POL,8367,0.0001195171507
BHM,AUH,8191,0.0001220852155
BHM,AUS,8191,0.0001220852155
BHM,HUN,8427,0.000118666192
BHM,CZE,7997,0.0001250468926
BHM,CZR,7997,0.0001250468926
BHM,SLO,8250,0.0001212121212
BHM,ITA,8155,0.000122624157
BHM,SNM,8046,0.0001242853592
BHM,MLT,8505,0.0001175778954
BHM,ALB,8719,0.0001146920518
BHM,SER,8644,0.0001156871819
BHM,MNG,8619,0.0001160227405
BHM,MAC,8808,0.0001135331517
BHM,CRO,8271,0.0001209043646
BHM,YUG,8644,0.0001156871819
BHM,BOS,8535,0.0001171646163
BHM,SLV,8128,0.0001230314961
BHM,GRC,9157,0.0001092060719
BHM,CYP,10075,0.00009925558313
BHM,BUL,8943,0.0001118193
BHM,MLD,9099,0.0001099021871
BHM,RUM,9060,0.0001103752759
BHM,RUS,9189,0.0001088257699
BHM,EST,8291,0.0001206127126
BHM,LAT,8385,0.0001192605844
BHM,LIT,8551,0.0001169453865
BHM,UKR,9052,0.0001104728237
BHM,BLR,8726,0.0001146000458
BHM,ARM,10577,0.00009454476695
BHM,GRG,10596,0.00009437523594
BHM,AZE,10923,0.00009154994049
BHM,FIN,8260,0.0001210653753
BHM,SWD,7931,0.0001260875047
BHM,NOR,7522,0.0001329433661
BHM,DEN,7722,0.0001295001295
BHM,ICE,5887,0.000169865806
BHM,CAP,5473,0.0001827151471
BHM,STP,9246,0.0001081548778
BHM,GNB,6506,0.000153704273
BHM,EQG,9505,0.0001052077854
BHM,GAM,6326,0.0001580777743
BHM,MLI,7242,0.0001380834024
BHM,SEN,6202,0.0001612383102
BHM,BEN,8579,0.0001165637021
BHM,MAA,6212,0.0001609787508
BHM,NIR,8228,0.0001215362178
BHM,CDI,7768,0.0001287332647
BHM,GUI,6794,0.0001471886959
BHM,BFO,7901,0.0001265662574
BHM,LBR,7214,0.0001386193513
BHM,SIE,6871,0.0001455392228
BHM,GHA,8371,0.0001194600406
BHM,TOG,8429,0.0001186380354
BHM,CAO,9607,0.0001040907671
BHM,NIG,8647,0.0001156470452
BHM,GAB,9544,0.0001047778709
BHM,CEN,10289,0.00009719117504
BHM,CHA,9556,0.0001046462955
BHM,CON,10320,0.00009689922481
BHM,DRC,10320,0.00009689922481
BHM,UGA,11868,0.00008426019548
BHM,KEN,12354,0.00008094544277
BHM,TAZ,12842,0.00007786949073
BHM,ZAN,12832,0.00007793017456
BHM,BUI,11692,0.00008552856654
BHM,RWA,11687,0.00008556515787
BHM,SOM,13040,0.00007668711656
BHM,DJI,12287,0.00008138683161
BHM,ETH,12019,0.00008320159747
BHM,ERI,11688,0.0000855578371
BHM,ANG,10285,0.00009722897423
BHM,MZM,12905,0.00007748934522
BHM,ZAM,12126,0.00008246742537
BHM,ZIM,12452,0.0000803083842
BHM,MAW,12566,0.00007957981856
BHM,SAF,12473,0.00008017317406
BHM,TRA,12473,0.00008017317406
BHM,OFS,12402,0.0000806321561
BHM,NAM,11288,0.00008858965273
BHM,LES,12489,0.00008007046201
BHM,BOT,12213,0.00008187996397
BHM,SWA,12776,0.00007827175955
BHM,MAG,14162,0.00007061149555
BHM,COM,13462,0.00007428316743
BHM,MAS,15232,0.0000656512605
BHM,SEY,14398,0.00006945409085
BHM,MOR,6697,0.0001493205913
BHM,ALG,7502,0.0001332977873
BHM,TUN,8120,0.0001231527094
BHM,LIB,8554,0.0001169043722
BHM,SUD,11122,0.00008991188635
BHM,IRN,11401,0.00008771160425
BHM,TUR,9806,0.0001019783806
BHM,IRQ,11039,0.00009058791557
BHM,EGY,10192,0.00009811616954
BHM,SYR,10424,0.00009593246355
