,src,trg,iso_code_src,region,days_since_100_cases_in_China_2019,weeks_since_100_cases,iso_code_trg,kmdist,proximity,log-prox,Norm_prox,norm_log_prox
42,Austria,Hungary,AUT,Europe,51.0,7,HUN,238.0,0.004201680672268907,0.18273949876259984,0.08274215572728914,0.08274215572728914
43,Austria,Italy,AUT,Europe,51.0,7,ITA,823.0,0.001215066828675577,0.1489656673015593,0.02292565992433778,0.02292565992433778
44,Austria,Slovakia,AUT,Europe,51.0,7,SVK,62.0,0.016129032258064516,0.2422988705246811,0.3216255244635974,0.3216255244635974
45,Austria,Slovenia,AUT,Europe,51.0,7,SVN,264.0,0.003787878787878788,0.17934166569700832,0.07445444932226744,0.07445444932226744
46,Austria,Switzerland,AUT,Europe,51.0,7,CHE,713.0,0.001402524544179523,0.15221901638880597,0.02668010031733539,0.02668010031733539
47,Azerbaijan,Armenia,AZE,Asia,69.0,9,ARM,454.0,0.0022026431718061676,0.1634495117730625,0.04270503525626593,0.04270503525626593
48,Azerbaijan,Georgia,AZE,Asia,69.0,9,GEO,425.0,0.002352941176470588,0.16523219868185138,0.04571523357316137,0.04571523357316137
49,Azerbaijan,Iran (Islamic Republic of),AZE,Asia,69.0,9,IRN,571.0,0.0017513134851138354,0.1575450893225112,0.0336657145661502,0.0336657145661502
50,Azerbaijan,Russian Federation,AZE,Asia,69.0,9,RUS,1897.0,0.0005271481286241434,0.13248491811347798,0.009147887440403181,0.009147887440403181
51,Azerbaijan,Turkey,AZE,Asia,69.0,9,TUR,1458.0,0.0006858710562414266,0.13727173419935224,0.012326821789086308,0.012326821789086308
52,Bahamas,United States of America,BHS,Americas,132.0,18,USA,1623.0,0.0006161429451632779,0.13528080756508837,0.01093029331835652,0.01093029331835652
53,Bahamas,United States of America,BHS,Americas,132.0,18,USA,1623.0,0.0006161429451632779,0.13528080756508837,0.01093029331835652,0.01093029331835652
54,Bahrain,Qatar,BHR,Asia,52.0,7,QAT,60.0,0.016666666666666666,0.2442393366759723,0.3323933732816355,0.3323933732816355
55,Bahrain,Saudi Arabia,BHR,Asia,52.0,7,SAU,504.0,0.001984126984126984,0.1607051415554511,0.03832854960807022,0.03832854960807022
56,Bangladesh,India,BGD,Asia,80.0,11,IND,1430.0,0.0006993006993006993,0.13763810787397338,0.012595793350111292,0.012595793350111292
57,Bangladesh,India,BGD,Asia,80.0,11,IND,1430.0,0.0006993006993006993,0.13763810787397338,0.012595793350111292,0.012595793350111292
58,Bangladesh,Myanmar,BGD,Asia,80.0,11,MMR,978.0,0.0010224948875255625,0.1452325314931906,0.019068790803384722,0.019068790803384722
59,Barbados,Grenada,BRB,Americas,176.0,25,GRD,259.0,0.003861003861003861,0.17995878024236606,0.07591901282419435,0.07591901282419435
