	src	trg	weighted	log-weight	norm-log-weight	iso_code_src	iso_code_trg
80	India	Iran (Islamic Republic of)	2	0.6931471806	0.1109039882	IND	IRN
81	Iraq	Iran (Islamic Republic of)	4	1.386294361	0.2218079764	IRQ	IRN
82	Italy	Iran (Islamic Republic of)	3	1.098612289	0.1757786625	ITA	IRN
83	Kazakhstan	Iran (Islamic Republic of)	1	0	0	KAZ	IRN
84	Kuwait	Iran (Islamic Republic of)	10	2.302585093	0.3684150743	KWT	IRN
85	Lebanon	Iran (Islamic Republic of)	2	0.6931471806	0.1109039882	LBN	IRN
86	Malaysia	Iran (Islamic Republic of)	2	0.6931471806	0.1109039882	MYS	IRN
87	Netherlands	Iran (Islamic Republic of)	1	0	0	NLD	IRN
88	Oman	Iran (Islamic Republic of)	3	1.098612289	0.1757786625	OMN	IRN
89	Pakistan	Iran (Islamic Republic of)	3	1.098612289	0.1757786625	PAK	IRN
90	Qatar	Iran (Islamic Republic of)	5	1.609437912	0.2575110861	QAT	IRN
91	Russian Federation	Iran (Islamic Republic of)	2	0.6931471806	0.1109039882	RUS	IRN
92	Saudi Arabia	Iran (Islamic Republic of)	12	2.48490665	0.3975866389	SAU	IRN
93	Sweden	Iran (Islamic Republic of)	3	1.098612289	0.1757786625	SWE	IRN
94	Tajikistan	Iran (Islamic Republic of)	3	1.098612289	0.1757786625	TJK	IRN
95	Thailand	Iran (Islamic Republic of)	1	0	0	THA	IRN
96	Turkey	Iran (Islamic Republic of)	14	2.63905733	0.4222508454	TUR	IRN
97	United Arab Emirates	Iran (Islamic Republic of)	23	3.135494216	0.5016810618	ARE	IRN
98	United Kingdom of Great Britain and Northern Ireland	Iran (Islamic Republic of)	1	0	0	GBR	IRN
99	Uzbekistan	Iran (Islamic Republic of)	1	0	0	UZB	IRN
100	Afghanistan	Kuwait	1	0	0	AFG	KWT
101	Bahrain	Kuwait	4	1.386294361	0.2218079764	BHR	KWT
102	Bangladesh	Kuwait	2	0.6931471806	0.1109039882	BGD	KWT
103	Egypt	Kuwait	16	2.772588722	0.4436159528	EGY	KWT
104	Ethiopia	Kuwait	2	0.6931471806	0.1109039882	ETH	KWT
105	Germany	Kuwait	2	0.6931471806	0.1109039882	DEU	KWT
106	India	Kuwait	9	2.197224577	0.351557325	IND	KWT
107	Iran (Islamic Republic of)	Kuwait	10	2.302585093	0.3684150743	IRN	KWT
108	Iraq	Kuwait	2	0.6931471806	0.1109039882	IRQ	KWT
109	Italy	Kuwait	2	0.6931471806	0.1109039882	ITA	KWT
110	Jordan	Kuwait	3	1.098612289	0.1757786625	JOR	KWT
111	Lebanon	Kuwait	3	1.098612289	0.1757786625	LBN	KWT
112	Malaysia	Kuwait	1	0	0	MYS	KWT
113	Netherlands	Kuwait	3	1.098612289	0.1757786625	NLD	KWT
114	Oman	Kuwait	2	0.6931471806	0.1109039882	OMN	KWT
115	Pakistan	Kuwait	6	1.791759469	0.2866826507	PAK	KWT
116	Qatar	Kuwait	2	0.6931471806	0.1109039882	QAT	KWT
117	Saudi Arabia	Kuwait	17	2.833213344	0.4533159307	SAU	KWT
118	Sri Lanka	Kuwait	3	1.098612289	0.1757786625	LKA	KWT
119	Thailand	Kuwait	1	0	0	THA	KWT
120	Tunisia	Kuwait	1	0	0	TUN	KWT
121	Turkey	Kuwait	6	1.791759469	0.2866826507	TUR	KWT
122	United Arab Emirates	Kuwait	12	2.48490665	0.3975866389	ARE	KWT
123	United Kingdom of Great Britain and Northern Ireland	Kuwait	3	1.098612289	0.1757786625	GBR	KWT
124	United States of America	Kuwait	2	0.6931471806	0.1109039882	USA	KWT
125	Yemen	Kuwait	3	1.098612289	0.1757786625	YEM	KWT
126	Afghanistan	Pakistan	4	1.386294361	0.2218079764	AFG	PAK
127	Bahrain	Pakistan	6	1.791759469	0.2866826507	BHR	PAK
128	Bangladesh	Pakistan	1	0	0	BGD	PAK
129	Canada	Pakistan	3	1.098612289	0.1757786625	CAN	PAK
130	China	Pakistan	4	1.386294361	0.2218079764	CHN	PAK
131	Denmark	Pakistan	1	0	0	DNK	PAK
132	France	Pakistan	2	0.6931471806	0.1109039882	FRA	PAK
133	India	Pakistan	3	1.098612289	0.1757786625	IND	PAK
134	Iran (Islamic Republic of)	Pakistan	3	1.098612289	0.1757786625	IRN	PAK
135	Italy	Pakistan	1	0	0	ITA	PAK
136	Kuwait	Pakistan	6	1.791759469	0.2866826507	KWT	PAK
137	Malaysia	Pakistan	3	1.098612289	0.1757786625	MYS	PAK
138	Nepal	Pakistan	1	0	0	NPL	PAK
139	Norway	Pakistan	1	0	0	NOR	PAK
140	Oman	Pakistan	14	2.63905733	0.4222508454	OMN	PAK
141	Qatar	Pakistan	5	1.609437912	0.2575110861	QAT	PAK
142	Saudi Arabia	Pakistan	40	3.688879454	0.5902230507	SAU	PAK
