,src,trg,weighted,log-weight,norm-log-weight,iso_code_src,region,iso_code_trg,days_to_first_100_cases,weeks_since_100_cases
57,South Africa,India,3,1.0986122886681098,0.17577866248809984,ZAF,Africa,IND,59.0,8
58,"Korea, Republic of",India,3,1.0986122886681098,0.17577866248809984,KOR,Asia,IND,59.0,8
59,Sri Lanka,India,22,3.091042453358316,0.4945687516421019,LKA,Asia,IND,59.0,8
60,Switzerland,India,4,1.3862943611198906,0.22180797641347444,CHE,Europe,IND,59.0,8
61,Taiwan,India,2,0.6931471805599453,0.11090398820673722,TWN,Asia,IND,59.0,8
62,Tajikistan,India,1,0.0,0.0,TJK,Asia,IND,59.0,8
63,Thailand,India,17,2.833213344056216,0.4533159307415043,THA,Asia,IND,59.0,8
64,Turkey,India,4,1.3862943611198906,0.22180797641347444,TUR,Asia,IND,59.0,8
65,Turkmenistan,India,2,0.6931471805599453,0.11090398820673722,TKM,Asia,IND,59.0,8
66,United Arab Emirates,India,81,4.394449154672439,0.7031146499523994,ARE,Asia,IND,59.0,8
67,United Kingdom of Great Britain and Northern Ireland,India,15,2.70805020110221,0.4332897485403797,GBR,Europe,IND,59.0,8
68,United States of America,India,5,1.6094379124341003,0.25751108605227985,USA,Americas,IND,59.0,8
69,Uzbekistan,India,2,0.6931471805599453,0.11090398820673722,UZB,Asia,IND,59.0,8
70,Yemen,India,1,0.0,0.0,YEM,Asia,IND,59.0,8
71,Afghanistan,Iran (Islamic Republic of),5,1.6094379124341003,0.25751108605227985,AFG,Asia,IRN,40.0,5
72,Armenia,Iran (Islamic Republic of),1,0.0,0.0,ARM,Asia,IRN,40.0,5
73,Austria,Iran (Islamic Republic of),2,0.6931471805599453,0.11090398820673722,AUT,Europe,IRN,40.0,5
74,Azerbaijan,Iran (Islamic Republic of),3,1.0986122886681098,0.17577866248809984,AZE,Asia,IRN,40.0,5
75,Bahrain,Iran (Islamic Republic of),3,1.0986122886681098,0.17577866248809984,BHR,Asia,IRN,40.0,5
76,Belarus,Iran (Islamic Republic of),1,0.0,0.0,BLR,Europe,IRN,40.0,5
77,China,Iran (Islamic Republic of),4,1.3862943611198906,0.22180797641347444,CHN,Asia,IRN,40.0,5
78,France,Iran (Islamic Republic of),1,0.0,0.0,FRA,Europe,IRN,40.0,5
79,Germany,Iran (Islamic Republic of),5,1.6094379124341003,0.25751108605227985,DEU,Europe,IRN,40.0,5
80,India,Iran (Islamic Republic of),2,0.6931471805599453,0.11090398820673722,IND,Asia,IRN,40.0,5
81,Iraq,Iran (Islamic Republic of),4,1.3862943611198906,0.22180797641347444,IRQ,Asia,IRN,40.0,5
82,Italy,Iran (Islamic Republic of),3,1.0986122886681098,0.17577866248809984,ITA,Europe,IRN,40.0,5
83,Kazakhstan,Iran (Islamic Republic of),1,0.0,0.0,KAZ,Asia,IRN,40.0,5
84,Kuwait,Iran (Islamic Republic of),10,2.302585092994046,0.3684150742590171,KWT,Asia,IRN,40.0,5
85,Lebanon,Iran (Islamic Republic of),2,0.6931471805599453,0.11090398820673722,LBN,Asia,IRN,40.0,5
86,Malaysia,Iran (Islamic Republic of),2,0.6931471805599453,0.11090398820673722,MYS,Asia,IRN,40.0,5
87,Netherlands,Iran (Islamic Republic of),1,0.0,0.0,NLD,Europe,IRN,40.0,5
88,Oman,Iran (Islamic Republic of),3,1.0986122886681098,0.17577866248809984,OMN,Asia,IRN,40.0,5
89,Pakistan,Iran (Islamic Republic of),3,1.0986122886681098,0.17577866248809984,PAK,Asia,IRN,40.0,5
90,Qatar,Iran (Islamic Republic of),5,1.6094379124341003,0.25751108605227985,QAT,Asia,IRN,40.0,5
91,Russian Federation,Iran (Islamic Republic of),2,0.6931471805599453,0.11090398820673722,RUS,Europe,IRN,40.0,5
92,Saudi Arabia,Iran (Islamic Republic of),12,2.4849066497880004,0.3975866389015743,SAU,Asia,IRN,40.0,5
93,Sweden,Iran (Islamic Republic of),3,1.0986122886681098,0.17577866248809984,SWE,Europe,IRN,40.0,5
94,Tajikistan,Iran (Islamic Republic of),3,1.0986122886681098,0.17577866248809984,TJK,Asia,IRN,40.0,5
95,Thailand,Iran (Islamic Republic of),1,0.0,0.0,THA,Asia,IRN,40.0,5
96,Turkey,Iran (Islamic Republic of),14,2.6390573296152584,0.4222508453747394,TUR,Asia,IRN,40.0,5
97,United Arab Emirates,Iran (Islamic Republic of),23,3.1354942159291497,0.5016810618269921,ARE,Asia,IRN,40.0,5
98,United Kingdom of Great Britain and Northern Ireland,Iran (Islamic Republic of),1,0.0,0.0,GBR,Europe,IRN,40.0,5
99,Uzbekistan,Iran (Islamic Republic of),1,0.0,0.0,UZB,Asia,IRN,40.0,5
100,Afghanistan,Kuwait,1,0.0,0.0,AFG,Asia,KWT,57.0,8
101,Bahrain,Kuwait,4,1.3862943611198906,0.22180797641347444,BHR,Asia,KWT,57.0,8
102,Bangladesh,Kuwait,2,0.6931471805599453,0.11090398820673722,BGD,Asia,KWT,57.0,8
103,Egypt,Kuwait,16,2.772588722239781,0.4436159528269489,EGY,Africa,KWT,57.0,8
104,Ethiopia,Kuwait,2,0.6931471805599453,0.11090398820673722,ETH,Africa,KWT,57.0,8
105,Germany,Kuwait,2,0.6931471805599453,0.11090398820673722,DEU,Europe,KWT,57.0,8
