,Country,Neighbour,iso-alpha-3,region
160,China,Kazakhstan,CHN,Asia
161,China,Korea (Democratic People's Republic of),CHN,Asia
162,China,Kyrgyzstan,CHN,Asia
163,China,Lao People's Democratic Republic,CHN,Asia
164,China,Macao,CHN,Asia
165,China,Mongolia,CHN,Asia
166,China,Myanmar,CHN,Asia
167,China,Nepal,CHN,Asia
168,China,Pakistan,CHN,Asia
169,China,Russian Federation,CHN,Asia
170,China,Tajikistan,CHN,Asia
171,China,Viet Nam,CHN,Asia
172,Christmas Island,Cocos (Keeling) Islands,CXR,Oceania
173,Christmas Island,Indonesia,CXR,Oceania
174,Cocos (Keeling) Islands,Indonesia,CCK,Oceania
175,Colombia,Brazil,COL,Americas
176,Colombia,Ecuador,COL,Americas
177,Colombia,Panama,COL,Americas
178,Colombia,Peru,COL,Americas
179,Colombia,Venezuela (Bolivarian Republic of),COL,Americas
180,Comoros,Mayotte,COM,Africa
181,Comoros,Mozambique,COM,Africa
182,Congo,Angola,COG,Africa
183,Congo,Cameroon,COG,Africa
184,Congo,Central African Republic,COG,Africa
185,Congo,"Congo, Democratic Republic of the",COG,Africa
186,Congo,Gabon,COG,Africa
187,"Congo, Democratic Republic of the",Angola,COD,Africa
188,"Congo, Democratic Republic of the",Burundi,COD,Africa
189,"Congo, Democratic Republic of the",Central African Republic,COD,Africa
190,"Congo, Democratic Republic of the",Congo,COD,Africa
191,"Congo, Democratic Republic of the",Rwanda,COD,Africa
192,"Congo, Democratic Republic of the",South Sudan,COD,Africa
193,"Congo, Democratic Republic of the","Tanzania, United Republic of",COD,Africa
194,"Congo, Democratic Republic of the",Uganda,COD,Africa
195,"Congo, Democratic Republic of the",Zambia,COD,Africa
196,Cook Islands,Niue,COK,Oceania
197,Costa Rica,Nicaragua,CRI,Americas
198,Costa Rica,Panama,CRI,Americas
199,Côte d'Ivoire,Burkina Faso,CIV,Africa
200,Côte d'Ivoire,Ghana,CIV,Africa
201,Côte d'Ivoire,Guinea,CIV,Africa
202,Côte d'Ivoire,Liberia,CIV,Africa
203,Côte d'Ivoire,Mali,CIV,Africa
204,Croatia,Bosnia and Herzegovina,HRV,Europe
205,Croatia,Hungary,HRV,Europe
206,Croatia,Montenegro,HRV,Europe
207,Croatia,Serbia,HRV,Europe
208,Croatia,Slovenia,HRV,Europe
209,Cuba,Cayman Islands,CUB,Americas
210,Cuba,Mexico,CUB,Americas
211,Cuba,United States of America,CUB,Americas
213,Cyprus,Greece,CYP,Asia
214,Cyprus,Turkey,CYP,Asia
215,Czechia,Austria,CZE,Europe
216,Czechia,Germany,CZE,Europe
217,Czechia,Poland,CZE,Europe
218,Czechia,Slovakia,CZE,Europe
219,Denmark,Germany,DNK,Europe
220,Denmark,Sweden,DNK,Europe
221,Djibouti,Eritrea,DJI,Africa
