,src,trg,iso_code_src,region,iso_code_trg,days_to_first_100_cases,weeks_since_100_cases
424,Ethiopia,South Sudan,ETH,Africa,SSD,112.0,16
425,Kenya,South Sudan,KEN,Africa,SSD,112.0,16
426,Sudan,South Sudan,SDN,Africa,SSD,112.0,16
427,Uganda,South Sudan,UGA,Africa,SSD,112.0,16
428,Central African Republic,Sudan,CAF,Africa,SDN,95.0,13
429,Chad,Sudan,TCD,Africa,SDN,95.0,13
430,Egypt,Sudan,EGY,Africa,SDN,95.0,13
431,Eritrea,Sudan,ERI,Africa,SDN,95.0,13
432,Ethiopia,Sudan,ETH,Africa,SDN,95.0,13
433,Libya,Sudan,LBY,Africa,SDN,95.0,13
434,South Sudan,Sudan,SSD,Africa,SDN,95.0,13
435,China,Afghanistan,CHN,Asia,AFG,71.0,10
436,Iran (Islamic Republic of),Afghanistan,IRN,Asia,AFG,71.0,10
437,Pakistan,Afghanistan,PAK,Asia,AFG,71.0,10
438,Tajikistan,Afghanistan,TJK,Asia,AFG,71.0,10
439,Turkmenistan,Afghanistan,TKM,Asia,AFG,71.0,10
440,Uzbekistan,Afghanistan,UZB,Asia,AFG,71.0,10
441,China,Kazakhstan,CHN,Asia,KAZ,69.0,9
442,Kyrgyzstan,Kazakhstan,KGZ,Asia,KAZ,69.0,9
443,Russian Federation,Kazakhstan,RUS,Europe,KAZ,69.0,9
444,Turkmenistan,Kazakhstan,TKM,Asia,KAZ,69.0,9
445,Uzbekistan,Kazakhstan,UZB,Asia,KAZ,69.0,9
446,China,Kyrgyzstan,CHN,Asia,KGZ,74.0,10
447,Kazakhstan,Kyrgyzstan,KAZ,Asia,KGZ,74.0,10
448,Tajikistan,Kyrgyzstan,TJK,Asia,KGZ,74.0,10
449,Uzbekistan,Kyrgyzstan,UZB,Asia,KGZ,74.0,10
450,China,Mongolia,CHN,Asia,MNG,119.0,17
451,Russian Federation,Mongolia,RUS,Europe,MNG,119.0,17
452,China,Nepal,CHN,Asia,NPL,111.0,15
453,India,Nepal,IND,Asia,NPL,111.0,15
454,Colombia,Ecuador,COL,Americas,ECU,60.0,8
455,Peru,Ecuador,PER,Americas,ECU,60.0,8
456,Colombia,Panama,COL,Americas,PAN,61.0,8
457,Costa Rica,Panama,CRI,Americas,PAN,61.0,8
458,Comoros,Mozambique,COM,Africa,MOZ,115.0,16
459,Malawi,Mozambique,MWI,Africa,MOZ,115.0,16
460,Mayotte,Mozambique,MYT,Africa,MOZ,115.0,16
461,South Africa,Mozambique,ZAF,Africa,MOZ,115.0,16
462,Swaziland,Mozambique,SWZ,Africa,MOZ,115.0,16
463,"Tanzania, United Republic of",Mozambique,TZA,Africa,MOZ,115.0,16
464,Zambia,Mozambique,ZMB,Africa,MOZ,115.0,16
465,Zimbabwe,Mozambique,ZWE,Africa,MOZ,115.0,16
466,Congo,Angola,COG,Africa,AGO,145.0,20
467,"Congo, Democratic Republic of the",Angola,COD,Africa,AGO,145.0,20
468,Namibia,Angola,NAM,Africa,AGO,145.0,20
469,Zambia,Angola,ZMB,Africa,AGO,145.0,20
470,"Congo, Democratic Republic of the",Burundi,COD,Africa,BDI,150.0,21
471,Rwanda,Burundi,RWA,Africa,BDI,150.0,21
472,"Tanzania, United Republic of",Burundi,TZA,Africa,BDI,150.0,21
473,"Congo, Democratic Republic of the",Uganda,COD,Africa,UGA,111.0,15
474,Kenya,Uganda,KEN,Africa,UGA,111.0,15
475,Rwanda,Uganda,RWA,Africa,UGA,111.0,15
476,South Sudan,Uganda,SSD,Africa,UGA,111.0,15
477,"Tanzania, United Republic of",Uganda,TZA,Africa,UGA,111.0,15
478,Costa Rica,Nicaragua,CRI,Americas,NIC,126.0,18
479,Honduras,Nicaragua,HND,Americas,NIC,126.0,18
480,Côte d'Ivoire,Guinea,CIV,Africa,GIN,78.0,11
481,Guinea-Bissau,Guinea,GNB,Africa,GIN,78.0,11
482,Liberia,Guinea,LBR,Africa,GIN,78.0,11
483,Mali,Guinea,MLI,Africa,GIN,78.0,11
484,Senegal,Guinea,SEN,Africa,GIN,78.0,11
485,Sierra Leone,Guinea,SLE,Africa,GIN,78.0,11
486,Côte d'Ivoire,Liberia,CIV,Africa,LBR,95.0,13
487,Guinea,Liberia,GIN,Africa,LBR,95.0,13
488,Sierra Leone,Liberia,SLE,Africa,LBR,95.0,13
489,Croatia,Bosnia and Herzegovina,HRV,Europe,BIH,65.0,9
490,Montenegro,Bosnia and Herzegovina,MNE,Europe,BIH,65.0,9
491,Serbia,Bosnia and Herzegovina,SRB,Europe,BIH,65.0,9
492,Cuba,Cayman Islands,CUB,Americas,CYM,123.0,17
493,Czechia,Austria,CZE,Europe,AUT,51.0,7
494,Germany,Austria,DEU,Europe,AUT,51.0,7
495,Hungary,Austria,HUN,Europe,AUT,51.0,7
496,Italy,Austria,ITA,Europe,AUT,51.0,7
497,Slovakia,Austria,SVK,Europe,AUT,51.0,7
498,Slovenia,Austria,SVN,Europe,AUT,51.0,7
499,Switzerland,Austria,CHE,Europe,AUT,51.0,7
500,Denmark,Sweden,DNK,Europe,SWE,49.0,7
501,Finland,Sweden,FIN,Europe,SWE,49.0,7
502,Norway,Sweden,NOR,Europe,SWE,49.0,7
503,Djibouti,Eritrea,DJI,Africa,ERI,150.0,21
504,Ethiopia,Eritrea,ETH,Africa,ERI,150.0,21
505,South Sudan,Eritrea,SSD,Africa,ERI,150.0,21
506,Sudan,Eritrea,SDN,Africa,ERI,150.0,21
507,Djibouti,Ethiopia,DJI,Africa,ETH,92.0,13
508,Eritrea,Ethiopia,ERI,Africa,ETH,92.0,13
509,Kenya,Ethiopia,KEN,Africa,ETH,92.0,13
510,Somalia,Ethiopia,SOM,Africa,ETH,92.0,13
511,South Sudan,Ethiopia,SSD,Africa,ETH,92.0,13
512,Sudan,Ethiopia,SDN,Africa,ETH,92.0,13
513,Djibouti,Somalia,DJI,Africa,SOM,91.0,13
514,Ethiopia,Somalia,ETH,Africa,SOM,91.0,13
515,Kenya,Somalia,KEN,Africa,SOM,91.0,13
516,Seychelles,Somalia,SYC,Africa,SOM,91.0,13
517,Dominican Republic,Haiti,DOM,Americas,HTI,109.0,15
518,Jamaica,Haiti,JAM,Americas,HTI,109.0,15
519,Dominican Republic,Puerto Rico,DOM,Americas,PRI,72.0,10
520,Virgin Islands (British),Puerto Rico,VGB,Americas,PRI,72.0,10
521,Egypt,Israel,EGY,Africa,ISR,56.0,8
522,Jordan,Israel,JOR,Asia,ISR,56.0,8
523,Lebanon,Israel,LBN,Asia,ISR,56.0,8
524,El Salvador,Honduras,SLV,Americas,HND,71.0,10
525,Guatemala,Honduras,GTM,Americas,HND,71.0,10
526,Nicaragua,Honduras,NIC,Americas,HND,71.0,10
527,Eritrea,Djibouti,ERI,Africa,DJI,81.0,11
528,Ethiopia,Djibouti,ETH,Africa,DJI,81.0,11
529,Somalia,Djibouti,SOM,Africa,DJI,81.0,11
530,Ethiopia,Kenya,ETH,Africa,KEN,76.0,10
531,Somalia,Kenya,SOM,Africa,KEN,76.0,10
532,South Sudan,Kenya,SSD,Africa,KEN,76.0,10
533,"Tanzania, United Republic of",Kenya,TZA,Africa,KEN,76.0,10
534,Uganda,Kenya,UGA,Africa,KEN,76.0,10
535,Faroe Islands,United Kingdom of Great Britain and Northern Ireland,FRO,Europe,GBR,48.0,6
536,Guernsey,United Kingdom of Great Britain and Northern Ireland,GGY,Europe,GBR,48.0,6
537,Ireland,United Kingdom of Great Britain and Northern Ireland,IRL,Europe,GBR,48.0,6
538,Isle of Man,United Kingdom of Great Britain and Northern Ireland,IMN,Europe,GBR,48.0,6
539,Jersey,United Kingdom of Great Britain and Northern Ireland,JEY,Europe,GBR,48.0,6
540,Finland,Norway,FIN,Europe,NOR,49.0,7
541,Russian Federation,Norway,RUS,Europe,NOR,49.0,7
542,Sweden,Norway,SWE,Europe,NOR,49.0,7
543,France,Belgium,FRA,Europe,BEL,47.0,6
544,Germany,Belgium,DEU,Europe,BEL,47.0,6
545,Luxembourg,Belgium,LUX,Europe,BEL,47.0,6
546,Netherlands,Belgium,NLD,Europe,BEL,47.0,6
547,France,Spain,FRA,Europe,ESP,44.0,6
548,Gibraltar,Spain,GIB,Europe,ESP,44.0,6
549,Morocco,Spain,MAR,Africa,ESP,44.0,6
550,Portugal,Spain,PRT,Europe,ESP,44.0,6
551,Germany,Denmark,DEU,Europe,DNK,52.0,7
552,Sweden,Denmark,SWE,Europe,DNK,52.0,7
553,Greece,Albania,GRC,Europe,ALB,67.0,9
554,Montenegro,Albania,MNE,Europe,ALB,67.0,9
555,North Macedonia,Albania,MKD,Europe,ALB,67.0,9
556,Greece,Bulgaria,GRC,Europe,BGR,62.0,8
557,North Macedonia,Bulgaria,MKD,Europe,BGR,62.0,8
558,Romania,Bulgaria,ROU,Europe,BGR,62.0,8
559,Serbia,Bulgaria,SRB,Europe,BGR,62.0,8
560,Turkey,Bulgaria,TUR,Asia,BGR,62.0,8
561,Greenland,Iceland,GRL,Americas,ISL,55.0,7
562,Grenada,Trinidad and Tobago,GRD,Americas,TTO,78.0,11
563,Guatemala,El Salvador,GTM,Americas,SLV,82.0,11
564,Honduras,El Salvador,HND,Americas,SLV,82.0,11
565,Guinea,Guinea-Bissau,GIN,Africa,GNB,104.0,14
566,Senegal,Guinea-Bissau,SEN,Africa,GNB,104.0,14
567,Guinea,Sierra Leone,GIN,Africa,SLE,102.0,14
568,Liberia,Sierra Leone,LBR,Africa,SLE,102.0,14
569,Haiti,Dominican Republic,HTI,Americas,DOM,64.0,9
570,Puerto Rico,Dominican Republic,PRI,Americas,DOM,64.0,9
571,Iceland,Faroe Islands,ISL,Europe,FRO,65.0,9
572,India,Bangladesh,IND,Asia,BGD,80.0,11
573,Myanmar,Bangladesh,MMR,Asia,BGD,80.0,11
574,Iran (Islamic Republic of),Iraq,IRN,Asia,IRQ,58.0,8
575,Jordan,Iraq,JOR,Asia,IRQ,58.0,8
576,Kuwait,Iraq,KWT,Asia,IRQ,58.0,8
577,Saudi Arabia,Iraq,SAU,Asia,IRQ,58.0,8
578,Turkey,Iraq,TUR,Asia,IRQ,58.0,8
579,Iraq,Jordan,IRQ,Asia,JOR,66.0,9
580,Israel,Jordan,ISR,Asia,JOR,66.0,9
581,Saudi Arabia,Jordan,SAU,Asia,JOR,66.0,9
582,Iraq,Kuwait,IRQ,Asia,KWT,57.0,8
583,Saudi Arabia,Kuwait,SAU,Asia,KWT,57.0,8
584,Isle of Man,Ireland,IMN,Europe,IRL,57.0,8
585,United Kingdom of Great Britain and Northern Ireland,Ireland,GBR,Europe,IRL,57.0,8
586,Israel,Egypt,ISR,Asia,EGY,58.0,8
587,Libya,Egypt,LBY,Africa,EGY,58.0,8
588,Sudan,Egypt,SDN,Africa,EGY,58.0,8
589,Israel,Lebanon,ISR,Asia,LBN,59.0,8
590,Korea (Democratic People's Republic of),"Korea, Republic of",PRK,Asia,KOR,34.0,4
591,Lao People's Democratic Republic,Cambodia,LAO,Asia,KHM,70.0,10
592,Thailand,Cambodia,THA,Asia,KHM,70.0,10
593,Viet Nam,Cambodia,VNM,Asia,KHM,70.0,10
594,Latvia,Belarus,LVA,Europe,BLR,73.0,10
595,Lithuania,Belarus,LTU,Europe,BLR,73.0,10
596,Poland,Belarus,POL,Europe,BLR,73.0,10
597,Russian Federation,Belarus,RUS,Europe,BLR,73.0,10
598,Ukraine,Belarus,UKR,Europe,BLR,73.0,10
599,Latvia,Estonia,LVA,Europe,EST,57.0,8
600,Russian Federation,Estonia,RUS,Europe,EST,57.0,8
601,Libya,Algeria,LBY,Africa,DZA,63.0,9
602,Mali,Algeria,MLI,Africa,DZA,63.0,9
603,Mauritania,Algeria,MRT,Africa,DZA,63.0,9
604,Morocco,Algeria,MAR,Africa,DZA,63.0,9
605,Niger,Algeria,NER,Africa,DZA,63.0,9
606,Tunisia,Algeria,TUN,Africa,DZA,63.0,9
607,Western Sahara,Algeria,ESH,Africa,DZA,63.0,9
608,Malaysia,Brunei,MYS,Asia,BRN,67.0,9
609,Malaysia,Philippines,MYS,Asia,PHL,57.0,8
610,Palau,Philippines,PLW,Oceania,PHL,57.0,8
611,Taiwan,Philippines,TWN,Asia,PHL,57.0,8
612,Malaysia,Singapore,MYS,Asia,SGP,43.0,6
613,Maldives,Sri Lanka,MDV,Asia,LKA,67.0,9
614,Mozambique,Madagascar,MOZ,Africa,MDG,84.0,12
615,Réunion,Madagascar,REU,Africa,MDG,84.0,12
616,Seychelles,Madagascar,SYC,Africa,MDG,84.0,12
617,Mozambique,Malawi,MOZ,Africa,MWI,129.0,18
618,"Tanzania, United Republic of",Malawi,TZA,Africa,MWI,129.0,18
619,Zambia,Malawi,ZMB,Africa,MWI,129.0,18
620,Mozambique,Swaziland,MOZ,Africa,SWZ,105.0,15
621,South Africa,Swaziland,ZAF,Africa,SWZ,105.0,15
622,Namibia,Botswana,NAM,Africa,BWA,161.0,23
623,South Africa,Botswana,ZAF,Africa,BWA,161.0,23
624,Zambia,Botswana,ZMB,Africa,BWA,161.0,23
625,Zimbabwe,Botswana,ZWE,Africa,BWA,161.0,23
626,New Caledonia,Australia,NCL,Oceania,AUS,53.0,7
627,New Zealand,Australia,NZL,Oceania,AUS,53.0,7
628,Papua New Guinea,Australia,PNG,Oceania,AUS,53.0,7
629,Nicaragua,Costa Rica,NIC,Americas,CRI,63.0,9
630,Panama,Costa Rica,PAN,Americas,CRI,63.0,9
631,Norfolk Island,New Zealand,NFK,Oceania,NZL,65.0,9
632,Northern Mariana Islands,Guam,MNP,Oceania,GUM,79.0,11
633,Palau,Guam,PLW,Oceania,GUM,79.0,11
634,Norway,Finland,NOR,Europe,FIN,55.0,7
635,Russian Federation,Finland,RUS,Europe,FIN,55.0,7
636,Sweden,Finland,SWE,Europe,FIN,55.0,7
637,Oman,United Arab Emirates,OMN,Asia,ARE,60.0,8
638,Saudi Arabia,United Arab Emirates,SAU,Asia,ARE,60.0,8
639,Oman,Yemen,OMN,Asia,YEM,119.0,17
640,Saudi Arabia,Yemen,SAU,Asia,YEM,119.0,17
641,Romania,"Moldova, Republic of",ROU,Europe,MDA,66.0,9
642,Ukraine,"Moldova, Republic of",UKR,Europe,MDA,66.0,9
643,Saint Lucia,Barbados,LCA,Americas,BRB,176.0,25
644,Saint Vincent and the Grenadines,Barbados,VCT,Americas,BRB,176.0,25
645,Saint Pierre and Miquelon,Canada,SPM,Americas,CAN,54.0,7
646,United States of America,Canada,USA,Americas,CAN,54.0,7
647,Saudi Arabia,Oman,SAU,Asia,OMN,69.0,9
648,United Arab Emirates,Oman,ARE,Asia,OMN,69.0,9
649,Yemen,Oman,YEM,Asia,OMN,69.0,9
650,South Africa,Lesotho,ZAF,Africa,LSO,174.0,24
651,Spain,Gibraltar,ESP,Europe,GIB,79.0,11
652,Spain,Portugal,ESP,Europe,PRT,56.0,8
653,Turks and Caicos Islands,Bahamas,TCA,Americas,BHS,132.0,18
