"name","region","selected","shared name","weeks_since_100_cases"
"MAC","","false","MAC","142"
"NCL","Oceania","false","NCL","142"
"NFK","Oceania","false","NFK","142"
"PNG","Oceania","false","PNG","142"
"PLW","Oceania","false","PLW","142"
"WSM","","false","WSM","142"
"SLB","","false","SLB","142"
"TON","Oceania","false","TON","142"
"VUT","Oceania","false","VUT","142"
"VNM","","false","VNM","9"
"UZB","","false","UZB","10"
"TCA","Americas","false","TCA","142"
"YEM","","false","YEM","17"
"TGO","","false","TGO","14"
"CAF","Africa","false","CAF","16"
"SPM","Americas","false","SPM","142"
"PRK","Asia","false","PRK","142"
"MNP","","false","MNP","142"
"MYT","Africa","false","MYT","142"
"REU","Africa","false","REU","142"
"FRO","Europe","false","FRO","9"
"GRL","Americas","false","GRL","142"
"KIR","Oceania","false","KIR","142"
"FSM","Oceania","false","FSM","142"
"IMN","Europe","false","IMN","11"
"ESH","","false","ESH","23"
