,src,trg,iso_code_src,region,iso_code_trg,kmdist,proximity,log-prox,norm-log-prox
62,Belarus,Poland,BLR,Europe,POL,454.0,0.0022026431718061676,0.1634495117730625,0.2567910600685686
63,Belarus,Russian Federation,BLR,Europe,RUS,688.0,0.0014534883720930232,0.1530505537911297,0.21142443634637
64,Belarus,Ukraine,BLR,Europe,UKR,390.0,0.002564102564102564,0.16761237088628497,0.274952001128837
65,Belgium,France,BEL,Europe,FRA,266.0,0.0037593984962406013,0.17909924977065075,0.32506480214167777
67,Belgium,Germany,BEL,Europe,DEU,676.0,0.0014792899408284023,0.15346383821506743,0.21322743612611755
71,Belgium,Luxembourg,BEL,Europe,LUX,136.0,0.007352941176470588,0.20355592307196482,0.4317597899553736
73,Belgium,Netherlands,BEL,Europe,NLD,219.0,0.0045662100456621,0.18556071437446803,0.3532536681689256
75,Belize,Guatemala,BLZ,Americas,GTM,400.0,0.0025,0.16690410034766703,0.2718620912479792
76,Belize,Mexico,BLZ,Americas,MEX,1178.0,0.0008488964346349745,0.14141124591323506,0.16064664670622722
77,Benin,Burkina Faso,BEN,Africa,BFA,807.0,0.0012391573729863693,0.14940260617315615,0.19550985459400325
78,Benin,Niger,BEN,Africa,NER,780.0,0.001282051282051282,0.15016607046644773,0.19884055343702864
79,Benin,Nigeria,BEN,Africa,NGA,74.0,0.013513513513513514,0.23233849357411737,0.5573269908227543
80,Benin,Togo,BEN,Africa,TGO,166.0,0.006024096385542169,0.1956186206621379,0.397132415518287
81,Bermuda,United States of America,BMU,Americas,USA,1326.0,0.0007541478129713424,0.13908356394576527,0.1504918723387745
82,Bhutan,China,BTN,Asia,CHN,2806.0,0.0003563791874554526,0.12595227380626867,0.09320514228557403
83,Bhutan,India,BTN,Asia,IND,1220.0,0.000819672131147541,0.14071414408225535,0.1576054615685377
86,Bolivia,Brazil,BOL,Americas,BRA,2178.0,0.0004591368227731864,0.13010394010877954,0.11131725345030587
87,Bolivia,Chile,BOL,Americas,CHL,1908.0,0.0005241090146750524,0.13238351073275065,0.12126213667086996
88,Bolivia,Paraguay,BOL,Americas,PRY,1480.0,0.0006756756756756757,0.13699010393820013,0.1413589176133409
89,Bolivia,Peru,BOL,Americas,PER,1069.0,0.0009354536950420954,0.14337988726573253,0.16923506601111157
90,Bosnia and Herzegovina,Croatia,BIH,Europe,HRV,299.0,0.0033444816053511705,0.1754249449407652,0.3090352340880627
91,Bosnia and Herzegovina,Montenegro,BIH,Europe,MNE,96.0,0.010416666666666666,0.21908933281411486,0.4995260369311957
92,Bosnia and Herzegovina,Serbia,BIH,Europe,SRB,196.0,0.00510204081632653,0.1894615908449756,0.3702716804862908
93,Botswana,Namibia,BWA,Africa,NAM,931.0,0.0010741138560687433,0.14627882873370296,0.18188202419659397
94,Botswana,South Africa,BWA,Africa,ZAF,1260.0,0.0007936507936507937,0.1400782505133701,0.15483130435806486
95,Botswana,Zambia,BWA,Africa,ZMB,1035.0,0.000966183574879227,0.14404745418365533,0.1721474017689259
96,Botswana,Zimbabwe,BWA,Africa,ZWE,932.0,0.001072961373390558,0.1462558613282867,0.18178182630742032
99,Brazil,Colombia,BRA,Americas,COL,3651.0,0.0002738975623116954,0.12191024010372484,0.07557131566810477
100,Brazil,French Guiana,BRA,Americas,GUF,2354.0,0.0004248088360237893,0.1288017231260359,0.10563618540835128
101,Brazil,Guyana,BRA,Americas,GUY,2714.0,0.00036845983787767134,0.12648335184257767,0.09552202994703149
102,Brazil,Paraguay,BRA,Americas,PRY,1509.0,0.0006626905235255136,0.13662690786782047,0.13977443390921188
103,Brazil,Peru,BRA,Americas,PER,3185.0,0.0003139717425431711,0.1239739978879779,0.08457469110385832
104,Brazil,Suriname,BRA,Americas,SUR,2467.0,0.00040535062829347385,0.12802854538329264,0.10226311054966306
105,Brazil,Uruguay,BRA,Americas,URY,2277.0,0.0004391743522178305,0.12935583013901225,0.10805353957048981
106,Brazil,Venezuela (Bolivarian Republic of),BRA,Americas,VEN,3512.0,0.0002847380410022779,0.12248986188680845,0.0780999808843726
107,Brunei,Malaysia,BRN,Asia,MYS,1451.0,0.0006891798759476223,0.13736248164331694,0.14298345723162967
108,Bulgaria,Greece,BGR,Europe,GRC,453.0,0.002207505518763797,0.1635084431645399,0.2570481548916486
109,Bulgaria,North Macedonia,BGR,Europe,MKD,151.0,0.006622516556291391,0.19931118704250333,0.4132416516396684
110,Bulgaria,Romania,BGR,Europe,ROU,317.0,0.0031545741324921135,0.1736442188571542,0.3012666162777166
111,Bulgaria,Serbia,BGR,Europe,SRB,321.0,0.003115264797507788,0.173266949911753,0.29962073807359046
112,Bulgaria,Turkey,BGR,Europe,TUR,866.0,0.0011547344110854503,0.14784402950648895,0.18871038859926256
114,Burkina Faso,Côte d'Ivoire,BFA,Africa,CIV,784.0,0.0012755102040816326,0.15005081425020655,0.1983377352313063
115,Burkina Faso,Ghana,BFA,Africa,GHA,797.0,0.0012547051442910915,0.14968144767086633,0.1967263319878662
116,Burkina Faso,Mali,BFA,Africa,MLI,706.0,0.00141643059490085,0.15244796589352247,0.20879557887259295
117,Burkina Faso,Niger,BFA,Africa,NER,413.0,0.002421307506053269,0.16601788005403986,0.26799585554765115
118,Burkina Faso,Togo,BFA,Africa,TGO,730.0,0.0013698630136986301,0.15167499549281763,0.20542340856686622
