,src,trg,iso_code_src,region,iso_code_trg
137,Canada,Greenland,CAN,Americas,GRL
138,Canada,United States of America,CAN,Americas,USA
139,Cayman Islands,Cuba,CYM,Americas,CUB
140,Cayman Islands,Jamaica,CYM,Americas,JAM
141,Central African Republic,Cameroon,CAF,Africa,CMR
142,Central African Republic,Chad,CAF,Africa,TCD
143,Central African Republic,Congo,CAF,Africa,COG
144,Central African Republic,"Congo, Democratic Republic of the",CAF,Africa,COD
145,Central African Republic,South Sudan,CAF,Africa,SSD
146,Central African Republic,Sudan,CAF,Africa,SDN
147,Chad,Cameroon,TCD,Africa,CMR
148,Chad,Central African Republic,TCD,Africa,CAF
149,Chad,Libya,TCD,Africa,LBY
150,Chad,Niger,TCD,Africa,NER
151,Chad,Nigeria,TCD,Africa,NGA
152,Chad,Sudan,TCD,Africa,SDN
153,Chile,Argentina,CHL,Americas,ARG
154,Chile,Bolivia,CHL,Americas,BOL
155,Chile,Peru,CHL,Americas,PER
156,China,Afghanistan,CHN,Asia,AFG
157,China,Bhutan,CHN,Asia,BTN
158,China,Hong Kong,CHN,Asia,HKG
159,China,India,CHN,Asia,IND
160,China,Kazakhstan,CHN,Asia,KAZ
161,China,Korea (Democratic People's Republic of),CHN,Asia,PRK
162,China,Kyrgyzstan,CHN,Asia,KGZ
163,China,Lao People's Democratic Republic,CHN,Asia,LAO
164,China,Macao,CHN,Asia,MAC
165,China,Mongolia,CHN,Asia,MNG
166,China,Myanmar,CHN,Asia,MMR
167,China,Nepal,CHN,Asia,NPL
168,China,Pakistan,CHN,Asia,PAK
169,China,Russian Federation,CHN,Asia,RUS
170,China,Tajikistan,CHN,Asia,TJK
171,China,Viet Nam,CHN,Asia,VNM
172,Christmas Island,Cocos (Keeling) Islands,CXR,Oceania,CCK
173,Christmas Island,Indonesia,CXR,Oceania,IDN
174,Cocos (Keeling) Islands,Indonesia,CCK,Oceania,IDN
175,Colombia,Brazil,COL,Americas,BRA
176,Colombia,Ecuador,COL,Americas,ECU
177,Colombia,Panama,COL,Americas,PAN
178,Colombia,Peru,COL,Americas,PER
