,src,trg,iso_code_src,region,iso_code_trg
579,Russian Federation,Kazakhstan,RUS,Europe,KAZ
580,Russian Federation,Korea (Democratic People's Republic of),RUS,Europe,PRK
581,Russian Federation,Latvia,RUS,Europe,LVA
582,Russian Federation,Lithuania,RUS,Europe,LTU
583,Russian Federation,Mongolia,RUS,Europe,MNG
584,Russian Federation,Norway,RUS,Europe,NOR
585,Russian Federation,Poland,RUS,Europe,POL
586,Russian Federation,Ukraine,RUS,Europe,UKR
587,Rwanda,Burundi,RWA,Africa,BDI
588,Rwanda,"Congo, Democratic Republic of the",RWA,Africa,COD
589,Rwanda,"Tanzania, United Republic of",RWA,Africa,TZA
590,Rwanda,Uganda,RWA,Africa,UGA
595,Saint Lucia,Barbados,LCA,Americas,BRB
596,Saint Lucia,Martinique,LCA,Americas,MTQ
597,Saint Lucia,Saint Vincent and the Grenadines,LCA,Americas,VCT
600,Saint Pierre and Miquelon,Canada,SPM,Americas,CAN
601,Saint Vincent and the Grenadines,Barbados,VCT,Americas,BRB
602,Saint Vincent and the Grenadines,Grenada,VCT,Americas,GRD
605,Sao Tome and Principe,Gabon,STP,Africa,GAB
606,Saudi Arabia,Iraq,SAU,Asia,IRQ
607,Saudi Arabia,Jordan,SAU,Asia,JOR
608,Saudi Arabia,Kuwait,SAU,Asia,KWT
609,Saudi Arabia,Oman,SAU,Asia,OMN
610,Saudi Arabia,Qatar,SAU,Asia,QAT
611,Saudi Arabia,United Arab Emirates,SAU,Asia,ARE
612,Saudi Arabia,Yemen,SAU,Asia,YEM
613,Senegal,Gambia,SEN,Africa,GMB
614,Senegal,Guinea,SEN,Africa,GIN
615,Senegal,Guinea-Bissau,SEN,Africa,GNB
616,Senegal,Mali,SEN,Africa,MLI
617,Senegal,Mauritania,SEN,Africa,MRT
618,Serbia,Bosnia and Herzegovina,SRB,Europe,BIH
619,Serbia,Bulgaria,SRB,Europe,BGR
620,Serbia,Croatia,SRB,Europe,HRV
621,Serbia,Hungary,SRB,Europe,HUN
623,Serbia,Montenegro,SRB,Europe,MNE
624,Serbia,North Macedonia,SRB,Europe,MKD
625,Serbia,Romania,SRB,Europe,ROU
626,Seychelles,Madagascar,SYC,Africa,MDG
627,Seychelles,Somalia,SYC,Africa,SOM
628,Sierra Leone,Guinea,SLE,Africa,GIN
629,Sierra Leone,Liberia,SLE,Africa,LBR
630,Singapore,Indonesia,SGP,Asia,IDN
632,Slovakia,Austria,SVK,Europe,AUT
633,Slovakia,Czechia,SVK,Europe,CZE
634,Slovakia,Hungary,SVK,Europe,HUN
635,Slovakia,Poland,SVK,Europe,POL
636,Slovakia,Ukraine,SVK,Europe,UKR
637,Slovenia,Austria,SVN,Europe,AUT
638,Slovenia,Croatia,SVN,Europe,HRV
639,Slovenia,Hungary,SVN,Europe,HUN
640,Slovenia,Italy,SVN,Europe,ITA
641,Somalia,Djibouti,SOM,Africa,DJI
642,Somalia,Ethiopia,SOM,Africa,ETH
643,Somalia,Kenya,SOM,Africa,KEN
644,Solomon Islands,Nauru,SLB,Oceania,NRU
645,South Africa,Botswana,ZAF,Africa,BWA
646,South Africa,Lesotho,ZAF,Africa,LSO
647,South Africa,Mozambique,ZAF,Africa,MOZ
648,South Africa,Namibia,ZAF,Africa,NAM
649,South Africa,Swaziland,ZAF,Africa,SWZ
650,South Africa,Zimbabwe,ZAF,Africa,ZWE
653,South Sudan,Central African Republic,SSD,Africa,CAF
654,South Sudan,"Congo, Democratic Republic of the",SSD,Africa,COD
655,South Sudan,Eritrea,SSD,Africa,ERI
656,South Sudan,Ethiopia,SSD,Africa,ETH
657,South Sudan,Kenya,SSD,Africa,KEN
658,South Sudan,Sudan,SSD,Africa,SDN
659,South Sudan,Uganda,SSD,Africa,UGA
661,Spain,France,ESP,Europe,FRA
662,Spain,Gibraltar,ESP,Europe,GIB
663,Spain,Morocco,ESP,Europe,MAR
664,Spain,Portugal,ESP,Europe,PRT
665,Sri Lanka,India,LKA,Asia,IND
666,Sri Lanka,Indonesia,LKA,Asia,IDN
667,Sudan,Central African Republic,SDN,Africa,CAF
668,Sudan,Chad,SDN,Africa,TCD
669,Sudan,Egypt,SDN,Africa,EGY
670,Sudan,Eritrea,SDN,Africa,ERI
671,Sudan,Ethiopia,SDN,Africa,ETH
672,Sudan,Libya,SDN,Africa,LBY
673,Sudan,South Sudan,SDN,Africa,SSD
674,Suriname,Brazil,SUR,Americas,BRA
675,Suriname,French Guiana,SUR,Americas,GUF
676,Suriname,Guyana,SUR,Americas,GUY
678,Swaziland,Mozambique,SWZ,Africa,MOZ
679,Swaziland,South Africa,SWZ,Africa,ZAF
680,Sweden,Denmark,SWE,Europe,DNK
681,Sweden,Finland,SWE,Europe,FIN
682,Sweden,Norway,SWE,Europe,NOR
683,Switzerland,Austria,CHE,Europe,AUT
684,Switzerland,France,CHE,Europe,FRA
685,Switzerland,Germany,CHE,Europe,DEU
686,Switzerland,Italy,CHE,Europe,ITA
693,Taiwan,China,TWN,Asia,CHN
694,Taiwan,Philippines,TWN,Asia,PHL
695,Tajikistan,Afghanistan,TJK,Asia,AFG
696,Tajikistan,China,TJK,Asia,CHN
697,Tajikistan,Kyrgyzstan,TJK,Asia,KGZ
698,Tajikistan,Uzbekistan,TJK,Asia,UZB
699,"Tanzania, United Republic of",Burundi,TZA,Africa,BDI
700,"Tanzania, United Republic of","Congo, Democratic Republic of the",TZA,Africa,COD
701,"Tanzania, United Republic of",Kenya,TZA,Africa,KEN
702,"Tanzania, United Republic of",Malawi,TZA,Africa,MWI
703,"Tanzania, United Republic of",Mozambique,TZA,Africa,MOZ
704,"Tanzania, United Republic of",Rwanda,TZA,Africa,RWA
705,"Tanzania, United Republic of",Uganda,TZA,Africa,UGA
706,"Tanzania, United Republic of",Zambia,TZA,Africa,ZMB
707,Thailand,Cambodia,THA,Asia,KHM
708,Thailand,Lao People's Democratic Republic,THA,Asia,LAO
709,Thailand,Malaysia,THA,Asia,MYS
710,Thailand,Myanmar,THA,Asia,MMR
712,Togo,Benin,TGO,Africa,BEN
713,Togo,Burkina Faso,TGO,Africa,BFA
714,Togo,Ghana,TGO,Africa,GHA
719,Tonga,American Samoa,TON,Oceania,ASM
720,Tonga,Fiji,TON,Oceania,FJI
721,Trinidad and Tobago,Grenada,TTO,Americas,GRD
722,Trinidad and Tobago,Venezuela (Bolivarian Republic of),TTO,Americas,VEN
723,Tunisia,Algeria,TUN,Africa,DZA
724,Tunisia,Libya,TUN,Africa,LBY
725,Turkey,Armenia,TUR,Asia,ARM
726,Turkey,Azerbaijan,TUR,Asia,AZE
727,Turkey,Bulgaria,TUR,Asia,BGR
728,Turkey,Georgia,TUR,Asia,GEO
729,Turkey,Greece,TUR,Asia,GRC
730,Turkey,Iran (Islamic Republic of),TUR,Asia,IRN
731,Turkey,Iraq,TUR,Asia,IRQ
733,Turkmenistan,Afghanistan,TKM,Asia,AFG
734,Turkmenistan,Iran (Islamic Republic of),TKM,Asia,IRN
735,Turkmenistan,Kazakhstan,TKM,Asia,KAZ
736,Turkmenistan,Uzbekistan,TKM,Asia,UZB
737,Turks and Caicos Islands,Bahamas,TCA,Americas,BHS
738,Tuvalu,Wallis and Futuna,TUV,Oceania,WLF
739,Uganda,"Congo, Democratic Republic of the",UGA,Africa,COD
740,Uganda,Kenya,UGA,Africa,KEN
741,Uganda,Rwanda,UGA,Africa,RWA
742,Uganda,South Sudan,UGA,Africa,SSD
743,Uganda,"Tanzania, United Republic of",UGA,Africa,TZA
744,Ukraine,Belarus,UKR,Europe,BLR
745,Ukraine,Hungary,UKR,Europe,HUN
746,Ukraine,"Moldova, Republic of",UKR,Europe,MDA
747,Ukraine,Poland,UKR,Europe,POL
748,Ukraine,Romania,UKR,Europe,ROU
749,Ukraine,Russian Federation,UKR,Europe,RUS
750,Ukraine,Slovakia,UKR,Europe,SVK
751,United Arab Emirates,Oman,ARE,Asia,OMN
752,United Arab Emirates,Saudi Arabia,ARE,Asia,SAU
753,United Kingdom of Great Britain and Northern Ireland,Ireland,GBR,Europe,IRL
755,United States of America,Canada,USA,Americas,CAN
756,United States of America,Mexico,USA,Americas,MEX
757,Uruguay,Argentina,URY,Americas,ARG
758,Uruguay,Brazil,URY,Americas,BRA
759,Uzbekistan,Afghanistan,UZB,Asia,AFG
760,Uzbekistan,Kazakhstan,UZB,Asia,KAZ
761,Uzbekistan,Kyrgyzstan,UZB,Asia,KGZ
762,Uzbekistan,Tajikistan,UZB,Asia,TJK
763,Uzbekistan,Turkmenistan,UZB,Asia,TKM
764,Vanuatu,Fiji,VUT,Oceania,FJI
765,Vanuatu,Papua New Guinea,VUT,Oceania,PNG
766,Venezuela (Bolivarian Republic of),Brazil,VEN,Americas,BRA
767,Venezuela (Bolivarian Republic of),Colombia,VEN,Americas,COL
768,Venezuela (Bolivarian Republic of),Grenada,VEN,Americas,GRD
769,Venezuela (Bolivarian Republic of),Guyana,VEN,Americas,GUY
770,Viet Nam,Cambodia,VNM,Asia,KHM
771,Viet Nam,China,VNM,Asia,CHN
772,Viet Nam,Lao People's Democratic Republic,VNM,Asia,LAO
773,Virgin Islands (British),Anguilla,VGB,Americas,AIA
774,Virgin Islands (British),Puerto Rico,VGB,Americas,PRI
778,Wallis and Futuna,Samoa,WLF,Oceania,WSM
779,Western Sahara,Algeria,ESH,Africa,DZA
780,Western Sahara,Mauritania,ESH,Africa,MRT
781,Western Sahara,Morocco,ESH,Africa,MAR
782,Yemen,Oman,YEM,Asia,OMN
783,Yemen,Saudi Arabia,YEM,Asia,SAU
784,Zambia,Angola,ZMB,Africa,AGO
785,Zambia,Botswana,ZMB,Africa,BWA
786,Zambia,"Congo, Democratic Republic of the",ZMB,Africa,COD
787,Zambia,Malawi,ZMB,Africa,MWI
788,Zambia,Mozambique,ZMB,Africa,MOZ
789,Zambia,Namibia,ZMB,Africa,NAM
790,Zambia,"Tanzania, United Republic of",ZMB,Africa,TZA
791,Zambia,Zimbabwe,ZMB,Africa,ZWE
792,Zimbabwe,Botswana,ZWE,Africa,BWA
793,Zimbabwe,Mozambique,ZWE,Africa,MOZ
794,Zimbabwe,South Africa,ZWE,Africa,ZAF
795,Zimbabwe,Zambia,ZWE,Africa,ZMB
