,src,trg,iso_code,region,days_since_100_cases_in_China_2019
0,Afghanistan,China,AFG,Asia,71 days 00:00:00.000000000
1,Afghanistan,Iran (Islamic Republic of),AFG,Asia,71 days 00:00:00.000000000
2,Afghanistan,Pakistan,AFG,Asia,71 days 00:00:00.000000000
3,Afghanistan,Tajikistan,AFG,Asia,71 days 00:00:00.000000000
4,Afghanistan,Turkmenistan,AFG,Asia,71 days 00:00:00.000000000
5,Afghanistan,Uzbekistan,AFG,Asia,71 days 00:00:00.000000000
6,Albania,Greece,ALB,Europe,67 days 00:00:00.000000000
7,Albania,Montenegro,ALB,Europe,67 days 00:00:00.000000000
8,Albania,North Macedonia,ALB,Europe,67 days 00:00:00.000000000
9,Algeria,Libya,DZA,Africa,63 days 00:00:00.000000000
10,Algeria,Mali,DZA,Africa,63 days 00:00:00.000000000
11,Algeria,Mauritania,DZA,Africa,63 days 00:00:00.000000000
12,Algeria,Morocco,DZA,Africa,63 days 00:00:00.000000000
13,Algeria,Niger,DZA,Africa,63 days 00:00:00.000000000
14,Algeria,Tunisia,DZA,Africa,63 days 00:00:00.000000000
15,Algeria,Western Sahara,DZA,Africa,63 days 00:00:00.000000000
16,American Samoa,Niue,ASM,Oceania,999 days 00:00:00.000000000
17,American Samoa,Samoa,ASM,Oceania,999 days 00:00:00.000000000
18,American Samoa,Wallis and Futuna,ASM,Oceania,999 days 00:00:00.000000000
19,Angola,Congo,AGO,Africa,145 days 00:00:00.000000000
20,Angola,"Congo, Democratic Republic of the",AGO,Africa,145 days 00:00:00.000000000
21,Angola,Namibia,AGO,Africa,145 days 00:00:00.000000000
22,Angola,Zambia,AGO,Africa,145 days 00:00:00.000000000
23,Anguilla,Antigua and Barbuda,AIA,Americas,999 days 00:00:00.000000000
24,Anguilla,Saint Kitts and Nevis,AIA,Americas,999 days 00:00:00.000000000
25,Antigua and Barbuda,Saint Kitts and Nevis,ATG,Americas,999 days 00:00:00.000000000
26,Argentina,Bolivia,ARG,Americas,62 days 00:00:00.000000000
27,Argentina,Brazil,ARG,Americas,62 days 00:00:00.000000000
28,Argentina,Chile,ARG,Americas,62 days 00:00:00.000000000
29,Argentina,Paraguay,ARG,Americas,62 days 00:00:00.000000000
30,Argentina,Uruguay,ARG,Americas,62 days 00:00:00.000000000
31,Armenia,Azerbaijan,ARM,Asia,61 days 00:00:00.000000000
32,Armenia,Georgia,ARM,Asia,61 days 00:00:00.000000000
33,Armenia,Iran (Islamic Republic of),ARM,Asia,61 days 00:00:00.000000000
34,Armenia,Turkey,ARM,Asia,61 days 00:00:00.000000000
35,Aruba,Venezuela (Bolivarian Republic of),ABW,Americas,110 days 00:00:00.000000000
36,Australia,Indonesia,AUS,Oceania,53 days 00:00:00.000000000
37,Australia,Norfolk Island,AUS,Oceania,53 days 00:00:00.000000000
38,Austria,Czechia,AUT,Europe,51 days 00:00:00.000000000
39,Austria,Germany,AUT,Europe,51 days 00:00:00.000000000
40,Austria,Hungary,AUT,Europe,51 days 00:00:00.000000000
41,Austria,Italy,AUT,Europe,51 days 00:00:00.000000000
42,Austria,Slovakia,AUT,Europe,51 days 00:00:00.000000000
43,Austria,Slovenia,AUT,Europe,51 days 00:00:00.000000000
44,Austria,Switzerland,AUT,Europe,51 days 00:00:00.000000000
45,Azerbaijan,Armenia,AZE,Asia,69 days 00:00:00.000000000
46,Azerbaijan,Georgia,AZE,Asia,69 days 00:00:00.000000000
47,Azerbaijan,Iran (Islamic Republic of),AZE,Asia,69 days 00:00:00.000000000
48,Azerbaijan,Russian Federation,AZE,Asia,69 days 00:00:00.000000000
49,Azerbaijan,Turkey,AZE,Asia,69 days 00:00:00.000000000
50,Bahamas,United States of America,BHS,Americas,132 days 00:00:00.000000000
51,Bahrain,Qatar,BHR,Asia,52 days 00:00:00.000000000
52,Bahrain,Saudi Arabia,BHR,Asia,52 days 00:00:00.000000000
53,Bangladesh,India,BGD,Asia,80 days 00:00:00.000000000
54,Bangladesh,Myanmar,BGD,Asia,80 days 00:00:00.000000000
55,Barbados,Grenada,BRB,Americas,176 days 00:00:00.000000000
56,Belarus,Latvia,BLR,Europe,73 days 00:00:00.000000000
57,Belarus,Lithuania,BLR,Europe,73 days 00:00:00.000000000
58,Belarus,Poland,BLR,Europe,73 days 00:00:00.000000000
59,Belarus,Russian Federation,BLR,Europe,73 days 00:00:00.000000000
60,Belarus,Ukraine,BLR,Europe,73 days 00:00:00.000000000
61,Belgium,France,BEL,Europe,47 days 00:00:00.000000000
62,Belgium,Germany,BEL,Europe,47 days 00:00:00.000000000
63,Belgium,Luxembourg,BEL,Europe,47 days 00:00:00.000000000
64,Belgium,Netherlands,BEL,Europe,47 days 00:00:00.000000000
65,Belize,Guatemala,BLZ,Americas,999 days 00:00:00.000000000
66,Belize,Mexico,BLZ,Americas,999 days 00:00:00.000000000
67,Benin,Burkina Faso,BEN,Africa,110 days 00:00:00.000000000
68,Benin,Niger,BEN,Africa,110 days 00:00:00.000000000
69,Benin,Nigeria,BEN,Africa,110 days 00:00:00.000000000
70,Benin,Togo,BEN,Africa,110 days 00:00:00.000000000
71,Bermuda,United States of America,BMU,Americas,100 days 00:00:00.000000000
72,Bhutan,China,BTN,Asia,999 days 00:00:00.000000000
73,Bhutan,India,BTN,Asia,999 days 00:00:00.000000000
74,Bolivia,Argentina,BOL,Americas,73 days 00:00:00.000000000
75,Bolivia,Brazil,BOL,Americas,73 days 00:00:00.000000000
76,Bolivia,Chile,BOL,Americas,73 days 00:00:00.000000000
77,Bolivia,Paraguay,BOL,Americas,73 days 00:00:00.000000000
78,Bolivia,Peru,BOL,Americas,73 days 00:00:00.000000000
79,Bosnia and Herzegovina,Croatia,BIH,Europe,65 days 00:00:00.000000000
80,Bosnia and Herzegovina,Montenegro,BIH,Europe,65 days 00:00:00.000000000
81,Bosnia and Herzegovina,Serbia,BIH,Europe,65 days 00:00:00.000000000
82,Botswana,Namibia,BWA,Africa,161 days 00:00:00.000000000
83,Botswana,South Africa,BWA,Africa,161 days 00:00:00.000000000
84,Botswana,Zambia,BWA,Africa,161 days 00:00:00.000000000
85,Botswana,Zimbabwe,BWA,Africa,161 days 00:00:00.000000000
