,src,trg,iso_code,region,days_since_100_cases_in_China_2019
86,Brazil,Argentina,BRA,Americas,57 days 00:00:00.000000000
87,Brazil,Bolivia,BRA,Americas,57 days 00:00:00.000000000
88,Brazil,Colombia,BRA,Americas,57 days 00:00:00.000000000
89,Brazil,French Guiana,BRA,Americas,57 days 00:00:00.000000000
90,Brazil,Guyana,BRA,Americas,57 days 00:00:00.000000000
91,Brazil,Paraguay,BRA,Americas,57 days 00:00:00.000000000
92,Brazil,Peru,BRA,Americas,57 days 00:00:00.000000000
93,Brazil,Suriname,BRA,Americas,57 days 00:00:00.000000000
94,Brazil,Uruguay,BRA,Americas,57 days 00:00:00.000000000
95,Brazil,Venezuela (Bolivarian Republic of),BRA,Americas,57 days 00:00:00.000000000
96,Brunei,Malaysia,BRN,Asia,67 days 00:00:00.000000000
97,Bulgaria,Greece,BGR,Europe,62 days 00:00:00.000000000
98,Bulgaria,North Macedonia,BGR,Europe,62 days 00:00:00.000000000
99,Bulgaria,Romania,BGR,Europe,62 days 00:00:00.000000000
100,Bulgaria,Serbia,BGR,Europe,62 days 00:00:00.000000000
101,Bulgaria,Turkey,BGR,Europe,62 days 00:00:00.000000000
102,Burkina Faso,Benin,BFA,Africa,68 days 00:00:00.000000000
103,Burkina Faso,Côte d'Ivoire,BFA,Africa,68 days 00:00:00.000000000
104,Burkina Faso,Ghana,BFA,Africa,68 days 00:00:00.000000000
105,Burkina Faso,Mali,BFA,Africa,68 days 00:00:00.000000000
106,Burkina Faso,Niger,BFA,Africa,68 days 00:00:00.000000000
107,Burkina Faso,Togo,BFA,Africa,68 days 00:00:00.000000000
108,Burundi,"Congo, Democratic Republic of the",BDI,Africa,150 days 00:00:00.000000000
109,Burundi,Rwanda,BDI,Africa,150 days 00:00:00.000000000
110,Burundi,"Tanzania, United Republic of",BDI,Africa,150 days 00:00:00.000000000
111,Cabo Verde,Mauritania,CPV,Africa,100 days 00:00:00.000000000
112,Cabo Verde,Senegal,CPV,Africa,100 days 00:00:00.000000000
113,Cambodia,Lao People's Democratic Republic,KHM,Asia,70 days 00:00:00.000000000
114,Cambodia,Thailand,KHM,Asia,70 days 00:00:00.000000000
115,Cambodia,Viet Nam,KHM,Asia,70 days 00:00:00.000000000
116,Cameroon,Central African Republic,CMR,Africa,73 days 00:00:00.000000000
117,Cameroon,Chad,CMR,Africa,73 days 00:00:00.000000000
118,Cameroon,Congo,CMR,Africa,73 days 00:00:00.000000000
119,Cameroon,Equatorial Guinea,CMR,Africa,73 days 00:00:00.000000000
120,Cameroon,Gabon,CMR,Africa,73 days 00:00:00.000000000
121,Cameroon,Nigeria,CMR,Africa,73 days 00:00:00.000000000
122,Canada,Greenland,CAN,Americas,54 days 00:00:00.000000000
123,Canada,United States of America,CAN,Americas,54 days 00:00:00.000000000
124,Cayman Islands,Cuba,CYM,Americas,123 days 00:00:00.000000000
125,Cayman Islands,Jamaica,CYM,Americas,123 days 00:00:00.000000000
126,Central African Republic,Cameroon,CAF,Africa,112 days 00:00:00.000000000
127,Central African Republic,Chad,CAF,Africa,112 days 00:00:00.000000000
128,Central African Republic,Congo,CAF,Africa,112 days 00:00:00.000000000
129,Central African Republic,"Congo, Democratic Republic of the",CAF,Africa,112 days 00:00:00.000000000
130,Central African Republic,South Sudan,CAF,Africa,112 days 00:00:00.000000000
131,Central African Republic,Sudan,CAF,Africa,112 days 00:00:00.000000000
132,Chad,Cameroon,TCD,Africa,106 days 00:00:00.000000000
133,Chad,Central African Republic,TCD,Africa,106 days 00:00:00.000000000
134,Chad,Libya,TCD,Africa,106 days 00:00:00.000000000
135,Chad,Niger,TCD,Africa,106 days 00:00:00.000000000
136,Chad,Nigeria,TCD,Africa,106 days 00:00:00.000000000
137,Chad,Sudan,TCD,Africa,106 days 00:00:00.000000000
138,Chile,Argentina,CHL,Americas,59 days 00:00:00.000000000
139,Chile,Bolivia,CHL,Americas,59 days 00:00:00.000000000
140,Chile,Peru,CHL,Americas,59 days 00:00:00.000000000
141,China,Afghanistan,CHN,Asia,1 days 00:00:00.000000000
142,China,Bhutan,CHN,Asia,1 days 00:00:00.000000000
143,China,Hong Kong,CHN,Asia,1 days 00:00:00.000000000
144,China,India,CHN,Asia,1 days 00:00:00.000000000
145,China,Kazakhstan,CHN,Asia,1 days 00:00:00.000000000
146,China,Korea (Democratic People's Republic of),CHN,Asia,1 days 00:00:00.000000000
147,China,Kyrgyzstan,CHN,Asia,1 days 00:00:00.000000000
148,China,Lao People's Democratic Republic,CHN,Asia,1 days 00:00:00.000000000
149,China,Macao,CHN,Asia,1 days 00:00:00.000000000
150,China,Mongolia,CHN,Asia,1 days 00:00:00.000000000
151,China,Myanmar,CHN,Asia,1 days 00:00:00.000000000
152,China,Nepal,CHN,Asia,1 days 00:00:00.000000000
153,China,Pakistan,CHN,Asia,1 days 00:00:00.000000000
154,China,Russian Federation,CHN,Asia,1 days 00:00:00.000000000
155,China,Tajikistan,CHN,Asia,1 days 00:00:00.000000000
156,China,Viet Nam,CHN,Asia,1 days 00:00:00.000000000
157,Christmas Island,Cocos (Keeling) Islands,CXR,Oceania,999 days 00:00:00.000000000
158,Christmas Island,Indonesia,CXR,Oceania,999 days 00:00:00.000000000
159,Cocos (Keeling) Islands,Indonesia,CCK,Oceania,999 days 00:00:00.000000000
160,Colombia,Brazil,COL,Americas,61 days 00:00:00.000000000
161,Colombia,Ecuador,COL,Americas,61 days 00:00:00.000000000
162,Colombia,Panama,COL,Americas,61 days 00:00:00.000000000
163,Colombia,Peru,COL,Americas,61 days 00:00:00.000000000
164,Colombia,Venezuela (Bolivarian Republic of),COL,Americas,61 days 00:00:00.000000000
165,Comoros,Mayotte,COM,Africa,134 days 00:00:00.000000000
166,Comoros,Mozambique,COM,Africa,134 days 00:00:00.000000000
167,Congo,Angola,COG,Africa,89 days 00:00:00.000000000
168,Congo,Cameroon,COG,Africa,89 days 00:00:00.000000000
169,Congo,Central African Republic,COG,Africa,89 days 00:00:00.000000000
170,Congo,"Congo, Democratic Republic of the",COG,Africa,89 days 00:00:00.000000000
171,Congo,Gabon,COG,Africa,89 days 00:00:00.000000000
172,"Congo, Democratic Republic of the",Angola,COD,Africa,75 days 00:00:00.000000000
173,"Congo, Democratic Republic of the",Burundi,COD,Africa,75 days 00:00:00.000000000
174,"Congo, Democratic Republic of the",Central African Republic,COD,Africa,75 days 00:00:00.000000000
175,"Congo, Democratic Republic of the",Congo,COD,Africa,75 days 00:00:00.000000000
176,"Congo, Democratic Republic of the",Rwanda,COD,Africa,75 days 00:00:00.000000000
177,"Congo, Democratic Republic of the",South Sudan,COD,Africa,75 days 00:00:00.000000000
178,"Congo, Democratic Republic of the","Tanzania, United Republic of",COD,Africa,75 days 00:00:00.000000000
179,"Congo, Democratic Republic of the",Uganda,COD,Africa,75 days 00:00:00.000000000
180,"Congo, Democratic Republic of the",Zambia,COD,Africa,75 days 00:00:00.000000000
181,Cook Islands,Niue,COK,Oceania,999 days 00:00:00.000000000
182,Costa Rica,Nicaragua,CRI,Americas,63 days 00:00:00.000000000
183,Costa Rica,Panama,CRI,Americas,63 days 00:00:00.000000000
184,Côte d'Ivoire,Burkina Faso,CIV,Africa,70 days 00:00:00.000000000
185,Côte d'Ivoire,Ghana,CIV,Africa,70 days 00:00:00.000000000
186,Côte d'Ivoire,Guinea,CIV,Africa,70 days 00:00:00.000000000
187,Côte d'Ivoire,Liberia,CIV,Africa,70 days 00:00:00.000000000
188,Côte d'Ivoire,Mali,CIV,Africa,70 days 00:00:00.000000000
189,Croatia,Bosnia and Herzegovina,HRV,Europe,62 days 00:00:00.000000000
190,Croatia,Hungary,HRV,Europe,62 days 00:00:00.000000000
191,Croatia,Montenegro,HRV,Europe,62 days 00:00:00.000000000
192,Croatia,Serbia,HRV,Europe,62 days 00:00:00.000000000
193,Croatia,Slovenia,HRV,Europe,62 days 00:00:00.000000000
194,Cuba,Cayman Islands,CUB,Americas,71 days 00:00:00.000000000
195,Cuba,Mexico,CUB,Americas,71 days 00:00:00.000000000
196,Cuba,United States of America,CUB,Americas,71 days 00:00:00.000000000
197,Cyprus,Greece,CYP,Asia,66 days 00:00:00.000000000
198,Cyprus,Turkey,CYP,Asia,66 days 00:00:00.000000000
199,Czechia,Austria,CZE,Europe,55 days 00:00:00.000000000
200,Czechia,Germany,CZE,Europe,55 days 00:00:00.000000000
201,Czechia,Poland,CZE,Europe,55 days 00:00:00.000000000
202,Czechia,Slovakia,CZE,Europe,55 days 00:00:00.000000000
203,Denmark,Germany,DNK,Europe,52 days 00:00:00.000000000
204,Denmark,Sweden,DNK,Europe,52 days 00:00:00.000000000
205,Djibouti,Eritrea,DJI,Africa,81 days 00:00:00.000000000
206,Djibouti,Ethiopia,DJI,Africa,81 days 00:00:00.000000000
207,Djibouti,Somalia,DJI,Africa,81 days 00:00:00.000000000
208,Dominica,Guadeloupe,DMA,Americas,999 days 00:00:00.000000000
209,Dominican Republic,Haiti,DOM,Americas,64 days 00:00:00.000000000
210,Dominican Republic,Puerto Rico,DOM,Americas,64 days 00:00:00.000000000
211,East Timor,Indonesia,TL,Asia,999 days 00:00:00.000000000
212,Ecuador,Colombia,ECU,Americas,60 days 00:00:00.000000000
213,Ecuador,Peru,ECU,Americas,60 days 00:00:00.000000000
214,Egypt,Israel,EGY,Africa,58 days 00:00:00.000000000
215,Egypt,Libya,EGY,Africa,58 days 00:00:00.000000000
216,Egypt,Sudan,EGY,Africa,58 days 00:00:00.000000000
217,El Salvador,Guatemala,SLV,Americas,82 days 00:00:00.000000000
218,El Salvador,Honduras,SLV,Americas,82 days 00:00:00.000000000
219,Equatorial Guinea,Cameroon,GNQ,Africa,98 days 00:00:00.000000000
220,Equatorial Guinea,Gabon,GNQ,Africa,98 days 00:00:00.000000000
221,Eritrea,Djibouti,ERI,Africa,150 days 00:00:00.000000000
222,Eritrea,Ethiopia,ERI,Africa,150 days 00:00:00.000000000
223,Eritrea,South Sudan,ERI,Africa,150 days 00:00:00.000000000
224,Eritrea,Sudan,ERI,Africa,150 days 00:00:00.000000000
225,Estonia,Latvia,EST,Europe,57 days 00:00:00.000000000
226,Estonia,Russian Federation,EST,Europe,57 days 00:00:00.000000000
227,Ethiopia,Djibouti,ETH,Africa,92 days 00:00:00.000000000
228,Ethiopia,Eritrea,ETH,Africa,92 days 00:00:00.000000000
229,Ethiopia,Kenya,ETH,Africa,92 days 00:00:00.000000000
230,Ethiopia,Somalia,ETH,Africa,92 days 00:00:00.000000000
231,Ethiopia,South Sudan,ETH,Africa,92 days 00:00:00.000000000
232,Ethiopia,Sudan,ETH,Africa,92 days 00:00:00.000000000
233,Falkland Islands (Malvinas),Argentina,FLK,Americas,999 days 00:00:00.000000000
234,Faroe Islands,United Kingdom of Great Britain and Northern Ireland,FRO,Europe,65 days 00:00:00.000000000
235,Fiji,New Caledonia,FJI,Oceania,999 days 00:00:00.000000000
236,Fiji,Samoa,FJI,Oceania,999 days 00:00:00.000000000
237,Fiji,Tuvalu,FJI,Oceania,999 days 00:00:00.000000000
238,Fiji,Vanuatu,FJI,Oceania,999 days 00:00:00.000000000
239,Fiji,Wallis and Futuna,FJI,Oceania,999 days 00:00:00.000000000
240,Finland,Norway,FIN,Europe,55 days 00:00:00.000000000
241,Finland,Russian Federation,FIN,Europe,55 days 00:00:00.000000000
242,Finland,Sweden,FIN,Europe,55 days 00:00:00.000000000
243,France,Belgium,FRA,Europe,44 days 00:00:00.000000000
244,France,Germany,FRA,Europe,44 days 00:00:00.000000000
245,France,Italy,FRA,Europe,44 days 00:00:00.000000000
246,France,Luxembourg,FRA,Europe,44 days 00:00:00.000000000
247,France,Spain,FRA,Europe,44 days 00:00:00.000000000
248,France,Switzerland,FRA,Europe,44 days 00:00:00.000000000
249,French Guiana,Brazil,GUF,Americas,999 days 00:00:00.000000000
250,French Guiana,Suriname,GUF,Americas,999 days 00:00:00.000000000
251,French Polynesia,Cook Islands,PYF,Oceania,999 days 00:00:00.000000000
252,Gabon,Cameroon,GAB,Africa,91 days 00:00:00.000000000
253,Gabon,Congo,GAB,Africa,91 days 00:00:00.000000000
254,Gabon,Equatorial Guinea,GAB,Africa,91 days 00:00:00.000000000
255,Gambia,Senegal,GMB,Africa,999 days 00:00:00.000000000
256,Georgia,Azerbaijan,GEO,Asia,74 days 00:00:00.000000000
257,Georgia,Russian Federation,GEO,Asia,74 days 00:00:00.000000000
258,Georgia,Turkey,GEO,Asia,74 days 00:00:00.000000000
259,Germany,Austria,DEU,Europe,43 days 00:00:00.000000000
260,Germany,Belgium,DEU,Europe,43 days 00:00:00.000000000
261,Germany,Czechia,DEU,Europe,43 days 00:00:00.000000000
262,Germany,Denmark,DEU,Europe,43 days 00:00:00.000000000
263,Germany,France,DEU,Europe,43 days 00:00:00.000000000
264,Germany,Luxembourg,DEU,Europe,43 days 00:00:00.000000000
265,Germany,Netherlands,DEU,Europe,43 days 00:00:00.000000000
266,Germany,Poland,DEU,Europe,43 days 00:00:00.000000000
267,Germany,Switzerland,DEU,Europe,43 days 00:00:00.000000000
268,Ghana,Burkina Faso,GHA,Africa,69 days 00:00:00.000000000
269,Ghana,Côte d'Ivoire,GHA,Africa,69 days 00:00:00.000000000
270,Ghana,Togo,GHA,Africa,69 days 00:00:00.000000000
271,Gibraltar,Spain,GIB,Europe,79 days 00:00:00.000000000
272,Greece,Albania,GRC,Europe,55 days 00:00:00.000000000
273,Greece,Bulgaria,GRC,Europe,55 days 00:00:00.000000000
274,Greece,North Macedonia,GRC,Europe,55 days 00:00:00.000000000
275,Greece,Turkey,GRC,Europe,55 days 00:00:00.000000000
276,Greenland,Iceland,GRL,Americas,999 days 00:00:00.000000000
277,Grenada,Trinidad and Tobago,GRD,Americas,999 days 00:00:00.000000000
278,Guadeloupe,Antigua and Barbuda,GLP,Americas,999 days 00:00:00.000000000
279,Guam,Northern Mariana Islands,GUM,Oceania,79 days 00:00:00.000000000
280,Guam,Palau,GUM,Oceania,79 days 00:00:00.000000000
281,Guatemala,Belize,GTM,Americas,83 days 00:00:00.000000000
282,Guatemala,El Salvador,GTM,Americas,83 days 00:00:00.000000000
283,Guatemala,Honduras,GTM,Americas,83 days 00:00:00.000000000
284,Guatemala,Mexico,GTM,Americas,83 days 00:00:00.000000000
285,Guernsey,France,GGY,Europe,77 days 00:00:00.000000000
286,Guernsey,United Kingdom of Great Britain and Northern Ireland,GGY,Europe,77 days 00:00:00.000000000
287,Guinea,Côte d'Ivoire,GIN,Africa,78 days 00:00:00.000000000
288,Guinea,Guinea-Bissau,GIN,Africa,78 days 00:00:00.000000000
289,Guinea,Liberia,GIN,Africa,78 days 00:00:00.000000000
290,Guinea,Mali,GIN,Africa,78 days 00:00:00.000000000
291,Guinea,Senegal,GIN,Africa,78 days 00:00:00.000000000
292,Guinea,Sierra Leone,GIN,Africa,78 days 00:00:00.000000000
293,Guinea-Bissau,Guinea,GNB,Africa,104 days 00:00:00.000000000
294,Guinea-Bissau,Senegal,GNB,Africa,104 days 00:00:00.000000000
295,Guyana,Brazil,GUY,Americas,114 days 00:00:00.000000000
296,Guyana,Suriname,GUY,Americas,114 days 00:00:00.000000000
297,Guyana,Venezuela (Bolivarian Republic of),GUY,Americas,114 days 00:00:00.000000000
298,Haiti,Cuba,HTI,Americas,109 days 00:00:00.000000000
299,Haiti,Dominican Republic,HTI,Americas,109 days 00:00:00.000000000
300,Honduras,El Salvador,HND,Americas,71 days 00:00:00.000000000
301,Honduras,Guatemala,HND,Americas,71 days 00:00:00.000000000
302,Honduras,Nicaragua,HND,Americas,71 days 00:00:00.000000000
303,Hong Kong,China,HKG,Asia,999 days 00:00:00.000000000
304,Hungary,Austria,HUN,Europe,63 days 00:00:00.000000000
305,Hungary,Croatia,HUN,Europe,63 days 00:00:00.000000000
306,Hungary,Romania,HUN,Europe,63 days 00:00:00.000000000
307,Hungary,Serbia,HUN,Europe,63 days 00:00:00.000000000
308,Hungary,Slovakia,HUN,Europe,63 days 00:00:00.000000000
309,Hungary,Slovenia,HUN,Europe,63 days 00:00:00.000000000
310,Hungary,Ukraine,HUN,Europe,63 days 00:00:00.000000000
311,Iceland,Faroe Islands,ISL,Europe,55 days 00:00:00.000000000
312,India,Bangladesh,IND,Asia,59 days 00:00:00.000000000
313,India,Bhutan,IND,Asia,59 days 00:00:00.000000000
314,India,China,IND,Asia,59 days 00:00:00.000000000
315,India,Myanmar,IND,Asia,59 days 00:00:00.000000000
316,India,Nepal,IND,Asia,59 days 00:00:00.000000000
317,India,Pakistan,IND,Asia,59 days 00:00:00.000000000
318,Indonesia,East Timor,IDN,Asia,58 days 00:00:00.000000000
319,Indonesia,Malaysia,IDN,Asia,58 days 00:00:00.000000000
320,Indonesia,Papua New Guinea,IDN,Asia,58 days 00:00:00.000000000
321,Iran (Islamic Republic of),Afghanistan,IRN,Asia,40 days 00:00:00.000000000
322,Iran (Islamic Republic of),Armenia,IRN,Asia,40 days 00:00:00.000000000
323,Iran (Islamic Republic of),Azerbaijan,IRN,Asia,40 days 00:00:00.000000000
324,Iran (Islamic Republic of),Iraq,IRN,Asia,40 days 00:00:00.000000000
325,Iran (Islamic Republic of),Pakistan,IRN,Asia,40 days 00:00:00.000000000
326,Iran (Islamic Republic of),Turkey,IRN,Asia,40 days 00:00:00.000000000
327,Iran (Islamic Republic of),Turkmenistan,IRN,Asia,40 days 00:00:00.000000000
328,Iraq,Iran (Islamic Republic of),IRQ,Asia,58 days 00:00:00.000000000
329,Iraq,Jordan,IRQ,Asia,58 days 00:00:00.000000000
330,Iraq,Kuwait,IRQ,Asia,58 days 00:00:00.000000000
331,Iraq,Saudi Arabia,IRQ,Asia,58 days 00:00:00.000000000
332,Iraq,Turkey,IRQ,Asia,58 days 00:00:00.000000000
333,Ireland,United Kingdom of Great Britain and Northern Ireland,IRL,Europe,57 days 00:00:00.000000000
334,Isle of Man,Ireland,IMN,Europe,77 days 00:00:00.000000000
335,Isle of Man,United Kingdom of Great Britain and Northern Ireland,IMN,Europe,77 days 00:00:00.000000000
336,Israel,Egypt,ISR,Asia,56 days 00:00:00.000000000
337,Israel,Jordan,ISR,Asia,56 days 00:00:00.000000000
338,Israel,Lebanon,ISR,Asia,56 days 00:00:00.000000000
339,Italy,Austria,ITA,Europe,37 days 00:00:00.000000000
340,Italy,France,ITA,Europe,37 days 00:00:00.000000000
341,Italy,Slovenia,ITA,Europe,37 days 00:00:00.000000000
342,Italy,Switzerland,ITA,Europe,37 days 00:00:00.000000000
343,Jamaica,Cuba,JAM,Americas,88 days 00:00:00.000000000
344,Jamaica,Haiti,JAM,Americas,88 days 00:00:00.000000000
345,Japan,Korea (Democratic People's Republic of),JPN,Asia,35 days 00:00:00.000000000
346,Jersey,France,JEY,Europe,77 days 00:00:00.000000000
347,Jersey,United Kingdom of Great Britain and Northern Ireland,JEY,Europe,77 days 00:00:00.000000000
348,Jordan,Iraq,JOR,Asia,66 days 00:00:00.000000000
349,Jordan,Israel,JOR,Asia,66 days 00:00:00.000000000
350,Jordan,Saudi Arabia,JOR,Asia,66 days 00:00:00.000000000
351,Kazakhstan,China,KAZ,Asia,69 days 00:00:00.000000000
352,Kazakhstan,Kyrgyzstan,KAZ,Asia,69 days 00:00:00.000000000
353,Kazakhstan,Russian Federation,KAZ,Asia,69 days 00:00:00.000000000
354,Kazakhstan,Turkmenistan,KAZ,Asia,69 days 00:00:00.000000000
355,Kazakhstan,Uzbekistan,KAZ,Asia,69 days 00:00:00.000000000
356,Kenya,Ethiopia,KEN,Africa,76 days 00:00:00.000000000
357,Kenya,Somalia,KEN,Africa,76 days 00:00:00.000000000
358,Kenya,South Sudan,KEN,Africa,76 days 00:00:00.000000000
359,Kenya,"Tanzania, United Republic of",KEN,Africa,76 days 00:00:00.000000000
360,Kenya,Uganda,KEN,Africa,76 days 00:00:00.000000000
361,Kiribati,United States of America,KIR,Oceania,999 days 00:00:00.000000000
362,Korea (Democratic People's Republic of),China,PRK,Asia,999 days 00:00:00.000000000
363,Korea (Democratic People's Republic of),"Korea, Republic of",PRK,Asia,999 days 00:00:00.000000000
364,Korea (Democratic People's Republic of),Russian Federation,PRK,Asia,999 days 00:00:00.000000000
365,"Korea, Republic of",Korea (Democratic People's Republic of),KOR,Asia,34 days 00:00:00.000000000
366,Kuwait,Iraq,KWT,Asia,57 days 00:00:00.000000000
367,Kuwait,Saudi Arabia,KWT,Asia,57 days 00:00:00.000000000
368,Kyrgyzstan,China,KGZ,Asia,74 days 00:00:00.000000000
369,Kyrgyzstan,Kazakhstan,KGZ,Asia,74 days 00:00:00.000000000
370,Kyrgyzstan,Tajikistan,KGZ,Asia,74 days 00:00:00.000000000
371,Kyrgyzstan,Uzbekistan,KGZ,Asia,74 days 00:00:00.000000000
372,Lao People's Democratic Republic,Cambodia,LAO,Asia,999 days 00:00:00.000000000
373,Lao People's Democratic Republic,China,LAO,Asia,999 days 00:00:00.000000000
374,Lao People's Democratic Republic,Myanmar,LAO,Asia,999 days 00:00:00.000000000
375,Lao People's Democratic Republic,Thailand,LAO,Asia,999 days 00:00:00.000000000
376,Lao People's Democratic Republic,Viet Nam,LAO,Asia,999 days 00:00:00.000000000
377,Latvia,Belarus,LVA,Europe,63 days 00:00:00.000000000
378,Latvia,Estonia,LVA,Europe,63 days 00:00:00.000000000
379,Latvia,Lithuania,LVA,Europe,63 days 00:00:00.000000000
380,Latvia,Russian Federation,LVA,Europe,63 days 00:00:00.000000000
381,Lebanon,Israel,LBN,Asia,59 days 00:00:00.000000000
382,Lesotho,South Africa,LSO,Africa,174 days 00:00:00.000000000
