,src,iso-alpha-3,region,trg,weights
541,Australia,AUS,Oceania,China,1
542,Australia,AUS,Oceania,Christmas Island,1
543,Australia,AUS,Oceania,Cook Islands,1
544,Australia,AUS,Oceania,East Timor,1
545,Australia,AUS,Oceania,Fiji,1
546,Australia,AUS,Oceania,Guam,1
547,Australia,AUS,Oceania,Hong Kong,1
548,Australia,AUS,Oceania,India,1
549,Australia,AUS,Oceania,Indonesia,1
550,Australia,AUS,Oceania,Japan,1
551,Australia,AUS,Oceania,Malaysia,1
552,Australia,AUS,Oceania,Mauritius,1
553,Australia,AUS,Oceania,Nauru,1
554,Australia,AUS,Oceania,New Caledonia,1
555,Australia,AUS,Oceania,New Zealand,1
556,Australia,AUS,Oceania,Norfolk Island,1
557,Australia,AUS,Oceania,Papua New Guinea,1
558,Australia,AUS,Oceania,Philippines,1
559,Australia,AUS,Oceania,Qatar,1
560,Australia,AUS,Oceania,Samoa,1
561,Australia,AUS,Oceania,Singapore,1
562,Australia,AUS,Oceania,Solomon Islands,1
563,Australia,AUS,Oceania,South Africa,1
564,Australia,AUS,Oceania,"Korea, Republic of",1
565,Australia,AUS,Oceania,Taiwan,1
566,Australia,AUS,Oceania,Thailand,1
567,Australia,AUS,Oceania,Tonga,1
568,Australia,AUS,Oceania,United Arab Emirates,1
569,Australia,AUS,Oceania,United States of America,1
570,Australia,AUS,Oceania,Vanuatu,1
571,Australia,AUS,Oceania,Viet Nam,1
606,Austria,AUT,Europe,Albania,1
607,Austria,AUT,Europe,Algeria,1
608,Austria,AUT,Europe,Armenia,1
609,Austria,AUT,Europe,Azerbaijan,1
610,Austria,AUT,Europe,Belarus,1
611,Austria,AUT,Europe,Belgium,1
612,Austria,AUT,Europe,Bosnia and Herzegovina,1
613,Austria,AUT,Europe,Bulgaria,1
614,Austria,AUT,Europe,Canada,1
615,Austria,AUT,Europe,China,1
616,Austria,AUT,Europe,Croatia,1
617,Austria,AUT,Europe,Cyprus,1
618,Austria,AUT,Europe,Czechia,1
619,Austria,AUT,Europe,Denmark,1
620,Austria,AUT,Europe,Egypt,1
621,Austria,AUT,Europe,Finland,1
622,Austria,AUT,Europe,France,1
623,Austria,AUT,Europe,Georgia,1
624,Austria,AUT,Europe,Germany,1
625,Austria,AUT,Europe,Greece,1
626,Austria,AUT,Europe,Hungary,1
627,Austria,AUT,Europe,India,1
628,Austria,AUT,Europe,Iran (Islamic Republic of),1
629,Austria,AUT,Europe,Iraq,1
630,Austria,AUT,Europe,Ireland,1
631,Austria,AUT,Europe,Israel,1
632,Austria,AUT,Europe,Italy,1
633,Austria,AUT,Europe,Japan,1
634,Austria,AUT,Europe,Jordan,1
635,Austria,AUT,Europe,Kazakhstan,1
