,src,trg,weighted,log-weight,norm-log-weight,iso_code_src,iso_code_trg
81,Croatia,Turkey,4,1.3862943611198906,0.19983156952227257,HRV,TUR
82,Cyprus,Turkey,28,3.332204510175204,0.4803306396626967,CYP,TUR
83,Czechia,Turkey,4,1.3862943611198906,0.19983156952227257,CZE,TUR
84,Denmark,Turkey,20,2.995732273553991,0.4318288372818735,DNK,TUR
85,Djibouti,Turkey,2,0.6931471805599453,0.09991578476113629,DJI,TUR
86,Egypt,Turkey,16,2.772588722239781,0.39966313904454515,EGY,TUR
87,Estonia,Turkey,2,0.6931471805599453,0.09991578476113629,EST,TUR
88,Ethiopia,Turkey,2,0.6931471805599453,0.09991578476113629,ETH,TUR
89,Finland,Turkey,10,2.302585092994046,0.3319130525207372,FIN,TUR
90,France,Turkey,52,3.9512437185814275,0.5695639079216178,FRA,TUR
92,Georgia,Turkey,10,2.302585092994046,0.3319130525207372,GEO,TUR
93,Germany,Turkey,256,5.545177444479562,0.7993262780890903,DEU,TUR
94,Ghana,Turkey,2,0.6931471805599453,0.09991578476113629,GHA,TUR
95,Greece,Turkey,12,2.4849066497880004,0.3581943415987999,GRC,TUR
96,Hong Kong,Turkey,2,0.6931471805599453,0.09991578476113629,HKG,TUR
97,Hungary,Turkey,4,1.3862943611198906,0.19983156952227257,HUN,TUR
98,India,Turkey,8,2.0794415416798357,0.2997473542834088,IND,TUR
99,Iran (Islamic Republic of),Turkey,28,3.332204510175204,0.4803306396626967,IRN,TUR
100,Iraq,Turkey,30,3.4011973816621555,0.4902758245972646,IRQ,TUR
101,Ireland,Turkey,4,1.3862943611198906,0.19983156952227257,IRL,TUR
102,Israel,Turkey,6,1.791759469228055,0.25827855683766365,ISR,TUR
103,Italy,Turkey,24,3.1780538303479458,0.45811012635993625,ITA,TUR
104,Japan,Turkey,8,2.0794415416798357,0.2997473542834088,JPN,TUR
105,Jordan,Turkey,6,1.791759469228055,0.25827855683766365,JOR,TUR
106,Kazakhstan,Turkey,14,2.6390573296152584,0.38041485490156035,KAZ,TUR
107,Kenya,Turkey,5,1.6094379124341003,0.23199726775960092,KEN,TUR
108,Kuwait,Turkey,12,2.4849066497880004,0.3581943415987999,KWT,TUR
109,Kyrgyzstan,Turkey,10,2.302585092994046,0.3319130525207372,KGZ,TUR
110,Latvia,Turkey,4,1.3862943611198906,0.19983156952227257,LVA,TUR
111,Lebanon,Turkey,6,1.791759469228055,0.25827855683766365,LBN,TUR
112,Libya,Turkey,12,2.4849066497880004,0.3581943415987999,LBY,TUR
113,Lithuania,Turkey,2,0.6931471805599453,0.09991578476113629,LTU,TUR
114,Luxembourg,Turkey,6,1.791759469228055,0.25827855683766365,LUX,TUR
115,North Macedonia,Turkey,4,1.3862943611198906,0.19983156952227257,MKD,TUR
116,Malaysia,Turkey,4,1.3862943611198906,0.19983156952227257,MYS,TUR
117,Maldives,Turkey,2,0.6931471805599453,0.09991578476113629,MDV,TUR
118,Malta,Turkey,8,2.0794415416798357,0.2997473542834088,MLT,TUR
119,"Moldova, Republic of",Turkey,4,1.3862943611198906,0.19983156952227257,MDA,TUR
120,Montenegro,Turkey,2,0.6931471805599453,0.09991578476113629,MNE,TUR
121,Morocco,Turkey,6,1.791759469228055,0.25827855683766365,MAR,TUR
122,Nepal,Turkey,2,0.6931471805599453,0.09991578476113629,NPL,TUR
123,Netherlands,Turkey,46,3.828641396489095,0.5518910275161935,NLD,TUR
124,Nigeria,Turkey,3,1.0986122886681098,0.15836277207652738,NGA,TUR
125,Norway,Turkey,14,2.6390573296152584,0.38041485490156035,NOR,TUR
126,Oman,Turkey,4,1.3862943611198906,0.19983156952227257,OMN,TUR
127,Pakistan,Turkey,6,1.791759469228055,0.25827855683766365,PAK,TUR
128,Poland,Turkey,4,1.3862943611198906,0.19983156952227257,POL,TUR
129,Portugal,Turkey,4,1.3862943611198906,0.19983156952227257,PRT,TUR
130,Qatar,Turkey,8,2.0794415416798357,0.2997473542834088,QAT,TUR
131,Romania,Turkey,8,2.0794415416798357,0.2997473542834088,ROU,TUR
132,Russian Federation,Turkey,63,4.143134726391533,0.5972246142934788,RUS,TUR
133,Rwanda,Turkey,3,1.0986122886681098,0.15836277207652738,RWA,TUR
134,Saudi Arabia,Turkey,38,3.6375861597263857,0.5243507958752744,SAU,TUR
136,Serbia,Turkey,12,2.4849066497880004,0.3581943415987999,SRB,TUR
137,Singapore,Turkey,6,1.791759469228055,0.25827855683766365,SGP,TUR
138,Slovenia,Turkey,4,1.3862943611198906,0.19983156952227257,SVN,TUR
139,South Africa,Turkey,2,0.6931471805599453,0.09991578476113629,ZAF,TUR
140,"Korea, Republic of",Turkey,6,1.791759469228055,0.25827855683766365,KOR,TUR
141,Spain,Turkey,14,2.6390573296152584,0.38041485490156035,ESP,TUR
142,Sudan,Turkey,2,0.6931471805599453,0.09991578476113629,SDN,TUR
143,Sweden,Turkey,12,2.4849066497880004,0.3581943415987999,SWE,TUR
144,Switzerland,Turkey,22,3.091042453358316,0.44556760976476983,CHE,TUR
145,Tajikistan,Turkey,6,1.791759469228055,0.25827855683766365,TJK,TUR
146,"Tanzania, United Republic of",Turkey,3,1.0986122886681098,0.15836277207652738,TZA,TUR
147,Thailand,Turkey,4,1.3862943611198906,0.19983156952227257,THA,TUR
148,Tunisia,Turkey,4,1.3862943611198906,0.19983156952227257,TUN,TUR
150,Afghanistan,United Arab Emirates,14,2.6390573296152584,0.38041485490156035,AFG,ARE
151,Algeria,United Arab Emirates,4,1.3862943611198906,0.19983156952227257,DZA,ARE
152,Angola,United Arab Emirates,4,1.3862943611198906,0.19983156952227257,AGO,ARE
153,Armenia,United Arab Emirates,4,1.3862943611198906,0.19983156952227257,ARM,ARE
154,Australia,United Arab Emirates,32,3.4657359027997265,0.4995789238056814,AUS,ARE
155,Austria,United Arab Emirates,4,1.3862943611198906,0.19983156952227257,AUT,ARE
156,Azerbaijan,United Arab Emirates,4,1.3862943611198906,0.19983156952227257,AZE,ARE
157,Bahrain,United Arab Emirates,31,3.4339872044851463,0.49500241221303054,BHR,ARE
158,Bangladesh,United Arab Emirates,19,2.9444389791664403,0.4244350111141381,BGD,ARE
159,Belarus,United Arab Emirates,4,1.3862943611198906,0.19983156952227257,BLR,ARE
160,Belgium,United Arab Emirates,6,1.791759469228055,0.25827855683766365,BEL,ARE
161,Brazil,United Arab Emirates,6,1.791759469228055,0.25827855683766365,BRA,ARE
162,Brunei,United Arab Emirates,2,0.6931471805599453,0.09991578476113629,BRN,ARE
163,Bulgaria,United Arab Emirates,2,0.6931471805599453,0.09991578476113629,BGR,ARE
164,Canada,United Arab Emirates,6,1.791759469228055,0.25827855683766365,CAN,ARE
165,China,United Arab Emirates,30,3.4011973816621555,0.4902758245972646,CHN,ARE
166,Cyprus,United Arab Emirates,6,1.791759469228055,0.25827855683766365,CYP,ARE
167,Czechia,United Arab Emirates,4,1.3862943611198906,0.19983156952227257,CZE,ARE
168,Denmark,United Arab Emirates,4,1.3862943611198906,0.19983156952227257,DNK,ARE
169,Djibouti,United Arab Emirates,5,1.6094379124341003,0.23199726775960092,DJI,ARE
170,Egypt,United Arab Emirates,22,3.091042453358316,0.44556760976476983,EGY,ARE
171,Ethiopia,United Arab Emirates,6,1.791759469228055,0.25827855683766365,ETH,ARE
172,France,United Arab Emirates,14,2.6390573296152584,0.38041485490156035,FRA,ARE
173,Georgia,United Arab Emirates,2,0.6931471805599453,0.09991578476113629,GEO,ARE
174,Germany,United Arab Emirates,46,3.828641396489095,0.5518910275161935,DEU,ARE
175,Ghana,United Arab Emirates,2,0.6931471805599453,0.09991578476113629,GHA,ARE
