src	trg	nij
NAM	ZMB	0.1998315695
DJI	SOM	0.3167255442
KEN	SOM	0.3697323384
KEN	MWI	0.2997473543
DOM	PRI	0.4166413289
GLP	PRI	0.1998315695
MTQ	PRI	0.1998315695
AIA	PRI	0.1998315695
VGB	PRI	0.3697323384
DMA	PRI	0.2997473543
PRI	VGB	0.4388618422
AIA	VGB	0.09991578476
DMA	VGB	0.2319972678
USA	VGB	0.5280951105
DOM	GLP	0.2582785568
ATG	GLP	0.1998315695
DMA	GLP	0.2582785568
HTI	PAN	0.1998315695
HND	PAN	0.1998315695
NIC	PAN	0.1998315695
CHL	PER	0.3804148549
BOL	PER	0.399663139
ECU	PER	0.345651825
PRY	PER	0.09991578476
TTO	VEN	0.1998315695
ABW	VEN	0.4455676098
PAN	VEN	0.3581943416
USA	VEN	0.4166413289
GLP	MTQ	0.3167255442
GUF	MTQ	0.1998315695
FRA	GUF	0.2582785568
FRA	MDG	0.2997473543
COM	MDG	0.09991578476
COM	MYT	0.2804990701
MDG	MYT	0.3581943416
MUS	REU	0.3804148549
COM	REU	0.09991578476
MDG	REU	0.3697323384
MYT	REU	0.1583627721
CIV	GIN	0.1998315695
GHA	LBR	0.3319130525
CIV	LBR	0.09991578476
GGY	JEY	0.2804990701
GIN	MRT	0.09991578476
MLI	MRT	0.09991578476
GHA	NAM	0.09991578476
AGO	NAM	0.2582785568
BWA	NAM	0.09991578476
CYM	JAM	0.1583627721
GUY	JAM	0.09991578476
MUS	SYC	0.09991578476
ARM	AUT	0.2582785568
ALB	AUT	0.09991578476
CAN	CUB	0.5802464244
COL	CUB	0.2582785568
BHS	CUB	0.1998315695
CYM	CUB	0.09991578476
ATG	DOM	0.2804990701
ABW	DOM	0.1998315695
ATG	LCA	0.1998315695
BRB	LCA	0.1583627721
GRD	LCA	0.2319972678
MTQ	LCA	0.3167255442
LCA	TTO	0.2997473543
PAN	TTO	0.1998315695
GRD	TTO	0.2582785568
GUY	TTO	0.09991578476
SUR	TTO	0.2582785568
ABW	COL	0.1998315695
CHL	COL	0.1998315695
CAN	CYM	0.1998315695
BHS	CYM	0.09991578476
DOM	TCA	0.2582785568
BHS	TCA	0.2804990701
HTI	TCA	0.2582785568
CAN	GRD	0.1998315695
BRB	GRD	0.09991578476
CAN	GUY	0.1998315695
BRB	GUY	0.09991578476
COL	SLV	0.2582785568
CRI	SLV	0.1998315695
ECU	SLV	0.1998315695
BLZ	SLV	0.09991578476
CAN	CRI	0.2582785568
COL	CRI	0.09991578476
DOM	HTI	0.2319972678
GLP	HTI	0.1998315695
CAN	SPM	0.2582785568
DNK	FRO	0.1998315695
DNK	GRL	0.09991578476
COL	ECU	0.4455676098
CHL	ECU	0.1583627721
BRA	PRY	0.3319130525
ARG	PRY	0.2997473543
CHL	PRY	0.1998315695
BOL	PRY	0.1998315695
BRA	URY	0.4166413289
ARG	URY	0.4166413289
PRY	URY	0.09991578476
USA	URY	0.1998315695
ABW	SUR	0.09991578476
GUY	SUR	0.09991578476
GUF	SUR	0.09991578476
BRA	CPV	0.09991578476
CMR	COG	0.3167255442
BEN	COG	0.3804148549
CMR	GNQ	0.3319130525
BEN	GNQ	0.1998315695
CMR	CAF	0.1998315695
CMR	TCD	0.2582785568
IRL	IMN	0.09991578476
JPN	PLW	0.2319972678
GUM	PLW	0.09991578476
FSM	PLW	0.09991578476
MAR	ESH	0.2997473543
ESP	ESH	0.2582785568
PRT	STP	0.1583627721
AGO	STP	0.09991578476
CPV	STP	0.09991578476
AGO	BRA	0.1998315695
ARG	BRA	0.5827977832
BOL	BRA	0.2319972678
ARG	BOL	0.1998315695
CPV	GMB	0.09991578476
CPV	GNB	0.09991578476
GIN	GNB	0.1998315695
GMB	GNB	0.09991578476
CRI	GTM	0.2582785568
SLV	GTM	0.1998315695
BLZ	GTM	0.1998315695
ATG	BRB	0.1998315695
ATG	DMA	0.09991578476
BRB	DMA	0.09991578476
VGB	DMA	0.1998315695
ATG	KNA	0.2997473543
PRI	KNA	0.2997473543
VGB	KNA	0.09991578476
CRI	HND	0.3319130525
SLV	HND	0.2582785568
BLZ	HND	0.1998315695
CYM	HND	0.1998315695
GTM	HND	0.4166413289
CRI	NIC	0.2804990701
SLV	NIC	0.1998315695
GTM	NIC	0.09991578476
FJI	KIR	0.2582785568
GUM	FSM	0.1998315695
COM	DJI	0.09991578476
AIA	ATG	0.09991578476
SVN	CHE	0.1998315695
FIN	HUN	0.2582785568
BHR	IRQ	0.1998315695
GEO	ISR	0.2582785568
GRC	LUX	0.2997473543
LVA	NOR	0.4318288373
MKD	SWE	0.2582785568
POL	SWE	0.4696481232
SRB	SWE	0.3581943416
QAT	SDN	0.1998315695
ESP	SWE	0.608233627
DZA	AUT	0.09991578476
BIH	DEU	0.2997473543
CHN	HKG	0.7869883719
IRN	KWT	0.4318288373
EST	LTU	0.2582785568
ITA	LUX	0.3903600398
NLD	SUR	0.1998315695
CZE	SVK	0.3167255442
ESP	UKR	0.4455676098
KGZ	UZB	0.1998315695
HRV	DNK	0.3581943416
BIH	SRB	0.2582785568
ROU	SRB	0.1998315695
TUR	UKR	0.531744622
RUS	UKR	0.6261508951
AUS	CHN	0.5083178422
