,src,trg,nij,score,region,weeks_since_100_cases
355,Marshall Islands,Micronesia (Federated States of),0.11090398820673722,0.9994516793418576,Oceania,142
356,Guatemala,Belize,0.11090398820673722,0.9789728211169337,Americas,11
357,Honduras,Belize,0.11090398820673722,0.9752127643402797,Americas,10
358,United States of America,Belize,0.3684150742590171,0.856769118256757,Americas,6
359,Guinea,Guinea-Bissau,0.11090398820673722,0.9967145797106838,Africa,11
360,Senegal,Guinea-Bissau,0.11090398820673722,0.9858495214043459,Africa,9
361,Indonesia,Brunei,0.22180797641347444,0.946215343307002,Asia,8
362,Malaysia,Brunei,0.3113468571680022,0.9346863608746366,Asia,7
363,Iceland,Greenland,0.11090398820673722,0.9949527920237943,Europe,7
364,Iran (Islamic Republic of),Afghanistan,0.25751108605227985,0.9481197594328633,Asia,5
365,Pakistan,Afghanistan,0.22180797641347444,0.938734599306323,Asia,8
366,India,Bhutan,0.17577866248809984,0.970903914707309,Asia,8
367,Japan,Guam,0.4711121028540219,0.932518741756009,Asia,5
368,Micronesia (Federated States of),Guam,0.11090398820673722,0.9943950604881064,Oceania,142
369,Northern Mariana Islands,Guam,0.11090398820673722,0.9855755123687423,Oceania,142
370,Taiwan,Palau,0.11090398820673722,0.9551604049645043,Asia,8
371,Kenya,Malawi,0.22180797641347444,0.957435577589908,Africa,10
372,South Africa,Malawi,0.17577866248809984,0.9394855826767209,Africa,8
373,Zambia,Malawi,0.28668265069483706,0.9896566311606437,Africa,14
374,Kenya,Mozambique,0.22180797641347444,0.9592131656062939,Africa,10
375,South Africa,Mozambique,0.4332897485403797,0.9760537322711276,Africa,8
376,Mayotte,Comoros,0.25751108605227985,0.9983205443948493,Africa,142
377,Micronesia (Federated States of),Marshall Islands,0.11090398820673722,0.9994516793418576,Oceania,142
378,Morocco,Mauritania,0.17577866248809984,0.9603700100201319,Africa,9
379,Senegal,Mauritania,0.11090398820673722,0.9707215350707752,Africa,9
380,Morocco,Western Sahara,0.22180797641347444,0.9728280679575155,Africa,9
381,Trinidad and Tobago,Suriname,0.17577866248809984,0.9936626645967235,Americas,11
382,Portugal,Sao Tome and Principe,0.11090398820673722,0.9775177666582037,Europe,8
383,Puerto Rico,Anguilla,0.11090398820673722,0.9944511544366983,Americas,10
384,Senegal,Gambia,0.22180797641347444,0.9823431333945533,Africa,9
385,Sierra Leone,Gambia,0.11090398820673722,0.9882973707948495,Africa,14
386,South Africa,Botswana,0.3515573249761997,0.9791327324088746,Africa,8
387,Zimbabwe,Botswana,0.11090398820673722,0.9872576645256502,Africa,18
388,Sri Lanka,Seychelles,0.11090398820673722,0.9630041211063021,Asia,9
389,United Arab Emirates,Seychelles,0.22180797641347444,0.9016569539054262,Asia,8
390,United Kingdom of Great Britain and Northern Ireland,Gibraltar,0.28668265069483706,0.9282242431689413,Europe,6
391,United Kingdom of Great Britain and Northern Ireland,Isle of Man,0.3684150742590171,0.9282242431689413,Europe,6
392,Yemen,Eritrea,0.11090398820673722,0.9947821084824019,Asia,17
