,src,trg,nij,score,region,weeks_since_100_cases
79,Chile,Peru,0.3113468571680022,0.9354424892934546,Americas,8
80,Ecuador,Peru,0.25751108605227985,0.951283191053497,Americas,8
81,Argentina,Uruguay,0.3515573249761997,0.9803756409860662,Americas,8
82,Brazil,Uruguay,0.3515573249761997,0.9618900735312212,Americas,8
83,Aruba,Venezuela (Bolivarian Republic of),0.3836647634353647,0.9792274873420757,Americas,15
84,Panama,Venezuela (Bolivarian Republic of),0.28668265069483706,0.92601418344581,Americas,8
85,Slovakia,Czechia,0.25751108605227985,0.9378584585691333,Europe,8
86,Armenia,Russian Federation,0.5273359874642995,0.8927974172671711,Asia,8
87,Kyrgyzstan,Russian Federation,0.629094593229604,0.8860620940375795,Asia,10
88,Tajikistan,Russian Federation,0.6820314820159634,0.8801374775065866,Asia,15
89,Korea (Democratic People's Republic of),China,0.17577866248809984,0.9551147978891025,Asia,142
90,Australia,East Timor,0.11090398820673722,0.9801758053214303,Oceania,7
91,Australia,Fiji,0.3836647634353647,0.926334597022928,Oceania,7
92,Kiribati,Fiji,0.17577866248809984,0.9941071926111245,Oceania,142
93,New Zealand,Fiji,0.17577866248809984,0.9442625873841316,Oceania,9
94,Solomon Islands,Fiji,0.11090398820673722,0.9870925278156032,Oceania,142
95,Tonga,Fiji,0.11090398820673722,0.9927784983535464,Oceania,142
96,Vanuatu,Fiji,0.11090398820673722,0.9735655275274587,Oceania,142
97,Brunei,Indonesia,0.22180797641347444,0.9464961016920228,Asia,9
98,Guam,Japan,0.4711121028540219,0.9315373900744779,Oceania,11
99,Palau,Japan,0.17577866248809984,0.9356736157843961,Oceania,142
100,Brunei,Malaysia,0.3113468571680022,0.9347430307893787,Asia,9
101,Australia,New Caledonia,0.22180797641347444,0.9511655904352444,Oceania,7
102,New Zealand,New Caledonia,0.11090398820673722,0.9661963974787918,Oceania,9
103,Vanuatu,New Caledonia,0.11090398820673722,0.9899149322058168,Oceania,142
104,Australia,New Zealand,0.6950116206033671,0.9112774373123183,Oceania,7
105,Cook Islands,New Zealand,0.17577866248809984,0.9821369169176746,Oceania,142
106,Fiji,New Zealand,0.3113468571680022,0.9598440763648344,Oceania,142
107,French Polynesia,New Zealand,0.22180797641347444,0.9732400399742647,Oceania,142
108,New Caledonia,New Zealand,0.11090398820673722,0.9609347781013271,Oceania,142
109,Tonga,New Zealand,0.11090398820673722,0.9841886085863,Oceania,142
110,Australia,Norfolk Island,0.11090398820673722,0.9801758053214303,Oceania,7
111,Australia,Papua New Guinea,0.3515573249761997,0.9740032578853484,Oceania,7
112,Australia,Samoa,0.11090398820673722,0.9607407521292229,Oceania,7
113,New Zealand,Samoa,0.11090398820673722,0.9863400321544659,Oceania,9
114,Fiji,Solomon Islands,0.11090398820673722,0.9859069339259537,Oceania,142
115,Vanuatu,Solomon Islands,0.17577866248809984,0.9954251656061004,Oceania,142
116,Palau,Taiwan,0.11090398820673722,0.9468286531548479,Oceania,142
117,Lao People's Democratic Republic,Thailand,0.3684150742590171,0.9052986626679825,Asia,142
118,Myanmar,Thailand,0.3975866389015743,0.8989904749528248,Asia,13
119,Australia,Vanuatu,0.3113468571680022,0.9486305868603037,Oceania,7
120,Fiji,Vanuatu,0.11090398820673722,0.9711554701068265,Oceania,142
121,New Caledonia,Vanuatu,0.11090398820673722,0.9899149322058168,Oceania,142
122,Solomon Islands,Vanuatu,0.17577866248809984,0.9954251656061004,Oceania,142
123,Cambodia,Viet Nam,0.4222508453747394,0.9194587081482721,Asia,10
124,Lao People's Democratic Republic,Viet Nam,0.28668265069483706,0.9403118124902778,Asia,142
125,Russian Federation,Armenia,0.5273359874642995,0.8923772091744021,Europe,8
126,Turkmenistan,Azerbaijan,0.11090398820673722,0.9581868630395654,Asia,142
127,Georgia,Belarus,0.17577866248809984,0.9454296730980896,Asia,10
128,Faroe Islands,Denmark,0.11090398820673722,0.9536892180301175,Europe,9
