,src,trg,nij,score
2393,Malawi,South Africa,1,0.8919597989949749
2645,Mozambique,South Africa,1,0.8919597989949749
2664,Namibia,South Africa,1,0.8750778169744762
3199,Réunion,South Africa,1,0.8750778169744762
3429,Seychelles,South Africa,1,0.8750778169744762
3683,Swaziland,South Africa,1,0.9811444858583644
63,Angola,Zimbabwe,1,0.9152183128444256
441,Botswana,Zimbabwe,1,0.978108581436077
2396,Malawi,Zimbabwe,1,0.9737876802096985
2666,Namibia,Zimbabwe,1,0.969485614646905
3836,"Tanzania, United Republic of",Zimbabwe,1,0.9274744027303754
4509,Zambia,Zimbabwe,1,0.9524632670700086
64,Anguilla,Antigua and Barbuda,1,0.9772428884026259
291,Barbados,Antigua and Barbuda,1,0.9172501591343094
987,Dominica,Antigua and Barbuda,1,0.9605120416576264
1567,Guadeloupe,Antigua and Barbuda,1,0.9440619621342513
1990,Jamaica,Antigua and Barbuda,1,0.9172501591343094
3115,Puerto Rico,Antigua and Barbuda,1,0.9067313779278329
3311,Saint Lucia,Antigua and Barbuda,1,0.9440619621342513
3908,Trinidad and Tobago,Antigua and Barbuda,1,0.9225531914893617
65,Anguilla,Netherlands Antilles,1,0.9634941329856584
122,Aruba,Netherlands Antilles,1,0.9196940726577438
991,Dominica,Netherlands Antilles,1,0.9369774919614148
1574,Guadeloupe,Netherlands Antilles,1,0.9111675126903553
1624,Haiti,Netherlands Antilles,1,0.9369774919614148
3681,Suriname,Netherlands Antilles,1,0.9369774919614148
3914,Trinidad and Tobago,Netherlands Antilles,1,0.8778054862842892
4472,Virgin Islands (British),Netherlands Antilles,1,0.9282970550576184
66,Anguilla,Puerto Rico,1,0.9737876802096985
78,Antigua and Barbuda,Puerto Rico,1,0.8991172761664565
992,Dominica,Puerto Rico,1,0.954574951330305
1575,Guadeloupe,Puerto Rico,1,0.9357326478149101
2502,Martinique,Puerto Rico,1,0.9357326478149101
4057,Turks and Caicos Islands,Puerto Rico,1,0.954574951330305
4473,Virgin Islands (British),Puerto Rico,1,0.9482535575679172
67,Anguilla,Virgin Islands (British),1,0.9894319682959049
989,Dominica,Virgin Islands (British),1,0.9815789473684211
3116,Puerto Rico,Virgin Islands (British),1,0.9558441558441558
68,Antigua and Barbuda,Anguilla,1,0.9789750328515112
3114,Puerto Rico,Anguilla,1,0.9776756401838477
4476,Virgin Islands (British),Anguilla,1,0.9894319682959049
69,Antigua and Barbuda,Barbados,1,0.9119763013118917
988,Dominica,Barbados,1,0.9605120416576264
1560,Grenada,Barbados,1,0.9605120416576264
1614,Guyana,Barbados,1,0.9605120416576264
1992,Jamaica,Barbados,1,0.9172501591343094
2495,Martinique,Barbados,1,0.9440619621342513
3312,Saint Lucia,Barbados,1,0.9440619621342513
3322,Saint Vincent and the Grenadines,Barbados,1,0.9772428884026259
3909,Trinidad and Tobago,Barbados,1,0.9225531914893617
71,Antigua and Barbuda,Dominica,1,0.9583875162548765
294,Barbados,Dominica,1,0.9609375
1569,Guadeloupe,Dominica,1,0.9737876802096985
3119,Puerto Rico,Dominica,1,0.9558441558441558
3314,Saint Lucia,Dominica,1,0.9737876802096985
4471,Virgin Islands (British),Dominica,1,0.9789750328515112
120,Aruba,Dominican Republic,1,0.8979206049149339
1570,Guadeloupe,Dominican Republic,1,0.8872180451127819
1622,Haiti,Dominican Republic,1,0.9196940726577438
2498,Martinique,Dominican Republic,1,0.8872180451127819
4054,Turks and Caicos Islands,Dominican Republic,1,0.9196940726577438
75,Antigua and Barbuda,Guadeloupe,1,0.9382239382239382
990,Dominica,Guadeloupe,1,0.9724950884086444
1005,Dominican Republic,Guadeloupe,1,0.8979206049149339
1623,Haiti,Guadeloupe,1,0.9724950884086444
2501,Martinique,Guadeloupe,1,0.9609375
3123,Puerto Rico,Guadeloupe,1,0.9344894026974951
76,Antigua and Barbuda,Jamaica,1,0.9055250948966681
244,Bahamas,Jamaica,1,0.9516198704103672
298,Barbados,Jamaica,1,0.9111675126903553
637,Cayman Islands,Jamaica,1,0.9634941329856584
1616,Guyana,Jamaica,1,0.9575389948006933
3913,Trinidad and Tobago,Jamaica,1,0.9168434450572762
4056,Turks and Caicos Islands,Jamaica,1,0.9575389948006933
79,Antigua and Barbuda,Saint Kitts and Nevis,1,0.9720646006110869
3127,Puerto Rico,Saint Kitts and Nevis,1,0.9703445268207588
4474,Virgin Islands (British),Saint Kitts and Nevis,1,0.985934065934066
80,Antigua and Barbuda,Saint Lucia,1,0.9382239382239382
301,Barbados,Saint Lucia,1,0.941972920696325
