,src,trg,nij,score
0,Afghanistan,Azerbaijan,1,0.9256442754541614
4083,Turkmenistan,Azerbaijan,1,0.9167367535744323
416,Bhutan,India,1,0.9375132837407014
2,Afghanistan,Iran,1,0.9031315240083507
3854,Tajikistan,Iran,1,0.8916787715293629
3,Afghanistan,Kuwait,1,0.9127150650440621
4,Afghanistan,Pakistan,1,0.9191578947368421
5,Afghanistan,Tajikistan,1,0.9655023717119448
1835,Iran,Tajikistan,1,0.8803630363036303
2121,Kazakhstan,Tajikistan,1,0.8999583159649854
2208,Kyrgyzstan,Tajikistan,1,0.9655023717119448
10,Albania,Greece,1,0.8788128606760098
12,Albania,Slovenia,1,0.946199829205807
433,Bosnia and Herzegovina,Slovenia,1,0.924018573237653
2362,Macedonia,Slovenia,1,0.9023372287145242
2574,Montenegro,Slovenia,1,0.9167367535744323
413,Bermuda,United Kingdom,1,0.8776519052523172
1534,Gibraltar,United Kingdom,1,0.9574833583852266
1890,Isle of Man,United Kingdom,1,0.9167367535744323
397,Benin,Burkina Faso,1,0.9179465600673259
817,Cote d'Ivoire,Burkina Faso,1,0.8971904266389178
2437,Mali,Burkina Faso,1,0.9179465600673259
2792,Niger,Burkina Faso,1,0.9553839553839554
3935,Togo,Burkina Faso,1,0.9284958747620055
412,Bermuda,Canada,1,0.9215851602023609
3314,Saint Pierre and Miquelon,Canada,1,0.9731601731601731
2833,North Korea,China,1,0.9215851602023609
2836,Northern Mariana Islands,China,1,0.896795672076571
400,Benin,Cote d'Ivoire,1,0.8881524440762221
517,Burkina Faso,Cote d'Ivoire,1,0.8952182952182952
1378,Gabon,Cote d'Ivoire,1,0.8952182952182952
1620,Guinea,Cote d'Ivoire,1,0.9387494683113569
2283,Liberia,Cote d'Ivoire,1,0.9537076725246464
2438,Mali,Cote d'Ivoire,1,0.8881524440762221
3428,Sierra Leone,Cote d'Ivoire,1,0.9313559322033899
3937,Togo,Cote d'Ivoire,1,0.9023372287145242
1123,Eritrea,Egypt,1,0.8858088539511791
407,Benin,Mali,1,0.9059167886263851
521,Burkina Faso,Mali,1,0.9119127516778524
825,Cote d'Ivoire,Mali,1,0.8823043568036341
1623,Guinea,Mali,1,0.9486960239418555
2492,Mauritania,Mali,1,0.9549646150546858
3943,Togo,Mali,1,0.9179465600673259
658,Central African Republic,Morocco,1,0.9587451654490761
1390,Gambia,Morocco,1,0.8811390837804375
1631,Guinea-Bissau,Morocco,1,0.8999583159649854
2285,Liberia,Morocco,1,0.8811390837804375
4521,Western Sahara,Morocco,1,0.9587451654490761
31,Algeria,Niger,1,0.8952182952182952
408,Benin,Niger,1,0.9424675047943746
523,Burkina Faso,Niger,1,0.946199829205807
662,Chad,Niger,1,0.9765828274067649
2816,Nigeria,Niger,1,0.8811390837804375
2629,Mozambique,Portugal,1,0.9047221061429168
3324,Sao Tome and Principe,Portugal,1,0.9511986301369864
2835,North Korea,Russia,1,0.9119127516778524
1125,Eritrea,Saudi Arabia,1,0.8928571428571429
1391,Gambia,Senegal,1,0.9387494683113569
1626,Guinea,Senegal,1,0.9191578947368421
1632,Guinea-Bissau,Senegal,1,0.9486960239418555
2494,Mauritania,Senegal,1,0.9289039356749894
3435,Sierra Leone,Senegal,1,0.909509844993716
4522,Western Sahara,Spain,1,0.9379251700680272
2496,Mauritania,Tunisia,1,0.909109947643979
43,American Samoa,United States,1,0.9608517960851796
414,Bermuda,United States,1,0.8869799213413372
3321,Samoa,United States,1,0.8869799213413372
419,Bolivia,Brazil,1,0.8776519052523172
1364,French Guiana,Brazil,1,0.9437100213219616
2972,Paraguay,Brazil,1,0.8905018664454584
3717,Suriname,Brazil,1,0.9035289204426812
4434,Uruguay,Brazil,1,0.8905018664454584
46,Angola,Congo (Brazzaville),1,0.9079112599413981
399,Benin,Congo (Brazzaville),1,0.9301291551979673
559,Cameroon,Congo (Brazzaville),1,0.9211801896733404
791,Congo (Kinshasa),Congo (Brazzaville),1,0.9574833583852266
1376,Gabon,Congo (Brazzaville),1,0.934634974533107
3287,Rwanda,Congo (Brazzaville),1,0.9391618804509678
47,Angola,Congo (Kinshasa),1,0.8999583159649854
560,Cameroon,Congo (Kinshasa),1,0.9143217135657287
781,Congo (Brazzaville),Congo (Kinshasa),1,0.9437100213219616
1377,Gabon,Congo (Kinshasa),1,0.9289039356749894
4541,Zambia,Congo (Kinshasa),1,0.9437100213219616
243,Bahamas,Cuba,1,0.9256442754541614
653,Cayman Islands,Cuba,1,0.9437100213219616
1047,Ecuador,Cuba,1,0.8819157720891825
2482,Martinique,Cuba,1,0.9079112599413981
660,Chad,Ethiopia,1,0.8811390837804375
2376,Malawi,Ethiopia,1,0.8811390837804375
2627,Mozambique,Ethiopia,1,0.8811390837804375
3509,Somalia,Ethiopia,1,0.8811390837804375
437,Botswana,Kenya,1,0.9079112599413981
541,Burundi,Kenya,1,0.9437100213219616
773,Comoros,Kenya,1,0.8905018664454584
1124,Eritrea,Kenya,1,0.8905018664454584
2377,Malawi,Kenya,1,0.8905018664454584
2628,Mozambique,Kenya,1,0.8905018664454584
3422,Seychelles,Kenya,1,0.8734073160706947
3510,Somalia,Kenya,1,0.8905018664454584
3602,South Sudan,Kenya,1,0.8734073160706947
54,Angola,Mozambique,1,0.9486960239418555
1173,Ethiopia,Mozambique,1,0.8858088539511791
2152,Kenya,Mozambique,1,0.8881524440762221
3082,Portugal,Mozambique,1,0.9047221061429168
3534,South Africa,Mozambique,1,0.8952182952182952
3867,Tanzania,Mozambique,1,0.9562231759656652
55,Angola,Namibia,1,0.9404001702852277
438,Botswana,Namibia,1,0.9847594165033747
1521,Ghana,Namibia,1,0.9289039356749894
3535,South Africa,Namibia,1,0.8788128606760098
4545,Zambia,Namibia,1,0.9667745415318231
4554,Zimbabwe,Namibia,1,0.9757260511486779
58,Angola,Sao Tome and Principe,1,0.9740147249891729
646,Cape Verde,Sao Tome and Principe,1,0.9817391304347826
3088,Portugal,Sao Tome and Principe,1,0.9511986301369864
439,Botswana,South Africa,1,0.9099099099099099
2281,Lesotho,South Africa,1,0.9813084112149533
2378,Malawi,South Africa,1,0.8928571428571429
2630,Mozambique,South Africa,1,0.8928571428571429
2636,Namibia,South Africa,1,0.8761061946902655
3186,Reunion,South Africa,1,0.8761061946902655
3425,Seychelles,South Africa,1,0.8761061946902655
3723,Swaziland,South Africa,1,0.9813084112149533
63,Angola,Zimbabwe,1,0.9159310634720471
441,Botswana,Zimbabwe,1,0.9782986111111112
2381,Malawi,Zimbabwe,1,0.9740147249891729
2638,Namibia,Zimbabwe,1,0.9697493517718236
3876,Tanzania,Zimbabwe,1,0.928087986463621
4549,Zambia,Zimbabwe,1,0.9528706083976007
64,Anguilla,Antigua and Barbuda,1,0.9740147249891729
291,Barbados,Antigua and Barbuda,1,0.9059167886263851
1005,Dominica,Antigua and Barbuda,1,0.9486960239418555
1586,Guadeloupe,Antigua and Barbuda,1,0.9362786745964317
2009,Jamaica,Antigua and Barbuda,1,0.9059167886263851
3101,Puerto Rico,Antigua and Barbuda,1,0.8881524440762221
3298,Saint Kitts and Nevis,Antigua and Barbuda,1,0.9612736660929432
3304,Saint Lucia,Antigua and Barbuda,1,0.9362786745964317
3948,Trinidad and Tobago,Antigua and Barbuda,1,0.9119127516778524
65,Anguilla,Netherlands Antilles,1,0.9604301075268817
122,Aruba,Netherlands Antilles,1,0.9131164742917104
476,British Virgin Islands,Netherlands Antilles,1,0.950781082816178
1009,Dominica,Netherlands Antilles,1,0.9223956136651202
1593,Guadeloupe,Netherlands Antilles,1,0.9039264828738512
1643,Haiti,Netherlands Antilles,1,0.9317652044924772
3300,Saint Kitts and Nevis,Netherlands Antilles,1,0.9412265758091993
3721,Suriname,Netherlands Antilles,1,0.9317652044924772
4515,Virgin Islands,Netherlands Antilles,1,0.9223956136651202
66,Anguilla,Puerto Rico,1,0.9688984881209504
78,Antigua and Barbuda,Puerto Rico,1,0.8811390837804375
477,British Virgin Islands,Puerto Rico,1,0.9612736660929432
1010,Dominica,Puerto Rico,1,0.9387494683113569
1594,Guadeloupe,Puerto Rico,1,0.924018573237653
2487,Martinique,Puerto Rico,1,0.924018573237653
3301,Saint Kitts and Nevis,Puerto Rico,1,0.9537076725246464
4097,Turks and Caicos Islands,Puerto Rico,1,0.946199829205807
4516,Virgin Islands,Puerto Rico,1,0.9387494683113569
67,Anguilla,Virgin Islands,1,0.9860566448801743
479,British Virgin Islands,Virgin Islands,1,0.9826011309264898
1012,Dominica,Virgin Islands,1,0.9723063608827347
2760,Netherlands Antilles,Virgin Islands,1,0.9191578947368421
3117,Puerto Rico,Virgin Islands,1,0.9387494683113569
3303,Saint Kitts and Nevis,Virgin Islands,1,0.9791576204950065
68,Antigua and Barbuda,Anguilla,1,0.9723063608827347
2737,Netherlands Antilles,Anguilla,1,0.9587451654490761
3100,Puerto Rico,Anguilla,1,0.9688984881209504
4511,Virgin Islands,Anguilla,1,0.9860566448801743
69,Antigua and Barbuda,Barbados,1,0.9063153492262651
1006,Dominica,Barbados,1,0.95203426124197
1579,Grenada,Barbados,1,0.9579037800687286
1633,Guyana,Barbados,1,0.9579037800687286
2011,Jamaica,Barbados,1,0.9119127516778524
2480,Martinique,Barbados,1,0.9404001702852277
3305,Saint Lucia,Barbados,1,0.9404001702852277
3315,Saint Vincent and the Grenadines,Barbados,1,0.9757260511486779
3949,Trinidad and Tobago,Barbados,1,0.9175431215818258
71,Antigua and Barbuda,Dominica,1,0.9453691848058046
294,Barbados,Dominica,1,0.9486960239418555
475,British Virgin Islands,Dominica,1,0.9826011309264898
1588,Guadeloupe,Dominica,1,0.9655023717119448
2744,Netherlands Antilles,Dominica,1,0.9191578947368421
3105,Puerto Rico,Dominica,1,0.9387494683113569
3307,Saint Lucia,Dominica,1,0.9655023717119448
4513,Virgin Islands,Dominica,1,0.9723063608827347
120,Aruba,Dominican Republic,1,0.8952182952182952
1589,Guadeloupe,Dominican Republic,1,0.8842496899545267
1641,Haiti,Dominican Republic,1,0.9175431215818258
2483,Martinique,Dominican Republic,1,0.8842496899545267
4094,Turks and Caicos Islands,Dominican Republic,1,0.9175431215818258
75,Antigua and Barbuda,Guadeloupe,1,0.9321746502755405
1008,Dominica,Guadeloupe,1,0.9655023717119448
1024,Dominican Republic,Guadeloupe,1,0.8881524440762221
1642,Haiti,Guadeloupe,1,0.9697493517718236
2486,Martinique,Guadeloupe,1,0.95706311721769
2748,Netherlands Antilles,Guadeloupe,1,0.8999583159649854
3109,Puerto Rico,Guadeloupe,1,0.924018573237653
76,Antigua and Barbuda,Jamaica,1,0.8999583159649854
244,Bahamas,Jamaica,1,0.9486960239418555
298,Barbados,Jamaica,1,0.9059167886263851
655,Cayman Islands,Jamaica,1,0.9612736660929432
1635,Guyana,Jamaica,1,0.9549646150546858
3953,Trinidad and Tobago,Jamaica,1,0.9119127516778524
4096,Turks and Caicos Islands,Jamaica,1,0.9549646150546858
79,Antigua and Barbuda,Saint Kitts and Nevis,1,0.9587451654490761
478,British Virgin Islands,Saint Kitts and Nevis,1,0.986922406277245
2754,Netherlands Antilles,Saint Kitts and Nevis,1,0.9387494683113569
3113,Puerto Rico,Saint Kitts and Nevis,1,0.9537076725246464
4517,Virgin Islands,Saint Kitts and Nevis,1,0.9791576204950065
80,Antigua and Barbuda,Saint Lucia,1,0.9321746502755405
301,Barbados,Saint Lucia,1,0.9362786745964317
1581,Grenada,Saint Lucia,1,0.9697493517718236
2488,Martinique,Saint Lucia,1,0.95706311721769
2755,Netherlands Antilles,Saint Lucia,1,0.8999583159649854
3317,Saint Vincent and the Grenadines,Saint Lucia,1,0.9826011309264898
3956,Trinidad and Tobago,Saint Lucia,1,0.9404001702852277
81,Antigua and Barbuda,Trinidad and Tobago,1,0.8999583159649854
303,Barbados,Trinidad and Tobago,1,0.9059167886263851
1583,Grenada,Trinidad and Tobago,1,0.9549646150546858
1637,Guyana,Trinidad and Tobago,1,0.9549646150546858
2020,Jamaica,Trinidad and Tobago,1,0.9059167886263851
3311,Saint Lucia,Trinidad and Tobago,1,0.9362786745964317
3318,Saint Vincent and the Grenadines,Trinidad and Tobago,1,0.9740147249891729
3722,Suriname,Trinidad and Tobago,1,0.9549646150546858
84,Argentina,Bolivia,1,0.9203707604803033
445,Brazil,Bolivia,1,0.8776519052523172
667,Chile,Bolivia,1,0.927680270670332
752,Colombia,Bolivia,1,0.9167367535744323
2935,Panama,Bolivia,1,0.8881524440762221
2971,Paraguay,Bolivia,1,0.9688984881209504
2979,Peru,Bolivia,1,0.924018573237653
420,Bolivia,Chile,1,0.924018573237653
1045,Ecuador,Chile,1,0.892071398920714
1194,Falkland Islands,Chile,1,0.9912625600698995
1368,French Polynesia,Chile,1,0.9486960239418555
2973,Paraguay,Chile,1,0.9321746502755405
4435,Uruguay,Chile,1,0.9321746502755405
119,Aruba,Colombia,1,0.9167367535744323
421,Bolivia,Colombia,1,0.9167367535744323
803,Costa Rica,Colombia,1,0.8905018664454584
1046,Ecuador,Colombia,1,0.8819157720891825
1607,Guatemala,Colombia,1,0.9167367535744323
90,Argentina,Ecuador,1,0.8869799213413372
672,Chile,Ecuador,1,0.8971904266389178
759,Colombia,Ecuador,1,0.8819157720891825
865,Cuba,Ecuador,1,0.8768787317274037
1107,El Salvador,Ecuador,1,0.9232067510548523
2987,Peru,Ecuador,1,0.892071398920714
4475,Venezuela,Ecuador,1,0.8819157720891825
91,Argentina,Falkland Islands,1,0.9908276916357284
395,Belize,Mexico,1,0.9466154174674354
808,Costa Rica,Mexico,1,0.8764923836969946
1611,Guatemala,Mexico,1,0.9059167886263851
1652,Honduras,Mexico,1,0.9159310634720471
123,Aruba,Panama,1,0.8846392391978499
245,Bahamas,Panama,1,0.896795672076571
422,Bolivia,Panama,1,0.8846392391978499
1613,Guatemala,Panama,1,0.8846392391978499
1644,Haiti,Panama,1,0.909109947643979
1653,Honduras,Panama,1,0.896795672076571
2788,Nicaragua,Panama,1,0.9342244854657331
2974,Paraguay,Panama,1,0.896795672076571
4436,Uruguay,Panama,1,0.896795672076571
98,Argentina,Paraguay,1,0.9289039356749894
423,Bolivia,Paraguay,1,0.9688984881209504
460,Brazil,Paraguay,1,0.8905018664454584
678,Chile,Paraguay,1,0.9354564755838641
2954,Panama,Paraguay,1,0.8999583159649854
2993,Peru,Paraguay,1,0.9321746502755405
4437,Uruguay,Paraguay,1,0.9723063608827347
424,Bolivia,Peru,1,0.924018573237653
811,Costa Rica,Peru,1,0.8999583159649854
1052,Ecuador,Peru,1,0.892071398920714
1113,El Salvador,Peru,1,0.8842496899545267
2975,Paraguay,Peru,1,0.9321746502755405
4438,Uruguay,Peru,1,0.9321746502755405
103,Argentina,Uruguay,1,0.9289039356749894
473,Brazil,Uruguay,1,0.8905018664454584
682,Chile,Uruguay,1,0.9354564755838641
2960,Panama,Uruguay,1,0.8999583159649854
2977,Paraguay,Uruguay,1,0.9723063608827347
2996,Peru,Uruguay,1,0.9321746502755405
126,Aruba,Venezuela,1,0.9167367535744323
1055,Ecuador,Venezuela,1,0.8819157720891825
1585,Grenada,Venezuela,1,0.934634974533107
1639,Guyana,Venezuela,1,0.934634974533107
4084,Turkmenistan,Belarus,1,0.8952182952182952
2205,Kyrgyzstan,Kazakhstan,1,0.9191578947368421
3855,Tajikistan,Kazakhstan,1,0.909509844993716
124,Aruba,Suriname,1,0.9727331746375244
466,Brazil,Suriname,1,0.9035289204426812
1367,French Guiana,Suriname,1,0.9877889228085478
1636,Guyana,Suriname,1,0.9787280225743434
2756,Netherlands Antilles,Suriname,1,0.9289039356749894
3958,Trinidad and Tobago,Suriname,1,0.9579037800687286
1794,Indonesia,Brunei,1,0.9199663016006739
3000,Philippines,Brunei,1,0.8999583159649854
131,Australia,Christmas Island,1,0.9706009511456982
749,Cocos (Keeling) Islands,Christmas Island,1,0.9991228070175439
132,Australia,Cook Islands,1,0.942053685556029
1369,French Polynesia,Cook Islands,1,0.9895242252291576
2771,New Zealand,Cook Islands,1,0.9706009511456982
133,Australia,East Timor,1,0.9562231759656652
1796,Indonesia,East Timor,1,0.9752979414951246
3444,Singapore,East Timor,1,0.9486960239418555
2174,Kiribati,Fiji,1,0.9757260511486779
2762,New Caledonia,Fiji,1,0.9579037800687286
2772,New Zealand,Fiji,1,0.9007506255212677
2963,Papua New Guinea,Fiji,1,0.95203426124197
3319,Samoa,Fiji,1,0.9817391304347826
3505,Solomon Islands,Fiji,1,0.9757260511486779
3946,Tonga,Fiji,1,0.9817391304347826
4099,Tuvalu,Fiji,1,0.9938757655293088
4464,Vanuatu,Fiji,1,0.9697493517718236
4519,Wallis and Futuna,Fiji,1,0.9877889228085478
2542,Micronesia,Guam,1,0.986922406277245
2837,Northern Mariana Islands,Guam,1,0.9826011309264898
2926,Palau,Guam,1,0.9740147249891729
3004,Philippines,Guam,1,0.8999583159649854
3835,Taiwan,Guam,1,0.8999583159649854
2561,Mongolia,Hong Kong,1,0.8788128606760098
483,Brunei,Indonesia,1,0.9199663016006739
1041,East Timor,Indonesia,1,0.9752979414951246
2965,Papua New Guinea,Indonesia,1,0.9354564755838641
1370,French Polynesia,Japan,1,0.8999583159649854
2562,Mongolia,Japan,1,0.8842496899545267
2764,New Caledonia,Japan,1,0.8842496899545267
2838,Northern Mariana Islands,Japan,1,0.9321746502755405
2927,Palau,Japan,1,0.8999583159649854
2214,Laos,Malaysia,1,0.8897180762852405
2834,North Korea,Malaysia,1,0.9511986301369864
2371,Madagascar,Mauritius,1,0.9453691848058046
3184,Reunion,Mauritius,1,0.95203426124197
3423,Seychelles,Mauritius,1,0.95203426124197
142,Australia,Nauru,1,0.9562231759656652
2176,Kiribati,Nauru,1,0.9947483588621444
2478,Marshall Islands,Nauru,1,0.9947483588621444
143,Australia,New Caledonia,1,0.9007506255212677
1200,Fiji,New Caledonia,1,0.9579037800687286
1371,French Polynesia,New Caledonia,1,0.9817391304347826
2044,Japan,New Caledonia,1,0.8842496899545267
2777,New Zealand,New Caledonia,1,0.9491126790677785
4465,Vanuatu,New Caledonia,1,0.9847594165033747
4520,Wallis and Futuna,New Caledonia,1,0.9938757655293088
800,Cook Islands,New Zealand,1,0.9655023717119448
1201,Fiji,New Zealand,1,0.8842496899545267
1372,French Polynesia,New Zealand,1,0.9486960239418555
2765,New Caledonia,New Zealand,1,0.9404001702852277
2830,Niue,New Zealand,1,0.9912625600698995
2832,Norfolk Island,New Zealand,1,0.9826011309264898
3320,Samoa,New Zealand,1,0.9740147249891729
3947,Tonga,New Zealand,1,0.9740147249891729
4466,Vanuatu,New Zealand,1,0.95706311721769
145,Australia,Norfolk Island,1,0.985191637630662
146,Australia,Papua New Guinea,1,0.8873706004140787
1202,Fiji,Papua New Guinea,1,0.95203426124197
1801,Indonesia,Papua New Guinea,1,0.9354564755838641
3011,Philippines,Papua New Guinea,1,0.9191578947368421
3506,Solomon Islands,Papua New Guinea,1,0.9860566448801743
485,Brunei,Philippines,1,0.8999583159649854
549,Cambodia,Philippines,1,0.8905018664454584
1602,Guam,Philippines,1,0.8999583159649854
2349,Macau,Philippines,1,0.909509844993716
2929,Palau,Philippines,1,0.9387494683113569
2967,Papua New Guinea,Philippines,1,0.9191578947368421
149,Australia,Samoa,1,0.942053685556029
1203,Fiji,Samoa,1,0.9757260511486779
2778,New Zealand,Samoa,1,0.9706009511456982
1042,East Timor,Singapore,1,0.9486960239418555
2215,Laos,Singapore,1,0.8842496899545267
