level_0,index,country_source,country_dest,source_id,dest_id,cnt,airport_id_source,latitude_source,longitude_source,altitude_source,airport_id_dest,latitude_dest,longitude_dest,altitude_dest
1613,1665,Guatemala,Panama,1767.0,1871.0,1,1767,14.5833,-90.527496,4952,1871,9.0713596344,-79.3834991455,135
1614,1666,Guatemala,United States,15903.0,32500.0,17,15903,131.2497,-814.7474640000002,44568,32500,302.60300247283203,-781.0622101260547,2215
1615,1667,Guernsey,France,498.0,1405.0,1,498,49.43500137329102,-2.601969957351685,336,1405,48.58769989013672,-2.0799601078033447,219
1616,1668,Guernsey,Germany,498.0,345.0,1,498,49.43500137329102,-2.601969957351685,336,345,51.289501,6.766780000000001,147
1617,1670,Guernsey,Jersey,498.0,499.0,4,498,49.43500137329102,-2.601969957351685,336,499,49.20790100097656,-2.1955099105834956,277
1618,1671,Guernsey,Netherlands,498.0,580.0,1,498,49.43500137329102,-2.601969957351685,336,580,52.308601,4.76389,-11
1619,1672,Guernsey,United Kingdom,4979.0,5099.0,11,4979,494.6211163596192,-25.632449616165164,3314,5099,518.365299544402,-12.870117760273377,2369
1620,1673,Guinea,Cote d'Ivoire,4162.0,253.0,2,4162,9.576889999999999,-13.612,72,253,5.261390209197998,-3.9262900352478023,21
1621,1674,Guinea,France,4162.0,1382.0,1,4162,9.576889999999999,-13.612,72,1382,49.012798,2.55,392
1622,1675,Guinea,Guinea-Bissau,4162.0,5665.0,2,4162,9.576889999999999,-13.612,72,5665,11.894800186157227,-15.65369987487793,129
1623,1676,Guinea,Mali,4162.0,1044.0,2,4162,9.576889999999999,-13.612,72,1044,12.5335,-7.94994,1247
1624,1677,Guinea,Mauritania,4162.0,1094.0,1,4162,9.576889999999999,-13.612,72,1094,18.31,-15.969722199999998,9
