	src	trg	iso_code_src	region	iso_code_trg	kmdist	proximity	log-prox	Norm_prox	norm_log_prox
55	Bahrain	Saudi Arabia	BHR	Asia	SAU	504	0.001984126984	0.1607051416	0.03832854961	0.03832854961
56	Bangladesh	India	BGD	Asia	IND	1430	0.0006993006993	0.1376381079	0.01259579335	0.01259579335
57	Bangladesh	India	BGD	Asia	IND	1430	0.0006993006993	0.1376381079	0.01259579335	0.01259579335
58	Bangladesh	Myanmar	BGD	Asia	MMR	978	0.001022494888	0.1452325315	0.0190687908	0.0190687908
59	Barbados	Grenada	BRB	Americas	GRD	259	0.003861003861	0.1799587802	0.07591901282	0.07591901282
60	Belarus	Latvia	BLR	Europe	LVA	404	0.002475247525	0.1666273738	0.04816480943	0.04816480943
61	Belarus	Lithuania	BLR	Europe	LTU	180	0.005555555556	0.1925685171	0.109857831	0.109857831
62	Belarus	Poland	BLR	Europe	POL	454	0.002202643172	0.1634495118	0.04270503526	0.04270503526
63	Belarus	Russian Federation	BLR	Europe	RUS	688	0.001453488372	0.1530505538	0.02770081399	0.02770081399
64	Belarus	Ukraine	BLR	Europe	UKR	390	0.002564102564	0.1676123709	0.04994441582	0.04994441582
65	Belgium	France	BEL	Europe	FRA	266	0.003759398496	0.1790992498	0.07388404038	0.07388404038
66	Belgium	France	BEL	Europe	FRA	266	0.003759398496	0.1790992498	0.07388404038	0.07388404038
67	Belgium	Germany	BEL	Europe	DEU	676	0.001479289941	0.1534638382	0.02821757294	0.02821757294
68	Belgium	Germany	BEL	Europe	DEU	676	0.001479289941	0.1534638382	0.02821757294	0.02821757294
69	Belgium	Germany	BEL	Europe	DEU	202	0.00495049505	0.1883853749	0.09773955894	0.09773955894
70	Belgium	Germany	BEL	Europe	DEU	202	0.00495049505	0.1883853749	0.09773955894	0.09773955894
71	Belgium	Luxembourg	BEL	Europe	LUX	136	0.007352941176	0.2035559231	0.1458562276	0.1458562276
72	Belgium	Luxembourg	BEL	Europe	LUX	136	0.007352941176	0.2035559231	0.1458562276	0.1458562276
73	Belgium	Netherlands	BEL	Europe	NLD	219	0.004566210046	0.1855607144	0.09004302249	0.09004302249
74	Belgium	Netherlands	BEL	Europe	NLD	219	0.004566210046	0.1855607144	0.09004302249	0.09004302249
75	Belize	Guatemala	BLZ	Americas	GTM	400	0.0025	0.1669041003	0.04866055693	0.04866055693
76	Belize	Mexico	BLZ	Americas	MEX	1178	0.0008488964346	0.1414112459	0.01559192648	0.01559192648
77	Benin	Burkina Faso	BEN	Africa	BFA	807	0.001239157373	0.1494026062	0.02340815014	0.02340815014
78	Benin	Niger	BEN	Africa	NER	780	0.001282051282	0.1501660705	0.02426723787	0.02426723787
79	Benin	Nigeria	BEN	Africa	NGA	74	0.01351351351	0.2323384936	0.2692413951	0.2692413951
80	Benin	Togo	BEN	Africa	TGO	166	0.006024096386	0.1956186207	0.1192418599	0.1192418599
81	Bermuda	United States of America	BMU	Americas	USA	1326	0.000754147813	0.1390835639	0.01369428225	0.01369428225
82	Bhutan	China	BTN	Asia	CHN	2806	0.0003563791875	0.1259522738	0.005727693138	0.005727693138
83	Bhutan	India	BTN	Asia	IND	1220	0.0008196721311	0.1407141441	0.01500661632	0.01500661632
84	Bhutan	India	BTN	Asia	IND	1220	0.0008196721311	0.1407141441	0.01500661632	0.01500661632
85	Bolivia	Argentina	BOL	Americas	ARG	2213	0.0004518752824	0.1298346472	0.007640307912	0.007640307912
86	Bolivia	Brazil	BOL	Americas	BRA	2178	0.0004591368228	0.1301039401	0.007785743486	0.007785743486
87	Bolivia	Chile	BOL	Americas	CHL	1908	0.0005241090147	0.1323835107	0.009087019462	0.009087019462
88	Bolivia	Paraguay	BOL	Americas	PRY	1480	0.0006756756757	0.1369901039	0.01212262668	0.01212262668
89	Bolivia	Peru	BOL	Americas	PER	1069	0.000935453695	0.1433798873	0.0173255125	0.0173255125
90	Bosnia and Herzegovina	Croatia	BIH	Europe	HRV	299	0.003344481605	0.1754249449	0.0655740024	0.0655740024
91	Bosnia and Herzegovina	Montenegro	BIH	Europe	MNE	96	0.01041666667	0.2190893328	0.2072171308	0.2072171308
92	Bosnia and Herzegovina	Serbia	BIH	Europe	SRB	196	0.005102040816	0.1894615908	0.1007747477	0.1007747477
93	Botswana	Namibia	BWA	Africa	NAM	931	0.001074113856	0.1462788287	0.02010262577	0.02010262577
94	Botswana	South Africa	BWA	Africa	ZAF	1260	0.0007936507937	0.1400782505	0.0144854558	0.0144854558
95	Botswana	Zambia	BWA	Africa	ZMB	1035	0.0009661835749	0.1440474542	0.01794097664	0.01794097664
96	Botswana	Zimbabwe	BWA	Africa	ZWE	932	0.001072961373	0.1462558613	0.02007954362	0.02007954362
97	Brazil	Argentina	BRA	Americas	ARG	2370	0.0004219409283	0.1286894421	0.007040776716	0.007040776716
98	Brazil	Bolivia	BRA	Americas	BOL	2178	0.0004591368228	0.1301039401	0.007785743486	0.007785743486
99	Brazil	Colombia	BRA	Americas	COL	3651	0.0002738975623	0.1219102401	0.004075734752	0.004075734752
100	Brazil	French Guiana	BRA	Americas	GUF	2354	0.000424808836	0.1288017231	0.007098215743	0.007098215743
101	Brazil	Guyana	BRA	Americas	GUY	2714	0.0003684598379	0.1264833518	0.005969646806	0.005969646806
102	Brazil	Paraguay	BRA	Americas	PRY	1509	0.0006626905235	0.1366269079	0.01186255747	0.01186255747
103	Brazil	Peru	BRA	Americas	PER	3185	0.0003139717425	0.1239739979	0.0048783484	0.0048783484
104	Brazil	Suriname	BRA	Americas	SUR	2467	0.0004053506283	0.1280285454	0.00670850289	0.00670850289
105	Brazil	Uruguay	BRA	Americas	URY	2277	0.0004391743522	0.1293558301	0.007385931157	0.007385931157
106	Brazil	Venezuela (Bolivarian Republic of)	BRA	Americas	VEN	3512	0.000284738041	0.1224898619	0.004292850014	0.004292850014
107	Brunei	Malaysia	BRN	Asia	MYS	1451	0.0006891798759	0.1373624816	0.01239309149	0.01239309149
108	Bulgaria	Greece	BGR	Europe	GRC	453	0.002207505519	0.1635084432	0.04280241931	0.04280241931
109	Bulgaria	North Macedonia	BGR	Europe	MKD	151	0.006622516556	0.199311187	0.1312271381	0.1312271381
110	Bulgaria	Romania	BGR	Europe	ROU	317	0.003154574132	0.1736442189	0.06177049778	0.06177049778
111	Bulgaria	Serbia	BGR	Europe	SRB	321	0.003115264798	0.1732669499	0.06098320261	0.06098320261
112	Bulgaria	Turkey	BGR	Europe	TUR	866	0.001154734411	0.1478440295	0.02171731027	0.02171731027
113	Burkina Faso	Benin	BFA	Africa	BEN	807	0.001239157373	0.1494026062	0.02340815014	0.02340815014
114	Burkina Faso	Côte d'Ivoire	BFA	Africa	CIV	784	0.001275510204	0.1500508143	0.02413623186	0.02413623186
115	Burkina Faso	Ghana	BFA	Africa	GHA	797	0.001254705144	0.1496814477	0.02371954399	0.02371954399
116	Burkina Faso	Mali	BFA	Africa	MLI	706	0.001416430595	0.1524479659	0.02695861347	0.02695861347
117	Burkina Faso	Niger	BFA	Africa	NER	413	0.002421307506	0.1660178801	0.04708448801	0.04708448801
118	Burkina Faso	Togo	BFA	Africa	TGO	730	0.001369863014	0.1516749955	0.02602594869	0.02602594869
119	Burundi	Congo, Democratic Republic of the	BDI	Africa	COD	2852	0.000350631136	0.1256948445	0.005612570021	0.005612570021
120	Burundi	Rwanda	BDI	Africa	RWA	234	0.004273504274	0.1833072662	0.08418065309	0.08418065309
121	Burundi	Tanzania, United Republic of	BDI	Africa	TZA	1158	0.0008635578584	0.1417545023	0.01588556839	0.01588556839
122	Burundi	Tanzania, United Republic of	BDI	Africa	TZA	1158	0.0008635578584	0.1417545023	0.01588556839	0.01588556839
123	Cabo Verde	Mauritania	CPV	Africa	MRT	879	0.001137656428	0.1475190635	0.02137526903	0.02137526903
124	Cabo Verde	Senegal	CPV	Africa	SEN	730	0.001369863014	0.1516749955	0.02602594869	0.02602594869
125	Cambodia	Lao People's Democratic Republic	KHM	Asia	LAO	710	0.001408450704	0.1523167769	0.02679879063	0.02679879063
126	Cambodia	Thailand	KHM	Asia	THA	521	0.001919385797	0.1598529342	0.03703190023	0.03703190023
127	Cambodia	Viet Nam	KHM	Asia	VNM	205	0.00487804878	0.1878636343	0.09628859066	0.09628859066
128	Cameroon	Central African Republic	CMR	Africa	CAF	802	0.001246882793	0.1495414623	0.02356287638	0.02356287638
129	Cameroon	Chad	CMR	Africa	TCD	1065	0.0009389671362	0.1434569964	0.01739588039	0.01739588039
130	Cameroon	Congo	CMR	Africa	COG	898	0.001113585746	0.1470551457	0.02089317663	0.02089317663
131	Cameroon	Equatorial Guinea	CMR	Africa	GNQ	205	0.00487804878	0.1878636343	0.09628859066	0.09628859066
132	Cameroon	Gabon	CMR	Africa	GAB	405	0.002469135802	0.1665587625	0.04804240264	0.04804240264
133	Cameroon	Nigeria	CMR	Africa	NGA	963	0.001038421599	0.1455592759	0.01938777415	0.01938777415
134	Canada	Greenland	CAN	Americas	GRL	2558	0.0003909304144	0.127437546	0.006419691979	0.006419691979
135	Canada	United States of America	CAN	Americas	USA	731	0.001367989056	0.1516435095	0.0259884167	0.0259884167
136	Canada	United States of America	CAN	Americas	USA	731	0.001367989056	0.1516435095	0.0259884167	0.0259884167
137	Cayman Islands	Cuba	CYM	Americas	CUB	429	0.002331002331	0.1649768386	0.04527583801	0.04527583801
138	Cayman Islands	Jamaica	CYM	Americas	JAM	508	0.001968503937	0.1605012403	0.03801564811	0.03801564811
139	Central African Republic	Cameroon	CAF	Africa	CMR	802	0.001246882793	0.1495414623	0.02356287638	0.02356287638
140	Central African Republic	Chad	CAF	Africa	TCD	974	0.001026694045	0.1453190277	0.01915289237	0.01915289237
141	Central African Republic	Congo	CAF	Africa	COG	970	0.001030927835	0.1454059836	0.01923768755	0.01923768755
142	Central African Republic	Congo, Democratic Republic of the	CAF	Africa	COD	1031	0.0009699321048	0.1441278463	0.01801605294	0.01801605294
143	Central African Republic	South Sudan	CAF	Africa	SSD	1444	0.0006925207756	0.1374537889	0.01246000369	0.01246000369
144	Central African Republic	Sudan	CAF	Africa	SDN	1961	0.0005099439062	0.1319050683	0.008803317853	0.008803317853
145	Central African Republic	Sudan	CAF	Africa	SDN	1961	0.0005099439062	0.1319050683	0.008803317853	0.008803317853
146	Chad	Cameroon	TCD	Africa	CMR	1065	0.0009389671362	0.1434569964	0.01739588039	0.01739588039
147	Chad	Central African Republic	TCD	Africa	CAF	974	0.001026694045	0.1453190277	0.01915289237	0.01915289237
148	Chad	Libya	TCD	Africa	LBY	2243	0.0004458314757	0.1296080601	0.00751926135	0.00751926135
149	Chad	Niger	TCD	Africa	NER	1397	0.0007158196135	0.138081832	0.01292663745	0.01292663745
150	Chad	Nigeria	TCD	Africa	NGA	1441	0.000693962526	0.1374930935	0.01248887935	0.01248887935
151	Chad	Sudan	TCD	Africa	SDN	1938	0.000515995872	0.1321106616	0.008924527828	0.008924527828
152	Chad	Sudan	TCD	Africa	SDN	1938	0.000515995872	0.1321106616	0.008924527828	0.008924527828
153	Chile	Argentina	CHL	Americas	ARG	1131	0.000884173298	0.1422301623	0.01629845851	0.01629845851
154	Chile	Bolivia	CHL	Americas	BOL	1908	0.0005241090147	0.1323835107	0.009087019462	0.009087019462
155	Chile	Peru	CHL	Americas	PER	2425	0.000412371134	0.1283106258	0.006849110975	0.006849110975
156	China	Afghanistan	CHN	Asia	AFG	4199	0.0002381519409	0.1198666841	0.003359814341	0.003359814341
157	China	Bhutan	CHN	Asia	BTN	2806	0.0003563791875	0.1259522738	0.005727693138	0.005727693138
158	China	Hong Kong	CHN	Asia	HKG	1973	0.000506842372	0.1317990083	0.00874119971	0.00874119971
159	China	India	CHN	Asia	IND	3780	0.0002645502646	0.1213963599	0.003888525214	0.003888525214
160	China	India	CHN	Asia	IND	3780	0.0002645502646	0.1213963599	0.003888525214	0.003888525214
161	China	Kazakhstan	CHN	Asia	KAZ	3280	0.0003048780488	0.1235239093	0.004696218094	0.004696218094
162	China	Korea (Democratic People's Republic of)	CHN	Asia	PRK	820	0.001219512195	0.149046749	0.02301469261	0.02301469261
163	China	Kyrgyzstan	CHN	Asia	KGZ	3497	0.0002859593938	0.122554115	0.00431731151	0.00431731151
164	China	Lao People's Democratic Republic	CHN	Asia	LAO	2780	0.0003597122302	0.1261001258	0.005794447981	0.005794447981
165	China	Macao	CHN	Asia	MAC	1990	0.0005025125628	0.1316501438	0.008654481431	0.008654481431
166	China	Mongolia	CHN	Asia	MNG	1166	0.0008576329331	0.1416162935	0.01576690281	0.01576690281
167	China	Myanmar	CHN	Asia	MMR	3222	0.0003103662322	0.1237967335	0.004806136521	0.004806136521
168	China	Nepal	CHN	Asia	NPL	3159	0.0003165558721	0.1241001067	0.004930103861	0.004930103861
169	China	Pakistan	CHN	Asia	PAK	3910	0.0002557544757	0.1209000868	0.003712361406	0.003712361406
170	China	Pakistan	CHN	Asia	PAK	3910	0.0002557544757	0.1209000868	0.003712361406	0.003712361406
171	China	Russian Federation	CHN	Asia	RUS	5869	0.000170386778	0.1152413676	0.002002600185	0.002002600185
172	China	Tajikistan	CHN	Asia	TJK	4080	0.0002450980392	0.1202811847	0.003498932178	0.003498932178
173	China	Viet Nam	CHN	Asia	VNM	3290	0.0003039513678	0.1234774788	0.004677658342	0.004677658342
174	Christmas Island	Cocos (Keeling) Islands	CXR	Oceania	CCK	984	0.001016260163	0.1451036395	0.01894392049	0.01894392049
175	Christmas Island	Indonesia	CXR	Oceania	IDN	491	0.002036659878	0.1613828801	0.03938068885	0.03938068885
176	Cocos (Keeling) Islands	Indonesia	CCK	Oceania	IDN	500	0.002	0.1609111925	0.03864645753	0.03864645753
177	Colombia	Brazil	COL	Americas	BRA	3651	0.0002738975623	0.1219102401	0.004075734752	0.004075734752
178	Colombia	Ecuador	COL	Americas	ECU	705	0.001418439716	0.1524809147	0.02699885255	0.02699885255
179	Colombia	Panama	COL	Americas	PAN	760	0.001315789474	0.1507541075	0.02494295308	0.02494295308
180	Colombia	Panama	COL	Americas	PAN	760	0.001315789474	0.1507541075	0.02494295308	0.02494295308
181	Colombia	Peru	COL	Americas	PER	1880	0.0005319148936	0.1326431107	0.009243357157	0.009243357157
182	Colombia	Venezuela (Bolivarian Republic of)	COL	Americas	VEN	991	0.001009081736	0.1449545412	0.01880014953	0.01880014953
183	Comoros	Mayotte	COM	Africa	MYT	750	0.001333333333	0.1510557314	0.02529432499	0.02529432499
184	Comoros	Mozambique	COM	Africa	MOZ	2019	0.0004952947003	0.1313998698	0.008509920646	0.008509920646
185	Congo	Angola	COG	Africa	AGO	510	0.001960784314	0.1604000833	0.03786103796	0.03786103796
186	Congo	Cameroon	COG	Africa	CMR	898	0.001113585746	0.1470551457	0.02089317663	0.02089317663
187	Congo	Central African Republic	COG	Africa	CAF	970	0.001030927835	0.1454059836	0.01923768755	0.01923768755
188	Congo	Congo, Democratic Republic of the	COG	Africa	COD	20	0.05	0.3338082007	1	1
189	Congo	Gabon	COG	Africa	GAB	790	0.001265822785	0.1498793558	0.0239422103	0.0239422103
190	Congo, Democratic Republic of the	Angola	COD	Africa	AGO	500	0.002	0.1609111925	0.03864645753	0.03864645753
